cs cs c
. . .
utexas utexa utexas
. . .
edu edu edu
! ! !
geraldo geraldo geraldo
. . .
cc cc cc
. . .
utexas utexa utexas
. . .
edu edu edu
! ! !
portal portal portal
. . .
austin austin austin
. . .
ibm ibm ibm
. . .
com com com
! ! !
awdprime awdprim awdprime
. . .
austin austin austin
. . .
ibm ibm ibm
. . .
com com com
! ! !
karner karner karner
Subject subject Subject
: : :
Re re Re
: : :
Islamic islam Islamic
marriage marriag marriage
? ? ?
From from From
: : :
karner karner karner
@ @ @
austin austin austin
. . .
ibm ibm ibm
. . .
com com com
( ( (
F f F
. . .
Karner karner Karner
) ) )
< < <
C c C
4 4 4
qAv qav qAv
2 2 2
. . .
24 24 24
wG wg wG
@ @ @
austin austin austin
. . .
ibm ibm ibm
. . .
com com com
> > >
< < <
1993 1993 1993
Apr apr Apr
2 2 2
. . .
103237 103237 103237
. . .
4627 4627 4627
@ @ @
Cadence cadenc Cadence
. . .
COM com COM
> > >
Organization organ Organization
: : :
IBM ibm IBM
Advanced advanc Advanced
Workstation workstat Workstation
Division divis Division
Originator origin Originator
: : :
frank frank frank
@ @ @
karner karner karner
. . .
austin austin austin
. . .
ibm ibm ibm
. . .
com com com
Lines line Lines
: : :
50 50 50
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
2 2 2
. . .
103237 103237 103237
. . .
4627 4627 4627
@ @ @
Cadence cadenc Cadence
. . .
COM com COM
> > >
, , ,
mas mas ma
@ @ @
Cadence cadenc Cadence
. . .
COM com COM
( ( (
Masud masud Masud
Khan khan Khan
) ) )
writes write write
: : :
> > >
In in In
article articl article
< < <
C c C
4 4 4
qAv qav qAv
2 2 2
. . .
24 24 24
wG wg wG
@ @ @
austin austin austin
. . .
ibm ibm ibm
. . .
com com com
> > >
karner karner karner
@ @ @
austin austin austin
. . .
ibm ibm ibm
. . .
com com com
( ( (
F f F
. . .
Karner karner Karner
) ) )
writes write write
: : :
> > >
> > >
> > >
> > >
Okay okay Okay
. . .
So so So
you you you
want want want
me me me
to to to
name name name
names name names
? ? ?
There there There
are are be
obviously obvious obviously
no no no
official offici official
> > >
> > >
records record record
of of of
these these these
pseudo pseudo pseudo
- - -
marriages marriag marriage
because becaus because
they they they
are are be
performed perform perform
for for for
> > >
> > >
convenience conveni convenience
. . .
What what What
happens happen happen
typically typic typically
is is be
that that that
the the the
woman woman woman
is is be
willing will willing
to to to
move move move
> > >
> > >
in in in
with with with
her her her
lover lover lover
without without without
any ani any
scruples scrupl scruple
or or or
legal legal legal
contracts contract contract
to to to
speak speak speak
of of of
. . .
> > >
> > >
The the The
man man man
is is be
merely mere merely
utilizing util utilize
a a a
loophole loophol loophole
by by by
entering enter enter
into into into
a a a
temporary temporari temporary
> > >
> > >
religious religi religious
" " "
marriage marriag marriage
" " "
contract contract contract
in in in
order order order
to to to
have have have
sex sex sex
. . .
Nobody nobodi Nobody
complains complain complain
, , ,
> > >
> > >
nobody nobodi nobody
cares care care
, , ,
nobody nobodi nobody
needs need need
to to to
know know know
. . .
> > >
> > >
> > >
> > >
Perhaps perhap Perhaps
you you you
should should should
alert alert alert
your your your
imam imam imam
. . .
It it It
could could could
be be be
that that that
this this this
practice practic practice
is is be
> > >
> > >
far far far
more more more
widespread widespread widespread
than than than
you you you
may may may
think think think
. . .
Or or Or
maybe mayb maybe
it it it
takes take take
4 4 4
muslim muslim muslim
men men men
> > >
> > >
to to to
witness wit witness
the the the
penetration penetr penetration
to to to
decide decid decide
if if if
the the the
practice practic practice
exists exist exist
! ! !
> > >
> > >
- - -
- - -
> > >
> > >
> > >
> > >
Again again Again
you you you
astound astound astound
me me me
with with with
the the the
level level level
of of of
ignorance ignor ignorance
you you you
display display display
, , ,
Muslims muslim Muslims
> > >
are are be
NOT not NOT
allowed allow allow
to to to
enter enter enter
temporary temporari temporary
marriages marriag marriage
, , ,
got got get
that that that
? ? ?
There there There
is is be
> > >
no no no
evidence evid evidence
for for for
it it it
it it it
an an an
outlawed outlaw outlawed
practise practis practise
so so so
get get get
your your your
facts fact fact
> > >
straight straight straight
buddy buddi buddy
. . .
Give give Give
me me me
references refer reference
for for for
it it it
or or or
just just just
tell tell tell
everyone everyon everyone
you you you
> > >
were were be
lying lie lie
. . .
It it It
is is be
not not not
a a a
widespread widespread widespread
as as a
you you you
may may may
think think think
( ( (
fantasise fantasis fantasise
) ) )
in in in
> > >
fact fact fact
contrary contrari contrary
to to to
your your your
fantasies fantasi fantasy
it it it
is is be
not not not
practised practis practise
at at at
all all all
amongst amongst amongst
> > >
Muslims muslim Muslims
. . .
First first First
of of of
all all all
, , ,
I i I
' ' '
m m m
not not not
your your your
buddy buddi buddy
! ! !
Second second Second
, , ,
read read read
what what what
I i I
wrote wrote write
. . .
I i I
' ' '
m m m
not not not
talking talk talk
about about about
what what what
muslims muslim muslim
are are be
ALLOWED allow ALLOWED
to to to
do do do
, , ,
merely mere merely
what what what
* * *
SOME some SOME
* * *
practice practic practice
. . .
They they They
consider consid consider
themselves themselv themselves
as as as
muslim muslim muslim
as as a
you you you
, , ,
so so so
don don don
' ' '
t t t
retort retort retort
with with with
the the the
old old old
and and and
tired tire tired
" " "
they they they
MUST must MUST
NOT not NOT
BE be BE
TRUE true TRUE
MUSLIMS muslim MUSLIMS
" " "
bullshit bullshit bullshit
. . .
If if If
I i I
gave gave give
you you you
the the the
names name name
what what what
will will will
you you you
do do do
with with with
this this this
information inform information
? ? ?
Is is Is
a a a
fatwa fatwa fatwa
going go go
to to to
be be be
leashed leash leash
out out out
against against against
the the the
perpetrators perpetr perpetrator
? ? ?
Do do Do
you you you
honestly honest honestly
think think think
that that that
someone someon someone
who who who
did did do
it it it
would would would
voluntarily voluntarili voluntarily
come come come
forward forward forward
and and and
confess confess confess
? ? ?
With with With
the the the
kind kind kind
of of of
extremism extrem extremism
shown shown show
by by by
your your your
co co co
- - -
religionaries religionari religionaries
? ? ?
Fat fat Fat
chance chanc chance
. . .
At at At
any ani any
rate rate rate
, , ,
there there there
can can can
be be be
no no no
conclusive conclus conclusive
" " "
proof proof proof
" " "
by by by
the the the
very veri very
nature natur nature
of of of
the the the
act act act
. . .
Perhaps perhap Perhaps
people peopl people
that that that
indulge indulg indulge
in in in
this this this
practice practic practice
agree agre agree
with with with
you you you
in in in
theory theori theory
, , ,
but but but
hope hope hope
that that that
Allah allah Allah
will will will
forgive forgiv forgive
them them them
in in in
the the the
end end end
. . .
I i I
think think think
it it it
' ' '
s s s
rather rather rather
arrogant arrog arrogant
of of of
you you you
to to to
pretend pretend pretend
to to to
speak speak speak
for for for
all all all
muslims muslim muslim
in in in
this this this
regard regard regard
. . .
Also also Also
, , ,
kind kind kind
of of of
silly silli silly
. . .
Are are Are
you you you
insinuating insinu insinuate
that that that
because becaus because
the the the
Koranic koran Koranic
law law law
forbids forbid forbids
it it it
, , ,
there there there
are are be
no no no
criminals crimin criminal
in in in
muslim muslim muslim
countries countri country
? ? ?
This this This
is is be
as as as
far far far
as as a
I i I
care care care
to to to
go go go
on on on
this this this
subject subject subject
. . .
The the The
weakness weak weakness
of of of
your your your
arguments argument argument
are are be
for for for
all all all
netters netter netters
to to to
see see see
. . .
Over over Over
and and and
out out out
. . .
. . .
. . .
- - -
- - -
DISCLAIMER disclaim DISCLAIMER
: : :
The the The
opinions opinion opinion
expressed express express
in in in
this this this
posting post posting
are are be
mine mine mine
solely sole solely
and and and
do do do
not not not
represent repres represent
my my my
employer employ employer
in in in
any ani any
way way way
. . .
F f F
. . .
A a A
. . .
Karner karner Karner
AIX aix AIX
Technical technic Technical
Support support Support
| | |
karner karner karner
@ @ @
austin austin austin
. . .
vnet vnet vnet
. . .
ibm ibm ibm
. . .
com com com
