zaphod zaphod zaphod
. . .
mps mps mp
. . .
ohio ohio ohio
- - -
state state state
. . .
edu edu edu
! ! !
wupost wupost wupost
! ! !
uunet uunet uunet
! ! !
olivea olivea olivea
! ! !
sgigate sgigat sgigate
! ! !
odin odin odin
! ! !
fido fido fido
! ! !
solntze solntz solntze
. . .
wpd wpd wpd
. . .
sgi sgi sgi
. . .
com com com
! ! !
livesey livesey livesey
Subject subject Subject
: : :
Re re Re
: : :
< < <
Political polit Political
Atheists atheist Atheists
? ? ?
From from From
: : :
livesey livesey livesey
@ @ @
solntze solntz solntze
. . .
wpd wpd wpd
. . .
sgi sgi sgi
. . .
com com com
( ( (
Jon jon Jon
Livesey livesey Livesey
) ) )
< < <
1 1 1
p p p
6 6 6
rgcINNhfb rgcinnhfb rgcINNhfb
@ @ @
gap gap gap
. . .
caltech caltech caltech
. . .
edu edu edu
> > >
< < <
1 1 1
p p p
88 88 88
fi fi fi
$ $ $
4 4 4
vv vv vv
@ @ @
fido fido fido
. . .
asd asd asd
. . .
sgi sgi sgi
. . .
com com com
> > >
< < <
1993 1993 1993
Mar mar Mar
30 30 30
. . .
051246 051246 051246
. . .
29911 29911 29911
@ @ @
blaze blaze blaze
. . .
cs cs c
. . .
jhu jhu jhu
. . .
edu edu edu
> > >
< < <
1 1 1
p p p
8 8 8
nd nd nd
7 7 7
$ $ $
e e e
9 9 9
f f f
@ @ @
fido fido fido
. . .
asd asd asd
. . .
sgi sgi sgi
. . .
com com com
> > >
< < <
1 1 1
pa pa pa
0 0 0
stINNpqa stinnpqa stINNpqa
@ @ @
gap gap gap
. . .
caltech caltech caltech
. . .
edu edu edu
> > >
< < <
1 1 1
pan pan pan
4 4 4
f f f
$ $ $
b b b
6 6 6
j j j
@ @ @
fido fido fido
. . .
asd asd asd
. . .
sgi sgi sgi
. . .
com com com
> > >
Organization organ Organization
: : :
sgi sgi sgi
NNTP nntp NNTP
- - -
Posting post Posting
- - -
Host host Host
: : :
solntze solntz solntze
. . .
wpd wpd wpd
. . .
sgi sgi sgi
. . .
com com com
Lines line Lines
: : :
20 20 20
In in In
article articl article
< < <
1 1 1
pieg pieg pieg
7 7 7
INNs inn INNs
09 09 09
@ @ @
gap gap gap
. . .
caltech caltech caltech
. . .
edu edu edu
> > >
, , ,
keith keith keith
@ @ @
cco cco cco
. . .
caltech caltech caltech
. . .
edu edu edu
( ( (
Keith keith Keith
Allan allan Allan
Schneider schneider Schneider
) ) )
writes write write
: : :
| | |
> > >
livesey livesey livesey
@ @ @
solntze solntz solntze
. . .
wpd wpd wpd
. . .
sgi sgi sgi
. . .
com com com
( ( (
Jon jon Jon
Livesey livesey Livesey
) ) )
writes write write
: : :
| | |
> > >
| | |
> > >
> > >
Now now Now
along along along
comes come come
Mr mr Mr
Keith keith Keith
Schneider schneider Schneider
and and and
says say say
" " "
Here here Here
is is be
an an an
" " "
objective object objective
| | |
> > >
> > >
moral moral moral
system system system
" " "
. . .
And and And
then then then
I i I
start start start
to to to
ask ask ask
him him him
about about about
the the the
definitions definit definition
| | |
> > >
> > >
that that that
this this this
" " "
objective object objective
" " "
system system system
depends depend depend
on on on
, , ,
and and and
, , ,
predictably predict predictably
, , ,
the the the
whole whole whole
| | |
> > >
> > >
thing thing thing
falls fall fall
apart apart apart
. . .
| | |
> > >
| | |
> > >
It it It
only onli only
falls fall fall
apart apart apart
if if if
you you you
attempt attempt attempt
to to to
apply appli apply
it it it
. . .
This this This
doesn doesn doesn
' ' '
t t t
mean mean mean
that that that
| | |
> > >
an an an
objective object objective
system system system
can can can
' ' '
t t t
exist exist exist
. . .
It it It
just just just
means mean mean
that that that
one one one
cannot cannot cannot
be be be
| | |
> > >
implemented implement implement
. . .
It it It
' ' '
s s s
not not not
the the the
fact fact fact
that that that
it it it
can can can
' ' '
t t t
exist exist exist
that that that
bothers bother bother
me me me
. . .
It it It
' ' '
s s s
the the the
fact fact fact
that that that
you you you
don don don
' ' '
t t t
seem seem seem
to to to
be be be
able abl able
to to to
define defin define
it it it
. . .
If if If
I i I
wanted want want
to to to
hear hear hear
about about about
indefinable indefin indefinable
things thing thing
that that that
might might might
in in in
principle principl principle
exist exist exist
as as as
long long long
as as a
you you you
don don don
' ' '
t t t
think think think
about about about
them them them
too too too
carefully care carefully
, , ,
I i I
could could could
ask ask ask
a a a
religious religi religious
person person person
, , ,
now now now
couldn couldn couldn
' ' '
t t t
I i I
? ? ?
jon jon jon
. . .
