wupost wupost wupost
! ! !
uunet uunet uunet
! ! !
olivea olivea olivea
! ! !
sgigate sgigat sgigate
! ! !
sgi sgi sgi
! ! !
fido fido fido
! ! !
solntze solntz solntze
. . .
wpd wpd wpd
. . .
sgi sgi sgi
. . .
com com com
! ! !
livesey livesey livesey
Subject subject Subject
: : :
Re re Re
: : :
> > >
> > >
> > >
> > >
> > >
> > >
Pompous pompous Pompous
ass ass as
From from From
: : :
livesey livesey livesey
@ @ @
solntze solntz solntze
. . .
wpd wpd wpd
. . .
sgi sgi sgi
. . .
com com com
( ( (
Jon jon Jon
Livesey livesey Livesey
) ) )
< < <
93089 93089 93089
. . .
050046 050046 050046
MVS mvs MVS
104 104 104
@ @ @
psuvm psuvm psuvm
. . .
psu psu psu
. . .
edu edu edu
> > >
< < <
1 1 1
pa pa pa
6 6 6
ntINNs ntinn ntINNs
5 5 5
d d d
@ @ @
gap gap gap
. . .
caltech caltech caltech
. . .
edu edu edu
> > >
< < <
1993 1993 1993
Mar mar Mar
30 30 30
. . .
205919 205919 205919
. . .
26390 26390 26390
@ @ @
blaze blaze blaze
. . .
cs cs c
. . .
jhu jhu jhu
. . .
edu edu edu
> > >
< < <
1 1 1
pcnp pcnp pcnp
3 3 3
INNpom innpom INNpom
@ @ @
gap gap gap
. . .
caltech caltech caltech
. . .
edu edu edu
> > >
< < <
1 1 1
pdjip pdjip pdjip
$ $ $
jsi jsi jsi
@ @ @
fido fido fido
. . .
asd asd asd
. . .
sgi sgi sgi
. . .
com com com
> > >
< < <
1 1 1
pi pi pi
9 9 9
jkINNqe jkinnq jkINNqe
2 2 2
@ @ @
gap gap gap
. . .
caltec caltec caltec
Organization organ Organization
: : :
sgi sgi sgi
NNTP nntp NNTP
- - -
Posting post Posting
- - -
Host host Host
: : :
solntze solntz solntze
. . .
wpd wpd wpd
. . .
sgi sgi sgi
. . .
com com com
Lines line Lines
: : :
20 20 20
In in In
article articl article
< < <
1 1 1
pi pi pi
9 9 9
jkINNqe jkinnq jkINNqe
2 2 2
@ @ @
gap gap gap
. . .
caltech caltech caltech
. . .
edu edu edu
> > >
, , ,
keith keith keith
@ @ @
cco cco cco
. . .
caltech caltech caltech
. . .
edu edu edu
( ( (
Keith keith Keith
Allan allan Allan
Schneider schneider Schneider
) ) )
writes write write
: : :
| | |
> > >
livesey livesey livesey
@ @ @
solntze solntz solntze
. . .
wpd wpd wpd
. . .
sgi sgi sgi
. . .
com com com
( ( (
Jon jon Jon
Livesey livesey Livesey
) ) )
writes write write
: : :
| | |
> > >
| | |
> > >
> > >
> > >
> > >
How how How
long long long
does doe do
it it it
[ [ [
the the the
motto motto motto
] ] ]
have have have
to to to
stay stay stay
around around around
before befor before
it it it
becomes becom become
the the the
| | |
> > >
> > >
> > >
> > >
default default default
? ? ?
. . .
. . .
. . .
Where where Where
' ' '
s s s
the the the
cutoff cutoff cutoff
point point point
? ? ?
| | |
> > >
> > >
> > >
I i I
don don don
' ' '
t t t
know know know
where where where
the the the
exact exact exact
cutoff cutoff cutoff
is is be
, , ,
but but but
it it it
is is be
at at at
least least least
after after after
a a a
few few few
| | |
> > >
> > >
> > >
years year year
, , ,
and and and
surely sure surely
after after after
40 40 40
years year year
. . .
| | |
> > >
> > >
Why whi Why
does doe do
the the the
notion notion notion
of of of
default default default
not not not
take take take
into into into
account account account
changes chang change
| | |
> > >
> > >
in in in
population popul population
makeup makeup makeup
? ? ?
| | |
> > >
| | |
> > >
Specifically specif Specifically
, , ,
which which which
changes chang change
are are be
you you you
talking talk talk
about about about
? ? ?
Are are Are
you you you
arguing argu argue
| | |
> > >
that that that
the the the
motto motto motto
is is be
interpreted interpret interpret
as as a
offensive offens offensive
by by by
a a a
larger larger large
portion portion portion
of of of
the the the
| | |
> > >
population popul population
now now now
than than than
40 40 40
years year year
ago ago ago
? ? ?
No no No
, , ,
do do do
I i I
have have have
to to to
? ? ?
I i I
' ' '
m m m
just just just
commenting comment comment
that that that
it it it
makes make make
very veri very
little littl little
sense sens sense
to to to
consider consid consider
everything everyth everything
we we we
inherit inherit inherit
to to to
be be be
the the the
default default default
. . .
Seen seen Seen
any ani any
steam steam steam
trains train train
recently recent recently
? ? ?
jon jon jon
. . .
