Subject subject Subject
: : :
Re re Re
: : :
Concerning concern Concerning
God god God
' ' '
s s s
Morality moral Morality
( ( (
long long long
) ) )
From from From
: : :
J j J
5 5 5
J j J
@ @ @
psuvm psuvm psuvm
. . .
psu psu psu
. . .
edu edu edu
( ( (
John john John
A a A
. . .
Johnson johnson Johnson
) ) )
< < <
1993 1993 1993
Apr apr Apr
3 3 3
. . .
095220 095220 095220
. . .
24632 24632 24632
@ @ @
leland leland leland
. . .
Stanford stanford Stanford
. . .
EDU edu EDU
> > >
< < <
1993 1993 1993
Apr apr Apr
5 5 5
. . .
084042 084042 084042
. . .
822 822 822
@ @ @
batman batman batman
. . .
bmd bmd bmd
. . .
trw trw trw
. . .
com com com
> > >
Organization organ Organization
: : :
Penn penn Penn
State state State
University univers University
Lines line Lines
: : :
48 48 48
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
5 5 5
. . .
084042 084042 084042
. . .
822 822 822
@ @ @
batman batman batman
. . .
bmd bmd bmd
. . .
trw trw trw
. . .
com com com
> > >
, , ,
jbrown jbrown jbrown
@ @ @
batman batman batman
. . .
bmd bmd bmd
. . .
trw trw trw
. . .
com com com
responds respond respond
to to to
a a a
lot lot lot
of of of
grief grief grief
given given give
to to to
him him him
> > >
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
3 3 3
. . .
095220 095220 095220
. . .
24632 24632 24632
@ @ @
leland leland leland
. . .
Stanford stanford Stanford
. . .
EDU edu EDU
> > >
, , ,
> > >
galahad galahad galahad
@ @ @
leland leland leland
. . .
Stanford stanford Stanford
. . .
EDU edu EDU
( ( (
Scott scott Scott
Compton compton Compton
) ) )
a a a
. . .
k k k
. . .
a a a
. . .
" " "
The the The
Sagemaster sagemast Sagemaster
" " "
[ [ [
. . .
. . .
. . .
] ] ]
> > >
But but But
then then then
I i I
ask ask ask
, , ,
So so So
? ? ?
Where where Where
is is be
this this this
relevant relev relevant
to to to
my my my
discussion discuss discussion
in in in
> > >
answering answer answer
John john John
' ' '
s s s
question question question
of of of
why whi why
? ? ?
Why whi Why
are are be
there there there
genetic genet genetic
diseases diseas disease
, , ,
> > >
and and and
why whi why
are are be
there there there
so so so
many mani many
bacterial bacteri bacterial
and and and
viral viral viral
diseases diseas disease
which which which
require requir require
> > >
babies babi baby
to to to
develop develop develop
antibodies antibodi antibody
. . .
Is is Is
it it it
God god God
' ' '
s s s
fault fault fault
? ? ?
( ( (
the the the
original origin original
> > >
question question question
) ) )
- - -
- - -
I i I
say say say
no no no
, , ,
it it it
is is be
not not not
. . .
Most most Most
of of of
Scotty scotti Scotty
' ' '
s s s
followup followup followup
* * *
was was be
* * *
irrelevant irrelev irrelevant
to to to
the the the
original origin original
question question question
, , ,
but but but
this this this
is is be
not not not
unusual unusu unusual
, , ,
as as a
threads thread thread
often often often
quickly quick quickly
evolve evolv evolve
away away away
from from from
the the the
original origin original
topic topic topic
. . .
What what What
I i I
could could could
not not not
understand understand understand
is is be
why whi why
Jim jim Jim
spent spent spend
so so so
much much much
time time time
responding respond respond
to to to
what what what
he he he
regarded regard regard
as as a
irrelevancies irrelev irrelevancy
. . .
[ [ [
. . .
. . .
. . .
] ] ]
> > >
> > >
May may May
I i I
ask ask ask
, , ,
where where where
is is be
this this this
' ' '
collective collect collective
' ' '
bullcrap bullcrap bullcrap
coming come come
from from from
? ? ?
[ [ [
. . .
. . .
. . .
] ] ]
> > >
> > >
By by By
" " "
collective collect collective
" " "
I i I
was was be
referring refer refer
to to to
the the the
idea idea idea
that that that
God god God
works work work
with with with
> > >
humanity human humanity
on on on
two two two
levels level level
, , ,
individually individu individually
and and and
collectively collect collectively
. . .
If if If
mankind mankind mankind
> > >
as as a
a a a
whole whole whole
decides decid decides
to to to
undertake undertak undertake
a a a
certain certain certain
action action action
( ( (
the the the
majority major majority
of of of
> > >
mankind mankind mankind
) ) )
, , ,
Well well Well
, , ,
I i I
guess guess guess
hypothetical hypothet hypothetical
Adam adam Adam
was was be
" " "
the the the
majority major majority
of of of
mankind mankind mankind
" " "
seeing see see
how how how
he he he
was was be
the the the
ONLY onli ONLY
man man man
at at at
the the the
time time time
. . .
> > >
then then then
God god God
will will will
allow allow allow
the the the
consequences consequ consequence
of of of
that that that
action action action
to to to
> > >
affect affect affect
mankind mankind mankind
as as a
a a a
whole whole whole
. . .
If if If
you you you
didn didn didn
' ' '
t t t
understand understand understand
that that that
, , ,
then then then
I i I
> > >
apologize apolog apologize
for for for
not not not
using use use
one one one
and and and
two two two
syllable syllabl syllable
words word word
in in in
my my my
discussion discuss discussion
. . .
I i I
understand understand understand
what what what
you you you
mean mean mean
by by by
" " "
collective collect collective
, , ,
" " "
but but but
I i I
think think think
it it it
is is be
an an an
insane insan insane
perversion pervers perversion
of of of
justice justic justice
. . .
What what What
sort sort sort
of of of
judge judg judge
would would would
punish punish punish
the the the
descendants descend descendant
for for for
a a a
crime crime crime
committed commit commit
by by by
their their their
ancestor ancestor ancestor
? ? ?
> > >
If if If
you you you
want want want
to to to
be be be
sure sure sure
that that that
I i I
read read read
your your your
post post post
and and and
to to to
provide provid provide
a a a
> > >
response respons response
, , ,
send send send
a a a
copy copi copy
to to to
Jim jim Jim
_ _ _
Brown brown Brown
@ @ @
oz oz oz
. . .
bmd bmd bmd
. . .
trw trw trw
. . .
com com com
. . .
I i I
can can can
' ' '
t t t
read read read
> > >
a a a
. . .
a a a
. . .
every everi every
day day day
, , ,
and and and
some some some
posts post post
slip slip slip
by by by
. . .
Thanks thank Thanks
. . .
Well well Well
, , ,
I i I
must must must
admit admit admit
that that that
you you you
probably probabl probably
read read read
a a a
. . .
a a a
. . .
more more more
often often often
than than than
I i I
read read read
the the the
Bible bibl Bible
these these these
days day day
. . .
But but But
you you you
missed miss miss
a a a
couple coupl couple
of of of
good good good
followups followup followup
to to to
your your your
post post post
. . .
I i I
' ' '
m m m
sending send send
you you you
a a a
personal person personal
copy copi copy
of of of
my my my
followup followup followup
which which which
I i I
hope hope hope
you you you
will will will
respond respond respond
to to to
publically public publically
in in in
a a a
. . .
a a a
. . .
John john John
The the The
Sageless sageless Sageless
