sgiblab sgiblab sgiblab
! ! !
adagio adagio adagio
. . .
panasonic panason panasonic
. . .
com com com
! ! !
nntp nntp nntp
- - -
server server server
. . .
caltech caltech caltech
. . .
edu edu edu
! ! !
keith keith keith
Subject subject Subject
: : :
Re re Re
: : :
< < <
Political polit Political
Atheists atheist Atheists
? ? ?
From from From
: : :
keith keith keith
@ @ @
cco cco cco
. . .
caltech caltech caltech
. . .
edu edu edu
( ( (
Keith keith Keith
Allan allan Allan
Schneider schneider Schneider
) ) )
< < <
1 1 1
p p p
6 6 6
rgcINNhfb rgcinnhfb rgcINNhfb
@ @ @
gap gap gap
. . .
caltech caltech caltech
. . .
edu edu edu
> > >
< < <
1 1 1
p p p
88 88 88
fi fi fi
$ $ $
4 4 4
vv vv vv
@ @ @
fido fido fido
. . .
asd asd asd
. . .
sgi sgi sgi
. . .
com com com
> > >
< < <
1 1 1
p p p
9 9 9
bseINNi bseinni bseINNi
6 6 6
o o o
@ @ @
gap gap gap
. . .
caltech caltech caltech
. . .
edu edu edu
> > >
< < <
1 1 1
pamva pamva pamva
$ $ $
b b b
6 6 6
j j j
@ @ @
fido fido fido
. . .
asd asd asd
. . .
sgi sgi sgi
. . .
com com com
> > >
< < <
1 1 1
pcq pcq pcq
4 4 4
pINNqp pinnqp pINNqp
1 1 1
@ @ @
gap gap gap
. . .
caltech caltech caltech
. . .
edu edu edu
> > >
< < <
30071 30071 30071
@ @ @
ursa ursa ursa
. . .
bear bear bear
. . .
com com com
> > >
Organization organ Organization
: : :
California california California
Institute institut Institute
of of of
Technology technolog Technology
, , ,
Pasadena pasadena Pasadena
NNTP nntp NNTP
- - -
Posting post Posting
- - -
Host host Host
: : :
punisher punish punisher
. . .
caltech caltech caltech
. . .
edu edu edu
Lines line Lines
: : :
22 22 22
halat halat halat
@ @ @
pooh pooh pooh
. . .
bears bear bear
( ( (
Jim jim Jim
Halat halat Halat
) ) )
writes write write
: : :
> > >
> > >
I i I
think think think
an an an
objective object objective
morality moral morality
does doe do
exist exist exist
, , ,
but but but
that that that
most most most
flavors flavor flavor
of of of
morality moral morality
> > >
> > >
are are be
only onli only
approximations approxim approximation
to to to
it it it
. . .
Once onc Once
again again again
, , ,
a a a
natural natur natural
or or or
objective object objective
morality moral morality
> > >
> > >
is is be
fairly fair fairly
easily easili easily
defined defin define
, , ,
as as as
long long long
as as a
you you you
have have have
a a a
goal goal goal
in in in
mind mind mind
- - -
- - -
that that that
is is be
, , ,
what what what
> > >
> > >
is is be
the the the
purpose purpos purpose
of of of
this this this
morality moral morality
. . .
> > >
Maybe mayb Maybe
I i I
' ' '
m m m
not not not
quite quit quite
getting get get
what what what
you you you
mean mean mean
by by by
this this this
, , ,
but but but
I i I
think think think
objective object objective
> > >
morality moral morality
is is be
an an an
oxymoron oxymoron oxymoron
. . .
By by By
definition definit definition
, , ,
it it it
seems seem seem
, , ,
any ani any
_ _ _
goal goal goal
_ _ _
oriented orient orient
> > >
issue issu issue
like like like
this this this
is is be
subjective subject subjective
by by by
nature natur nature
. . .
I i I
don don don
' ' '
t t t
get get get
how how how
you you you
' ' '
re re re
using use use
> > >
the the the
word word word
objective object objective
. . .
But but But
, , ,
the the the
goal goal goal
need need need
not not not
be be be
a a a
subjective subject subjective
one one one
. . .
For for For
instance instanc instance
, , ,
the the the
goal goal goal
of of of
natural natur natural
morality moral morality
is is be
the the the
propogation propog propogation
of of of
a a a
species speci specie
, , ,
perhaps perhap perhaps
. . .
It it It
wasn wasn wasn
' ' '
t t t
really realli really
until until until
the the the
more more more
intelligent intellig intelligent
animals anim animal
came came come
along along along
that that that
some some some
revisions revis revision
to to to
this this this
were were be
necessary necessari necessary
. . .
Intelligent intellig Intelligent
animals anim animal
have have have
different differ different
needs need need
than than than
the the the
others other others
, , ,
and and and
hence henc hence
a a a
morality moral morality
suited suit suit
to to to
them them them
must must must
be be be
a a a
bit bit bit
more more more
complicated complic complicated
than than than
" " "
the the the
law law law
of of of
the the the
jungle jungl jungle
. . .
" " "
I i I
don don don
' ' '
t t t
think think think
that that that
self self self
- - -
actualization actual actualization
is is be
so so so
subjective subject subjective
as as a
you you you
might might might
think think think
. . .
And and And
, , ,
by by by
objectivity object objectivity
, , ,
I i I
am am be
assuming assum assume
that that that
the the the
ideals ideal ideal
of of of
any ani any
such such such
system system system
could could could
be be be
carried carri carry
out out out
completely complet completely
. . .
keith keith keith
