From from From
: : :
sandvik sandvik sandvik
@ @ @
newton newton newton
. . .
apple appl apple
. . .
com com com
( ( (
Kent kent Kent
Sandvik sandvik Sandvik
) ) )
Subject subject Subject
: : :
Re re Re
: : :
New new New
Member member Member
Organization organ Organization
: : :
Cookamunga cookamunga Cookamunga
Tourist tourist Tourist
Bureau bureau Bureau
Lines line Lines
: : :
20 20 20
In in In
article articl article
< < <
C c C
5 5 5
HIEw hiew HIEw
. . .
7 7 7
s s s
1 1 1
@ @ @
portal portal portal
. . .
hq hq hq
. . .
videocart videocart videocart
. . .
com com com
> > >
, , ,
dfuller dfuller dfuller
@ @ @
portal portal portal
. . .
hq hq hq
. . .
videocart videocart videocart
. . .
com com com
( ( (
Dave dave Dave
Fuller fuller Fuller
) ) )
wrote wrote write
: : :
> > >
He he He
is is be
right right right
. . .
Just just Just
because becaus because
an an an
event event event
was was be
explained explain explain
by by by
a a a
human human human
to to to
have have have
been been be
> > >
done done do
" " "
in in in
the the the
name name name
of of of
religion religion religion
" " "
, , ,
does doe do
not not not
mean mean mean
that that that
it it it
actually actual actually
followed follow follow
> > >
the the the
religion religion religion
. . .
He he He
will will will
always alway always
point point point
to to to
the the the
" " "
ideal ideal ideal
" " "
and and and
say say say
that that that
it it it
wasn wasn wasn
' ' '
t t t
> > >
followed follow follow
so so so
it it it
can can can
' ' '
t t t
be be be
the the the
reason reason reason
for for for
the the the
event event event
. . .
There there There
really realli really
is is be
no no no
way way way
> > >
to to to
argue argu argue
with with with
him him him
, , ,
so so so
why whi why
bother bother bother
. . .
Sure sure Sure
, , ,
you you you
may may may
get get get
upset upset upset
because becaus because
his his his
> > >
answer answer answer
is is be
blind blind blind
and and and
not not not
supported support support
factually factual factually
- - -
but but but
he he he
will will will
win win win
every everi every
time time time
> > >
with with with
his his his
little littl little
argument argument argument
. . .
I i I
don don don
' ' '
t t t
think think think
there there there
will will will
be be be
any ani any
postings post posting
from from from
> > >
me me me
in in in
direct direct direct
response respons response
to to to
one one one
of of of
his his his
. . .
Hey hey Hey
! ! !
Glad glad Glad
to to to
have have have
some some some
serious serious serious
and and and
constructive construct constructive
contributors contributor contributor
in in in
this this this
newsgroup newsgroup newsgroup
. . .
I i I
agree agre agree
100 100 100
% % %
on on on
the the the
statement statement statement
above abov above
, , ,
you you you
might might might
argue argu argue
with with with
Bobby bobbi Bobby
for for for
eons eon eon
, , ,
and and and
he he he
still still still
does doe do
not not not
get get get
it it it
, , ,
so so so
the the the
best best best
thing thing thing
is is be
to to to
spare spare spare
your your your
mental mental mental
resources resourc resource
to to to
discuss discuss discuss
more more more
interesting interest interesting
issues issu issue
. . .
Cheers cheer Cheers
, , ,
Kent kent Kent
- - -
- - -
- - -
sandvik sandvik sandvik
@ @ @
newton newton newton
. . .
apple appl apple
. . .
com com com
. . .
ALink alink ALink
: : :
KSAND ksand KSAND
- - -
- - -
Private privat Private
activities activ activity
on on on
the the the
net net net
. . .
