Organization organ Organization
: : :
Penn penn Penn
State state State
University univers University
From from From
: : :
Andrew andrew Andrew
Newell newel Newell
< < <
TAN tan TAN
102 102 102
@ @ @
psuvm psuvm psuvm
. . .
psu psu psu
. . .
edu edu edu
> > >
Subject subject Subject
: : :
Re re Re
: : :
< < <
< < <
Pompous pompous Pompous
ass ass as
< < <
1 1 1
q q q
52 52 52
q q q
8 8 8
INN inn INN
6 6 6
pi pi pi
@ @ @
gap gap gap
. . .
caltech caltech caltech
. . .
edu edu edu
> > >
< < <
93099 93099 93099
. . .
234144 234144 234144
MVS mvs MVS
104 104 104
@ @ @
psuvm psuvm psuvm
. . .
psu psu psu
. . .
edu edu edu
> > >
< < <
1 1 1
q q q
8 8 8
lk lk lk
3 3 3
INNitq innitq INNitq
@ @ @
gap gap gap
. . .
caltech caltech caltech
. . .
edu edu edu
> > >
< < <
93102 93102 93102
. . .
062908 062908 062908
MVS mvs MVS
104 104 104
@ @ @
psuvm psuvm psuvm
. . .
psu psu psu
. . .
edu edu edu
> > >
< < <
93105 93105 93105
. . .
022621 022621 022621
TAN tan TAN
102 102 102
@ @ @
psuvm psuvm psuvm
. . .
psu psu psu
. . .
edu edu edu
> > >
< < <
1 1 1
ql ql ql
71 71 71
pINN pinn pINN
5 5 5
ef ef ef
@ @ @
gap gap gap
. . .
caltech caltech caltech
. . .
edu edu edu
> > >
Lines line Lines
: : :
36 36 36
In in In
article articl article
< < <
1 1 1
ql ql ql
71 71 71
pINN pinn pINN
5 5 5
ef ef ef
@ @ @
gap gap gap
. . .
caltech caltech caltech
. . .
edu edu edu
> > >
, , ,
keith keith keith
@ @ @
cco cco cco
. . .
caltech caltech caltech
. . .
edu edu edu
( ( (
Keith keith Keith
Allan allan Allan
Schneider schneider Schneider
) ) )
says say say
: : :
> > >
> > >
Andrew andrew Andrew
Newell newel Newell
< < <
TAN tan TAN
102 102 102
@ @ @
psuvm psuvm psuvm
. . .
psu psu psu
. . .
edu edu edu
> > >
writes write writes
: : :
> > >
> > >
> > >
Sure sure Sure
, , ,
they they they
may may may
fall fall fall
back back back
on on on
other other other
things thing thing
, , ,
but but but
this this this
is is be
one one one
they they they
> > >
> > >
should should should
not not not
have have have
available avail available
to to to
use use use
. . .
> > >
> > >
It it It
is is be
worse wors bad
than than than
others other others
? ? ?
The the The
National nation National
Anthem anthem Anthem
? ? ?
Should should Should
it it it
be be be
changed chang change
too too too
? ? ?
> > >
God god God
Bless bless Bless
America america America
? ? ?
The the The
list list list
goes goe go
on on on
. . .
. . .
. . .
Worse wors Worse
? ? ?
Maybe mayb Maybe
not not not
, , ,
but but but
it it it
is is be
definately defin definately
a a a
violation violat violation
of of of
the the the
rules rule rule
the the the
US us US
govt govt govt
. . .
supposedly suppos supposedly
follows follow follow
. . .
Maybe mayb Maybe
the the the
others other others
should should should
be be be
changed chang change
to to to
? ? ?
But but But
I i I
' ' '
m m m
not not not
personally person personally
as as a
concerned concern concern
about about about
the the the
anthem anthem anthem
since sinc since
I i I
don don don
' ' '
t t t
come come come
across across across
it it it
in in in
daily daili daily
nearly near nearly
unavoidable unavoid unavoidable
routines routin routine
. . .
> > >
> > >
every everi every
christian christian christian
. . .
And and And
I i I
' ' '
d d d
be be be
tempted tempt tempt
to to to
rub rub rub
that that that
motto motto motto
in in in
the the the
> > >
> > >
face face face
of of of
christians christian christian
when when when
debunking debunk debunk
their their their
standard standard standard
motto motto motto
slinging sling sling
> > >
> > >
gets get get
boring bore boring
. . .
> > >
> > >
Then then Then
you you you
' ' '
d d d
be be be
no no no
better better good
than than than
the the the
people peopl people
you you you
despise despis despise
. . .
I i I
don don don
' ' '
t t t
despise despis despise
the the the
people peopl people
. . .
. . .
. . .
just just just
their their their
opinions opinion opinion
. . .
I i I
meant meant mean
when when when
chatting chat chat
with with with
the the the
ones one one
who who who
refuse refus refuse
to to to
listen listen listen
to to to
any ani any
idea idea idea
other other other
than than than
their their their
own own own
. . .
. . .
. . .
then then then
it it it
just just just
becomes becom become
an an an
exercise exercis exercise
for for for
amusement amus amusement
. . .
> > >
[ [ [
. . .
. . .
. . .
] ] ]
> > >
> > >
For for For
the the the
motto motto motto
to to to
be be be
legitimate legitim legitimate
, , ,
it it it
would would would
have have have
to to to
read read read
: : :
> > >
> > >
" " "
In in In
god god god
, , ,
gods god god
, , ,
or or or
godlessness godless godlessness
we we we
trust trust trust
" " "
> > >
> > >
Would would Would
you you you
approve approv approve
of of of
such such such
a a a
motto motto motto
? ? ?
No no No
. . .
. . .
. . .
. . .
not not not
unless unless unless
the the the
only onli only
way way way
to to to
get get get
rid rid rid
of of of
the the the
current current current
one one one
was was be
to to to
change chang change
it it it
to to to
such such such
as as a
that that that
. . .
