From from From
: : :
cobb cobb cobb
@ @ @
alexia alexia alexia
. . .
lis lis li
. . .
uiuc uiuc uiuc
. . .
edu edu edu
( ( (
Mike mike Mike
Cobb cobb Cobb
) ) )
Subject subject Subject
: : :
Re re Re
: : :
After after After
2000 2000 2000
years year year
, , ,
can can can
we we we
say say say
that that that
Christian christian Christian
Morality moral Morality
is is be
Organization organ Organization
: : :
University univers University
of of of
Illinois illinoi Illinois
at at at
Urbana urbana Urbana
Lines line Lines
: : :
39 39 39
In in In
< < <
11825 11825 11825
@ @ @
vice vice vice
. . .
ICO ico ICO
. . .
TEK tek TEK
. . .
COM com COM
> > >
bobbe bobb bobbe
@ @ @
vice vice vice
. . .
ICO ico ICO
. . .
TEK tek TEK
. . .
COM com COM
( ( (
Robert robert Robert
Beauchaine beauchain Beauchaine
) ) )
writes write write
: : :
> > >
In in In
article articl article
< < <
C c C
5 5 5
Jxru jxru Jxru
. . .
2 2 2
t t t
8 8 8
@ @ @
news news news
. . .
cso cso cso
. . .
uiuc uiuc uiuc
. . .
edu edu edu
> > >
cobb cobb cobb
@ @ @
alexia alexia alexia
. . .
lis lis li
. . .
uiuc uiuc uiuc
. . .
edu edu edu
( ( (
Mike mike Mike
Cobb cobb Cobb
) ) )
writes write write
: : :
> > >
> > >
What what What
do do do
you you you
base base base
your your your
belief belief belief
on on on
atheism atheism atheism
on on on
? ? ?
Your your Your
knowledge knowledg knowledge
and and and
reasoning reason reason
? ? ?
> > >
> > >
COuldn couldn COuldn
' ' '
t t t
that that that
be be be
wrong wrong wrong
? ? ?
> > >
> > >
> > >
Actually actual Actually
, , ,
my my my
atheism atheism atheism
is is be
based base base
on on on
ignorance ignor ignorance
. . .
Ignorance ignor Ignorance
of of of
the the the
> > >
existence exist existence
of of of
any ani any
god god god
. . .
Don don Don
' ' '
t t t
fall fall fall
into into into
the the the
" " "
atheists atheist atheist
don don don
' ' '
t t t
believe believ believe
> > >
because becaus because
of of of
their their their
pride pride pride
" " "
mistake mistak mistake
. . .
How how How
