Organization organ Organization
: : :
Stanford stanford Stanford
Linear linear Linear
Accelerator acceler Accelerator
Center center Center
From from From
: : :
< < <
RCB rcb RCB
@ @ @
SLACVM slacvm SLACVM
. . .
SLAC slac SLAC
. . .
STANFORD stanford STANFORD
. . .
EDU edu EDU
> > >
Subject subject Subject
: : :
Re re Re
: : :
Sphere sphere Sphere
from from from
4 4 4
points point point
? ? ?
Distribution distribut Distribution
: : :
world world world
Lines line Lines
: : :
21 21 21
> > >
From from From
: : :
bolson bolson bolson
@ @ @
carson carson carson
. . .
u u u
. . .
washington washington washington
. . .
edu edu edu
( ( (
Edward edward Edward
Bolson bolson Bolson
) ) )
> > >
Given given Given
4 4 4
points point point
( ( (
non non non
coplanar coplanar coplanar
) ) )
, , ,
how how how
does doe do
one one one
find find find
the the the
sphere sphere sphere
, , ,
that that that
is is be
, , ,
> > >
cnter cnter cnter
and and and
radius radius radius
, , ,
exactly exact exactly
fitting fit fit
those those those
points point point
? ? ?
The the The
equation equat equation
of of of
the the the
sphere sphere sphere
through through through
the the the
4 4 4
points point point
( ( (
x x x
1 1 1
, , ,
y y y
1 1 1
, , ,
z z z
1 1 1
) ) )
, , ,
. . .
. . .
. . .
, , ,
( ( (
x x x
4 4 4
, , ,
y y y
4 4 4
, , ,
z z z
4 4 4
) ) )
is is be
| | |
x x x
^ ^ ^
2 2 2
+ + +
y y y
^ ^ ^
2 2 2
+ + +
z z z
^ ^ ^
2 2 2
x x x
1 1 1
^ ^ ^
2 2 2
+ + +
y y y
1 1 1
^ ^ ^
2 2 2
+ + +
z z z
1 1 1
^ ^ ^
2 2 2
. . .
. . .
. . .
x x x
4 4 4
^ ^ ^
2 2 2
+ + +
y y y
4 4 4
^ ^ ^
2 2 2
+ + +
z z z
4 4 4
^ ^ ^
2 2 2
| | |
| | |
x x x
x x x
1 1 1
. . .
. . .
. . .
x x x
4 4 4
| | |
| | |
y y y
y y y
1 1 1
. . .
. . .
. . .
y y y
4 4 4
| | |
= = =
0 0 0
| | |
z z z
z z z
1 1 1
. . .
. . .
. . .
z z z
4 4 4
| | |
| | |
1 1 1
1 1 1
. . .
. . .
. . .
1 1 1
| | |
When when When
this this this
5 5 5
by by by
5 5 5
determininant determinin determininant
is is be
expanded expand expand
on on on
its it it
first first first
column column column
you you you
get get get
the the the
equation equat equation
in in in
the the the
form form form
A a A
( ( (
x x x
^ ^ ^
2 2 2
+ + +
y y y
^ ^ ^
2 2 2
+ + +
z z z
^ ^ ^
2 2 2
) ) )
+ + +
Bx bx Bx
+ + +
Cy cy Cy
+ + +
Dz dz Dz
+ + +
E e E
= = =
0 0 0
If if If
you you you
need need need
the the the
center center center
and and and
radius radius radius
, , ,
jyst jyst jyst
divide divid divide
through through through
by by by
A a A
( ( (
it it it
cannot cannot cannot
be be be
zero zero zero
if if if
the the the
4 4 4
given given give
points point point
form form form
a a a
non non non
- - -
degenerate degener degenerate
tetrahedron tetrahedron tetrahedron
) ) )
and and and
complete complet complete
the the the
square squar square
on on on
x x x
, , ,
y y y
, , ,
and and and
z z z
to to to
obtain obtain obtain
( ( (
x x x
- - -
xc xc xc
) ) )
^ ^ ^
2 2 2
+ + +
( ( (
y y y
- - -
yc yc yc
) ) )
^ ^ ^
2 2 2
+ + +
( ( (
z z z
- - -
zc zc zc
) ) )
^ ^ ^
2 2 2
= = =
r r r
^ ^ ^
2 2 2
rcb rcb rcb
@ @ @
slacvm slacvm slacvm
. . .
slac slac slac
. . .
stanford stanford stanford
. . .
edu edu edu
( ( (
Bob bob Bob
Beach beach Beach
) ) )
