From from From
: : :
jmuller jmuller jmuller
@ @ @
ic ic ic
. . .
sunysb sunysb sunysb
. . .
edu edu edu
( ( (
John john John
S s S
Muller muller Muller
) ) )
Subject subject Subject
: : :
WAYNE wayn WAYNE
RIGBY rigbi RIGBY
Organization organ Organization
: : :
State state State
University univers University
of of of
New new New
York york York
at at at
Stony stoni Stony
Brook brook Brook
Lines line Lines
: : :
20 20 20
Distribution distribut Distribution
: : :
world world world
NNTP nntp NNTP
- - -
Posting post Posting
- - -
Host host Host
: : :
csws csws csws
18 18 18
. . .
ic ic ic
. . .
sunysb sunysb sunysb
. . .
edu edu edu
Sorry sorri Sorry
to to to
clog clog clog
up up up
the the the
news news news
group group group
with with with
this this this
message messag message
. . .
Wayne wayn Wayne
Rigby rigbi Rigby
, , ,
I i I
have have have
the the the
info info info
you you you
requested request request
, , ,
but but but
for for for
some some some
reason reason reason
I i I
can can can
not not not
mail mail mail
it it it
to to to
you you you
. . .
Please pleas Please
contact contact contact
me me me
! ! !
Send send Send
email email email
address address address
. . .
j j j
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
" " "
No no No
Real real Real
Programmer programm Programmer
can can can
function function function
without without without
caffeine caffein caffeine
" " "
- - -
Zen zen Zen
+ + +
Art art Art
of of of
Internet internet Internet
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
John john John
S s S
. . .
Muller muller Muller
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
muller muller muller
@ @ @
diego diego diego
. . .
llnl llnl llnl
. . .
gov gov gov
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
muller muller muller
@ @ @
sisal sisal sisal
. . .
llnl llnl llnl
. . .
gov gov gov
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
jmuller jmuller jmuller
@ @ @
libserv libserv libserv
1 1 1
. . .
ic ic ic
. . .
sunysb sunysb sunysb
. . .
edu edu edu
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
_ _ _
/ / /
" " "
You you You
are are be
not not not
drunk drunk drunk
until until until
you you you
have have have
to to to
grab grab grab
the the the
grass grass grass
, , ,
to to to
keep keep keep
the the the
grass grass grass
from from from
falling fall fall
off off off
the the the
earth earth earth
" " "
- - -
Some some Some
Stupid stupid Stupid
Comedian comedian Comedian
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
