Subject subject Subject
: : :
Re re Re
: : :
Video video Video
in in in
/ / /
out out out
From from From
: : :
djlewis djlewi djlewis
@ @ @
ualr ualr ualr
. . .
edu edu edu
Organization organ Organization
: : :
University univers University
of of of
Arkansas arkansa Arkansas
at at at
Little littl Little
Rock rock Rock
Nntp nntp Nntp
- - -
Posting post Posting
- - -
Host host Host
: : :
athena athena athena
. . .
ualr ualr ualr
. . .
edu edu edu
Lines line Lines
: : :
40 40 40
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
18 18 18
. . .
080719 080719 080719
. . .
4773 4773 4773
@ @ @
nwnexus nwnexus nwnexus
. . .
WA wa WA
. . .
COM com COM
> > >
, , ,
mscrap mscrap mscrap
@ @ @
halcyon halcyon halcyon
. . .
com com com
( ( (
Marta marta Marta
Lyall lyall Lyall
) ) )
writes write write
: : :
> > >
Organization organ Organization
: : :
" " "
A a A
World world World
of of of
Information inform Information
at at at
your your your
Fingertips fingertip Fingertips
" " "
> > >
Keywords keyword Keywords
: : :
> > >
> > >
In in In
article articl article
< < <
628 628 628
@ @ @
toontown toontown toontown
. . .
columbiasc columbiasc columbiasc
. . .
ncr ncr ncr
. . .
com com com
> > >
craig craig craig
@ @ @
toontown toontown toontown
. . .
ColumbiaSC columbiasc ColumbiaSC
. . .
NCR ncr NCR
. . .
COM com COM
( ( (
Craig craig Craig
S s S
. . .
Williamson williamson Williamson
) ) )
writes write write
: : :
> > >
> > >
> > >
> > >
I i I
' ' '
m m m
getting get get
ready readi ready
to to to
buy buy buy
a a a
multimedia multimedia multimedia
workstation workstat workstation
and and and
would would would
like like like
a a a
little littl little
> > >
> > >
advice advic advice
. . .
I i I
need need need
a a a
graphics graphic graphic
card card card
that that that
will will will
do do do
video video video
in in in
and and and
out out out
under under under
windows window window
. . .
> > >
> > >
I i I
was was be
originally origin originally
thinking think think
of of of
a a a
Targa targa Targa
+ + +
but but but
that that that
doesn doesn doesn
' ' '
t t t
work work work
under under under
Windows window Windows
. . .
> > >
> > >
What what What
cards card card
should should should
I i I
be be be
looking look look
into into into
? ? ?
> > >
> > >
> > >
> > >
Thanks thank Thanks
, , ,
> > >
> > >
Craig craig Craig
> > >
> > >
> > >
> > >
- - -
- - -
> > >
> > >
" " "
To to To
forgive forgiv forgive
is is be
divine divin divine
, , ,
to to to
be be be
> > >
> > >
- - -
Craig craig Craig
Williamson williamson Williamson
an an an
airhead airhead airhead
is is be
human human human
. . .
" " "
> > >
> > >
Craig craig Craig
. . .
Williamson williamson Williamson
@ @ @
ColumbiaSC columbiasc ColumbiaSC
. . .
NCR ncr NCR
. . .
COM com COM
- - -
Balki balki Balki
Bartokomas bartokoma Bartokomas
> > >
> > >
craig craig craig
@ @ @
toontown toontown toontown
. . .
ColumbiaSC columbiasc ColumbiaSC
. . .
NCR ncr NCR
. . .
COM com COM
( ( (
home home home
) ) )
Perfect perfect Perfect
Strangers stranger Strangers
> > >
> > >
> > >
Craig craig Craig
, , ,
> > >
> > >
You you You
should should should
still still still
consider consid consider
the the the
Targa targa Targa
+ + +
. . .
I i I
run run run
windows window windows
3 3 3
. . .
1 1 1
on on on
it it it
all all all
the the the
> > >
time time time
at at at
work work work
and and and
it it it
works work work
fine fine fine
. . .
I i I
think think think
all all all
you you you
need need need
is is be
the the the
right right right
> > >
driver driver driver
. . .
> > >
> > >
Josh josh Josh
West west West
> > >
email email email
: : :
mscrap mscrap mscrap
@ @ @
halcyon halcyon halcyon
. . .
com com com
> > >
AT at AT
& & &
T t T
also also also
puts put put
out out out
two two two
new new new
products product product
for for for
windows window window
, , ,
Model model Model
numbers number number
elude elud elude
me me me
now now now
, , ,
a a a
15 15 15
bit bit bit
video video video
board board board
with with with
framegrabber framegrabb framegrabber
and and and
a a a
16 16 16
bit bit bit
with with with
same same same
. . .
Yesterday yesterday Yesterday
I i I
was was be
looking look look
at at at
a a a
product product product
at at at
a a a
local local local
Software softwar Software
ETC etc ETC
store store store
. . .
Media media Media
Vision vision Vision
makes make make
a a a
15 15 15
bit bit bit
( ( (
32 32 32
, , ,
768 768 768
color color color
) ) )
frame frame frame
capture captur capture
board board board
that that that
is is be
stand stand stand
alone alon alone
and and and
doesnot doesnot doesnot
use use use
the the the
feature featur feature
connector connector connector
on on on
your your your
existing exist exist
video video video
card card card
. . .
It it It
claims claim claim
upto upto upto
30 30 30
fps fps fps
live live live
capture captur capture
as as as
well well well
as as a
single singl single
frame frame frame
from from from
either either either
composite composit composite
NTSC ntsc NTSC
or or or
s s s
- - -
video video video
in in in
and and and
out out out
. . .
Don don Don
Lewis lewi Lewis
< < <
djlewis djlewi djlewis
@ @ @
ualr ualr ualr
. . .
edu edu edu
> > >
