From from From
: : :
rytg rytg rytg
7 7 7
@ @ @
fel fel fel
. . .
tno tno tno
. . .
nl nl nl
( ( (
Q q Q
. . .
van van van
Rijt rijt Rijt
) ) )
Subject subject Subject
: : :
Re re Re
: : :
Sphere sphere Sphere
from from from
4 4 4
points point point
? ? ?
Organization organ Organization
: : :
TNO tno TNO
Physics physic Physics
and and and
Electronics electron Electronics
Laboratory laboratori Laboratory
Lines line Lines
: : :
26 26 26
There there There
is is be
another anoth another
useful use useful
method method method
based base base
on on on
Least least Least
Sqyares sqyar Sqyares
Estimation estim Estimation
of of of
the the the
sphere sphere sphere
equation equat equation
parameters paramet parameter
. . .
The the The
points point point
( ( (
x x x
, , ,
y y y
, , ,
z z z
) ) )
on on on
a a a
spherical spheric spherical
surface surfac surface
with with with
radius radius radius
R r R
and and and
center center center
( ( (
a a a
, , ,
b b b
, , ,
c c c
) ) )
can can can
be be be
written written write
as as a
( ( (
x x x
- - -
a a a
) ) )
^ ^ ^
2 2 2
+ + +
( ( (
y y y
- - -
b b b
) ) )
^ ^ ^
2 2 2
+ + +
( ( (
z z z
- - -
c c c
) ) )
^ ^ ^
2 2 2
= = =
R r R
^ ^ ^
2 2 2
This this This
equation equat equation
can can can
be be be
rewritten rewritten rewrite
into into into
the the the
following follow following
form form form
: : :
2 2 2
ax ax ax
+ + +
2 2 2
by by by
+ + +
2 2 2
cz cz cz
+ + +
R r R
^ ^ ^
2 2 2
- - -
a a a
^ ^ ^
2 2 2
- - -
b b b
^ ^ ^
2 2 2
- - -
c c c
^ ^ ^
2 2 2
= = =
x x x
^ ^ ^
2 2 2
+ + +
y y y
^ ^ ^
2 2 2
+ + +
z z z
^ ^ ^
2 2 2
Approximate approxim Approximate
the the the
left left left
hand hand hand
part part part
by by by
F f F
( ( (
x x x
, , ,
y y y
, , ,
z z z
) ) )
= = =
p p p
1 1 1
. . .
x x x
+ + +
p p p
2 2 2
. . .
x x x
+ + +
p p p
3 3 3
. . .
z z z
+ + +
p p p
4 4 4
. . .
1 1 1
For for For
all all all
datapoints datapoint datapoints
, , ,
i i i
. . .
c c c
. . .
4 4 4
, , ,
determine determin determine
the the the
4 4 4
parameters paramet parameter
p p p
1 1 1
. . .
. . .
p p p
4 4 4
which which which
minimise minimis minimise
the the the
average averag average
error error error
| | |
F f F
( ( (
x x x
, , ,
y y y
, , ,
z z z
) ) )
- - -
x x x
^ ^ ^
2 2 2
- - -
y y y
^ ^ ^
2 2 2
- - -
z z z
^ ^ ^
2 2 2
| | |
^ ^ ^
2 2 2
. . .
In in In
' ' '
Numerical numer Numerical
Recipes recip Recipes
in in in
C c C
' ' '
can can can
be be be
found found find
algorithms algorithm algorithms
to to to
solve solv solve
these these these
parameters paramet parameter
. . .
The the The
best best best
fitting fit fitting
sphere sphere sphere
will will will
have have have
- - -
center center center
( ( (
a a a
, , ,
b b b
, , ,
c c c
) ) )
= = =
( ( (
p p p
1 1 1
/ / /
2 2 2
, , ,
p p p
2 2 2
/ / /
2 2 2
, , ,
p p p
3 3 3
/ / /
2 2 2
) ) )
- - -
radius radius radius
R r R
= = =
sqrt sqrt sqrt
( ( (
p p p
4 4 4
+ + +
a a a
. . .
a a a
+ + +
b b b
. . .
b b b
+ + +
c c c
. . .
c c c
) ) )
. . .
So so So
, , ,
at at at
last last last
, , ,
will will will
this this this
solve solv solve
you you you
sphere sphere sphere
estination estin estination
problem problem problem
, , ,
at at at
least least least
for for for
the the the
most most most
situations situat situation
I i I
think think think
? ? ?
. . .
Quick quick Quick
van van van
Rijt rijt Rijt
, , ,
rytg rytg rytg
7 7 7
@ @ @
fel fel fel
. . .
tno tno tno
. . .
nl nl nl
