From from From
: : :
franklig franklig franklig
@ @ @
helium helium helium
. . .
gas gas gas
. . .
uug uug uug
. . .
arizona arizona arizona
. . .
edu edu edu
( ( (
Gregory gregori Gregory
C c C
Franklin franklin Franklin
) ) )
Subject subject Subject
: : :
Re re Re
: : :
Mouse mous Mouse
on on on
Com com Com
3 3 3
  
  
  
OM om OM
3 3 3
or or or
COM com COM
4 4 4
in in in
Windows window Windows
Organization organ Organization
: : :
University univers University
of of of
Arizona arizona Arizona
, , ,
Tucson tucson Tucson
Lines line Lines
: : :
23 23 23
In in In
article articl article
< < <
C c C
4 4 4
v v v
5 5 5
p p p
3 3 3
. . .
JyF jyf JyF
@ @ @
bcstec bcstec bcstec
. . .
ca ca ca
. . .
boeing boe boeing
. . .
com com com
> > >
isbell isbel isbell
@ @ @
bcstec bcstec bcstec
. . .
ca ca ca
. . .
boeing boe boeing
. . .
com com com
( ( (
Robert robert Robert
Isbell isbel Isbell
) ) )
writes write write
: : :
> > >
jpaparel jpaparel jpaparel
@ @ @
cs cs c
. . .
ulowell ulowel ulowell
. . .
edu edu edu
( ( (
Joseph joseph Joseph
Paparella paparella Paparella
) ) )
writes write write
: : :
> > >
> > >
> > >
I i I
am am be
having have have
a a a
problem problem problem
configuring configur configure
the the the
mouse mous mouse
in in in
windows window window
to to to
use use use
COM com COM
3 3 3
> > >
> > >
with with with
IRQ irq IRQ
5 5 5
. . .
> > >
> > >
> > >
COM com COM
1 1 1
and and and
COM com COM
2 2 2
are are be
being be be
used use use
to to to
support support support
two two two
24 24 24
hour hour hour
bbs bbs bb
lines line line
, , ,
There there There
you you you
go go go
. . .
COM com COM
1 1 1
and and and
COM com COM
3 3 3
use use use
the the the
same same same
IRQ irq IRQ
, , ,
therefore therefor therefore
you you you
can can can
' ' '
t t t
use use use
a a a
mouse mous mouse
on on on
COM com COM
3 3 3
and and and
a a a
modem modem modem
on on on
COM com COM
1 1 1
, , ,
or or or
vice vice vice
versa versa versa
. . .
It it It
' ' '
s s s
a a a
limitation limit limitation
of of of
DOS dos DOS
. . .
And and And
in in in
fact fact fact
Windows window Windows
will will will
not not not
see see see
a a a
mouse mous mouse
on on on
anything anyth anything
other other other
than than than
COM com COM
1 1 1
or or or
COM com COM
2 2 2
. . .
Accept accept Accept
this this this
fact fact fact
, , ,
and and and
either either either
get get get
a a a
bus bus bus
mouse mous mouse
, , ,
or or or
get get get
a a a
new new new
computer comput computer
. . .
> > >
I i I
would would would
also also also
like like like
to to to
know know know
if if if
it it it
is is be
possible possibl possible
to to to
use use use
the the the
mouse mous mouse
on on on
ports port port
other other other
> > >
than than than
COM com COM
1 1 1
or or or
COM com COM
2 2 2
. . .
No no No
. . .
The the The
advice advic advice
above abov above
applies appli applies
. . .
. . .
. . .
. . .
- - -
- - -
Greg greg Greg
Franklin franklin Franklin
franklig franklig franklig
@ @ @
gas gas gas
. . .
uug uug uug
. . .
arizona arizona arizona
. . .
edu edu edu
