Organization organ Organization
: : :
Arizona arizona Arizona
State state State
University univers University
From from From
: : :
James jame James
Cassidy cassidi Cassidy
< < <
IFJXC ifjxc IFJXC
@ @ @
ASUACAD asuacad ASUACAD
. . .
BITNET bitnet BITNET
> > >
Subject subject Subject
: : :
Norton norton Norton
Desktop desktop Desktop
Smartcan smartcan Smartcan
vs vs v
. . .
Norton norton Norton
Util util Util
' ' '
s s s
EP ep EP
Lines line Lines
: : :
22 22 22
I i I
just just just
purchased purchas purchase
The the The
Norton norton Norton
Desktop desktop Desktop
for for for
windows window window
, , ,
and and and
I i I
also also also
have have have
Norton norton Norton
Utilities util Utilities
. . .
When when When
I i I
installed instal instal
NDW ndw NDW
, , ,
it it it
wanted want want
to to to
rem rem rem
out out out
the the the
line line line
that that that
installed instal instal
EP ep EP
( ( (
EP ep EP
/ / /
ON on ON
) ) )
and and and
the the the
command command command
to to to
invoke invok invoke
the the the
Image imag Image
utility util utility
. . .
It it It
replaced replac replace
the the the
Image imag Image
command command command
with with with
a a a
new new new
image imag image
command command command
that that that
invokes invok invoke
the the the
version version version
of of of
Image imag Image
that that that
came came come
with with with
NDW ndw NDW
. . .
This this This
makes make make
sense sens sense
, , ,
as as a
presumably presum presumably
the the the
Image imag Image
version version version
with with with
NDW ndw NDW
is is be
newer newer new
than than than
the the the
one one one
with with with
NU nu NU
. . .
It it It
did did do
not not not
, , ,
however howev however
, , ,
install instal install
smartcan smartcan smartcan
in in in
the the the
autoexec autoexec autoexec
. . .
Now now Now
two two two
questions question question
: : :
1 1 1
: : :
Will will Will
NU nu NU
use use use
the the the
image imag image
data data data
saved save save
by by by
the the the
newer newer new
version version version
of of of
image imag image
invoked invok invoke
. . .
i i i
. . .
e e e
. . .
Are are Are
the the the
two two two
version version version
of of of
Image imag Image
compatable compat compatable
? ? ?
2 2 2
: : :
Will will Will
erase eras erase
protect protect protect
use use use
the the the
info info info
from from from
smartcan smartcan smartcan
, , ,
and and and
vice vice vice
versa versa versa
? ? ?
I i I
use use use
both both both
dos dos do
and and and
windows window window
, , ,
and and and
I i I
want want want
to to to
make make make
sure sure sure
that that that
when when when
I i I
erase eras erase
files file file
in in in
either either either
environment environ environment
, , ,
they they they
are are be
going go go
to to to
be be be
protected protect protect
. . .
From from From
the the the
experiments experi experiment
I i I
have have have
run run run
, , ,
The the The
two two two
programs program program
( ( (
Erase eras Erase
Protect protect Protect
and and and
smart smart smart
Erase eras Erase
) ) )
don don don
' ' '
t t t
use use use
each each each
others other others
info info info
. . .
I i I
currently current currently
have have have
both both both
EP ep EP
and and and
smartcan smartcan smartcan
loading load loading
within within within
my my my
autoexec autoexec autoexec
, , ,
and and and
I i I
don don don
' ' '
t t t
see see see
any ani any
conflicts conflict conflict
; ; ;
FYI fyi FYI
: : :
Norton norton Norton
Desktop desktop Desktop
for for for
Windows window Windows
version version version
2 2 2
. . .
2 2 2
Norton norton Norton
Util util Util
' ' '
s s s
version version version
6 6 6
Thanks thank Thanks
for for for
any ani any
help help help
. . .
