Nntp nntp Nntp
- - -
Posting post Posting
- - -
Host host Host
: : :
134 134 134
. . .
58 58 58
. . .
96 96 96
. . .
14 14 14
From from From
: : :
wimvh wimvh wimvh
@ @ @
liris liri liris
. . .
tew tew tew
. . .
kuleuven kuleuven kuleuven
. . .
ac ac ac
. . .
be be be
( ( (
Wim wim Wim
Van van Van
Holder holder Holder
) ) )
Distribution distribut Distribution
: : :
world world world
Organization organ Organization
: : :
K k K
. . .
U u U
. . .
Leuven leuven Leuven
- - -
Applied appli Applied
Economic econom Economic
Sciences scienc Sciences
Department depart Department
Subject subject Subject
: : :
Re re Re
: : :
WINQVTNET winqvtnet WINQVTNET
with with with
NDIS ndis NDIS
on on on
Token token Token
Ring ring Ring
? ? ?
Lines line Lines
: : :
28 28 28
In in In
article articl article
< < <
1993 1993 1993
APR apr APR
21 21 21
. . .
210954 210954 210954
. . .
40516 40516 40516
@ @ @
DATAMARK datamark DATAMARK
. . .
CO co CO
. . .
NZ nz NZ
> > >
, , ,
thomas thoma thomas
@ @ @
datamark datamark datamark
. . .
co co co
. . .
nz nz nz
writes write writes
: : :
| | |
> > >
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
21 21 21
. . .
082152 082152 082152
@ @ @
liris liri liris
. . .
tew tew tew
. . .
kuleuven kuleuven kuleuven
. . .
ac ac ac
. . .
be be be
> > >
wimvh wimvh wimvh
@ @ @
liris liri liris
. . .
tew tew tew
. . .
kuleuven kuleuven kuleuven
. . .
ac ac ac
. . .
be be be
( ( (
Wim wim Wim
Van van Van
Holder holder Holder
) ) )
writes write write
: : :
| | |
> > >
> > >
Is is Is
it it it
possible possibl possible
to to to
use use use
WinQVT winqvt WinQVT
/ / /
Net net Net
on on on
a a a
machine machin machine
that that that
uses use use
NDIS ndis NDIS
to to to
connect connect connect
to to to
a a a
| | |
> > >
> > >
Token token Token
Ring ring Ring
? ? ?
I i I
tried tri try
it it it
with with with
older older old
versions version version
( ( (
< < <
3 3 3
. . .
2 2 2
) ) )
but but but
got got get
an an an
invalid invalid invalid
packet packet packet
| | |
> > >
> > >
class class class
error error error
or or or
something someth something
the the the
like like like
. . .
. . .
. . .
| | |
> > >
| | |
> > >
How how How
are are be
you you you
attempting attempt attempt
to to to
do do do
that that that
? ? ?
| | |
> > >
| | |
> > >
Are are Are
you you you
using use use
the the the
DIS dis DIS
_ _ _
PKT pkt PKT
9 9 9
program program program
? ? ?
This this This
provides provid provide
a a a
packet packet packet
driver driver driver
on on on
| | |
> > >
top top top
of of of
the the the
NDIS ndis NDIS
driver driver driver
. . .
| | |
> > >
I i I
tried tri try
to to to
do do do
so so so
, , ,
but but but
people peopl people
told told tell
me me me
that that that
even even even
if if if
I i I
used use use
DISPKT dispkt DISPKT
, , ,
the the the
packets packet packet
would would would
still still still
be be be
incompatible incompat incompatible
. . .
Is is Is
this this this
true true true
? ? ?
| | |
> > >
- - -
- - -
| | |
> > >
Thomas thoma Thomas
Beagle beagl Beagle
| | |
thomas thoma thomas
@ @ @
datamark datamark datamark
. . .
co co co
. . .
nz nz nz
Work work Work
: : :
64 64 64
4 4 4
233 233 233
8186 8186 8186
_ _ _
_ _ _
o o o
| | |
> > >
Technical technic Technical
Writer writer Writer
| | |
thomas thoma thomas
@ @ @
cavebbs cavebb cavebbs
. . .
welly welli welly
. . .
gen gen gen
. . .
nz nz nz
Home home Home
: : :
64 64 64
4 4 4
499 499 499
3832 3832 3832
_ _ _
- - -
\ \ \
< < <
, , ,
| | |
> > >
Wellington wellington Wellington
, , ,
NZ nz NZ
| | |
Hound hound Hound
for for for
hire hire hire
. . .
Will will Will
work work work
for for for
dog dog dog
biscuits biscuit biscuit
. . .
( ( (
_ _ _
) ) )
/ / /
( ( (
_ _ _
) ) )
Wim wim Wim
Van van Van
Holder holder Holder
Katholieke katholiek Katholieke
Universiteit universiteit Universiteit
Leuven leuven Leuven
Tel tel Tel
: : :
+ + +
+ + +
32 32 32
( ( (
0 0 0
) ) )
16 16 16
/ / /
28 28 28
. . .
57 57 57
. . .
16 16 16
Departement depart Departement
T t T
. . .
E e E
. . .
W w W
. . .
FAX fax FAX
: : :
+ + +
+ + +
32 32 32
( ( (
0 0 0
) ) )
16 16 16
/ / /
28 28 28
. . .
57 57 57
. . .
99 99 99
Dekenstraat dekenstraat Dekenstraat
2 2 2
B b B
- - -
3000 3000 3000
Leuven leuven Leuven
E e E
- - -
mail mail mail
: : :
wimvh wimvh wimvh
@ @ @
liris liri liris
. . .
tew tew tew
. . .
kuleuven kuleuven kuleuven
. . .
ac ac ac
. . .
be be be
BELGIUM belgium BELGIUM
fdbaq fdbaq fdbaq
03 03 03
@ @ @
cc cc cc
1 1 1
. . .
kuleuven kuleuven kuleuven
. . .
ac ac ac
. . .
be be be
