Organization organ Organization
: : :
University univers University
of of of
Central central Central
Florida florida Florida
- - -
Computer comput Computer
Services servic Services
From from From
: : :
Mark mark Mark
Woodruff woodruff Woodruff
< < <
CDA cda CDA
90038 90038 90038
@ @ @
UCF ucf UCF
1 1 1
VM vm VM
. . .
BITNET bitnet BITNET
> > >
Subject subject Subject
: : :
Bigger bigger Bigger
window window window
headings head heading
Lines line Lines
: : :
8 8 8
Does doe Does
anyone anyon anyone
know know know
of of of
bigger bigger big
raster raster raster
fonts font font
? ? ?
I i I
' ' '
m m m
using use use
a a a
Mag mag Mag
15 15 15
H h H
monitor monitor monitor
with with with
a a a
Diamond diamond Diamond
SS ss SS
24 24 24
X x X
in in in
1280 1280 1280
x x x
1024 1024 1024
mode mode mode
and and and
would would would
prefer prefer prefer
to to to
have have have
larger larger large
characters charact character
for for for
the the the
windows window window
heading head head
( ( (
practically practic practically
for for for
everything everyth everything
) ) )
. . .
I i I
' ' '
m m m
already alreadi already
using use use
the the the
8514 8514 8514
character charact character
sets set set
. . .
mark mark mark
Any ani Any
idea idea idea
of of of
the the the
difference differ difference
between between between
the the the
15 15 15
H h H
and and and
the the the
15 15 15
F f F
? ? ?
