Subject subject Subject
: : :
roman roman roman
. . .
bmp bmp bmp
01 01 01
/ / /
14 14 14
In in In
response respons response
to to to
the the the
requests request request
for for for
cool cool cool
bitmaps bitmap bitmap
I i I
am am be
posting post post
one one one
. . .
From from From
: : :
pwiseman pwiseman pwiseman
@ @ @
salmon salmon salmon
. . .
usd usd usd
. . .
edu edu edu
( ( (
Cliff cliff Cliff
) ) )
Reply repli Reply
- - -
To to To
: : :
pwiseman pwiseman pwiseman
@ @ @
salmon salmon salmon
. . .
usd usd usd
. . .
edu edu edu
( ( (
Cliff cliff Cliff
) ) )
Distribution distribut Distribution
: : :
usa usa usa
Organization organ Organization
: : :
University univers University
of of of
South south South
Dakota dakota Dakota
Lines line Lines
: : :
978 978 978
Due due Due
to to to
the the the
resolution resolut resolution
and and and
size size size
it it it
is is be
in in in
14 14 14
parts part part
. . .
This this This
is is be
a a a
uuencoded uuencod uuencoded
bitmap bitmap bitmap
. . .
960 960 960
X x X
600 600 600
256 256 256
colors color color
. . .
The the The
picture pictur picture
is is be
a a a
marbled marbl marbled
gazebo gazebo gazebo
on on on
a a a
desert desert desert
with with with
blue blue blue
sky sky sky
background background background
. . .
The the The
size size size
is is be
just just just
right right right
for for for
centered center centered
wallpaper wallpap wallpaper
on on on
a a a
1024 1024 1024
x x x
768 768 768
display display display
because becaus because
it it it
leaves leav leave
a a a
border border border
at at at
the the the
bottom bottom bottom
just just just
big big big
enough enough enough
for for for
icons icon icon
to to to
fit fit fit
in in in
without without without
being be be
on on on
top top top
of of of
the the the
picture pictur picture
. . .
Reguarding reguard Reguarding
image imag image
quality qualiti quality
and and and
resolution resolut resolution
- - -
I i I
have have have
not not not
seen seen see
much much much
better better well
. . .
For for For
those those those
of of of
you you you
who who who
haven haven haven
' ' '
t t t
worked work work
with with with
pieced piec pieced
image imag image
files file file
, , ,
here here here
is is be
how how how
to to to
put put put
it it it
back back back
together togeth together
. . .
1 1 1
. . .
save save save
the the the
14 14 14
parts part part
to to to
14 14 14
individual individu individual
files file file
2 2 2
. . .
use use use
a a a
text text text
editor editor editor
to to to
remove remov remove
the the the
header header header
and and and
footer footer footer
in in in
each each each
file file file
. . .
3 3 3
. . .
concatinate concatin concatinate
all all all
the the the
parts part part
into into into
a a a
single singl single
file file file
4 4 4
. . .
uudecode uudecod uudecode
the the the
file file file
There there There
are are be
tools tool tool
available avail available
to to to
do do do
this this this
without without without
the the the
hassle hassl hassle
such such such
as as a
uuconvert uuconvert uuconvert
( ( (
UNIX unix UNIX
) ) )
and and and
UUcoder uucod UUcoder
( ( (
Windows window Windows
) ) )
. . .
If if If
neccesary neccesari neccesary
I i I
could could could
post post post
these these these
tools tool tool
or or or
where where where
to to to
get get get
them them them
by by by
FTP ftp FTP
- - -
- - -
let let let
me me me
know know know
. . .
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
Part part Part
1 1 1
of of of
14 14 14
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
begin begin begin
644 644 644
ROMAN roman ROMAN
. . .
BMP bmp BMP
M m M
0 0 0
DT dt DT
: : :
S s S
0 0 0
@ @ @
` ` `
` ` `
` ` `
` ` `
` ` `
` ` `
! ! !
H h H
# # #
` ` `
` ` `
` ` `
, , ,
` ` `
` ` `
` ` `
` ` `
P p P
` ` `
- - -
8 8 8
` ` `
@ @ @
$ $ $
` ` `
" " "
` ` `
` ` `
H h H
, , ,
% % %
4 4 4
L l L
* * *
% % %
