From from From
: : :
u u u
96 96 96
_ _ _
bbayraml bbayraml bbayraml
@ @ @
vaxc vaxc vaxc
. . .
stevens steven stevens
- - -
tech tech tech
. . .
edu edu edu
Subject subject Subject
: : :
FOR for FOR
SALE sale SALE
! ! !
! ! !
DECpc decpc DECpc
325 325 325
sxLP sxlp sxLP
Lines line Lines
: : :
26 26 26
Organization organ Organization
: : :
Stevens steven Stevens
Institute institut Institute
Of of Of
Technology technolog Technology
FOR for FOR
SALE sale SALE
! ! !
! ! !
! ! !
DECpc decpc DECpc
325 325 325
sxLP sxlp sxLP
It it It
' ' '
s s s
in in in
very veri very
good good good
condition condit condition
, , ,
used use use
for for for
one one one
year year year
. . .
It it It
has has have
- - -
25 25 25
Mhz mhz Mhz
Intel intel Intel
386 386 386
- - -
52 52 52
MB mb MB
Hard hard Hard
Disk disk Disk
- - -
Super super Super
Color color Color
VGA vga VGA
Monitor monitor Monitor
- - -
2 2 2
- - -
button button button
mouse mous mouse
- - -
1 1 1
. . .
44 44 44
MG mg MG
floppy floppi floppy
disk disk disk
drive drive drive
Software softwar Software
: : :
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
Microsoft microsoft Microsoft
Dos dos Dos
5 5 5
. . .
0 0 0
- - -
Microsoft microsoft Microsoft
Windows window Windows
3 3 3
. . .
1 1 1
- - -
Microsoft microsoft Microsoft
Works work Works
for for for
Windows window Windows
2 2 2
. . .
0 0 0
- - -
Borland borland Borland
Turbo turbo Turbo
Pascal pascal Pascal
6 6 6
. . .
0 0 0
- - -
Borland borland Borland
Turbo turbo Turbo
C c C
+ + +
+ + +
3 3 3
. . .
0 0 0
for for for
Dos dos Dos
I i I
' ' '
m m m
asking ask ask
$ $ $
1499 1499 1499
for for for
the the the
system system system
. . .
Send send Send
me me me
E e E
- - -
mail mail mail
if if if
interested interest interested
. . .
