Subject subject Subject
: : :
Trident trident Trident
8900 8900 8900
switch switch switch
settings set setting
( ( (
someone someon someone
archive archiv archive
this this this
! ! !
) ) )
From from From
: : :
j j j
3 3 3
gum gum gum
@ @ @
vax vax vax
1 1 1
. . .
mankato mankato mankato
. . .
msus msus msus
. . .
edu edu edu
Organization organ Organization
: : :
Mankato mankato Mankato
State state State
University univers University
Lines line Lines
: : :
109 109 109
T t T
8900 8900 8900
DIP dip DIP
. . .
TXT txt TXT
- - -
Jeffrey jeffrey Jeffrey
E e E
. . .
Hundstad hundstad Hundstad
( ( (
j j j
3 3 3
gum gum gum
@ @ @
vax vax vax
1 1 1
. . .
mankato mankato mankato
. . .
msus msus msus
. . .
edu edu edu
) ) )
Switch switch Switch
Settings set Settings
on on on
the the the
Trident trident Trident
8900 8900 8900
C c C
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
\ \ \
/ / /
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
| | |
9 9 9
- - -
- - -
- - -
- - -
| | |
| | |
xx xx xx
8 8 8
8 8 8
8 8 8
8 8 8
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
1 1 1
| | |
xx xx xx
| | |
6 6 6
| | |
| | |
10 10 10
| | |
| | |
- - -
- - -
- - -
| | |
| | |
| | |
| | |
4 4 4
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
2 2 2
| | |
xx xx xx
- - -
- - -
- - -
- - -
- - -
- - -
j j j
1 1 1
j j j
2 2 2
| | |
- - -
- - -
- - -
| | |
| | |
xx xx xx
8 8 8
8 8 8
8 8 8
8 8 8
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
3 3 3
| | |
| | |
5 5 5
| | |
| | |
5 5 5
| | |
| | |
- - -
- - -
- - -
| | |
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
- - -
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
7 7 7
| | |
- - -
| | |
| | |
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
VGA vga VGA
Graphics graphic Graphics
Adapter adapt Adapter
Layout layout Layout
# # #
1 1 1
( ( (
8 8 8
- - -
DRAM dram DRAM
) ) )
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
\ \ \
/ / /
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
4 4 4
j j j
3 3 3
| | |
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
9 9 9
- - -
- - -
- - -
- - -
| | |
| | |
11 11 11
8 8 8
8 8 8
8 8 8
8 8 8
| | |
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
1 1 1
| | |
| | |
6 6 6
| | |
| | |
10 10 10
| | |
| | |
- - -
- - -
- - -
| | |
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
4 4 4
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
2 2 2
| | |
j j j
2 2 2
| | |
5 5 5
| | |
| | |
- - -
- - -
- - -
| | |
| | |
11 11 11
8 8 8
8 8 8
8 8 8
8 8 8
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
3 3 3
| | |
| | |
5 5 5
| | |
4 4 4
j j j
1 1 1
| | |
- - -
- - -
- - -
| | |
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
| | |
- - -
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
7 7 7
| | |
- - -
| | |
| | |
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
VGA vga VGA
Graphics graphic Graphics
Adapter adapt Adapter
Layout layout Layout
# # #
2 2 2
( ( (
2 2 2
/ / /
4 4 4
/ / /
8 8 8
- - -
DRAM dram DRAM
) ) )
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
\ \ \
/ / /
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
4 4 4
j j j
3 3 3
| | |
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
9 9 9
- - -
- - -
- - -
- - -
| | |
| | |
11 11 11
8 8 8
8 8 8
8 8 8
8 8 8
| | |
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
1 1 1
| | |
| | |
6 6 6
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
10 10 10
| | |
| | |
- - -
- - -
- - -
| | |
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
4 4 4
| | |
5 5 5
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
2 2 2
| | |
j j j
2 2 2
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
- - -
- - -
- - -
| | |
| | |
11 11 11
8 8 8
8 8 8
8 8 8
8 8 8
| | |
5 5 5
| | |
| | |
3 3 3
| | |
4 4 4
j j j
3 3 3
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
- - -
- - -
- - -
| | |
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
| | |
- - -
| | |
| | |
- - -
| | |
4 4 4
j j j
1 1 1
| | |
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
| | |
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
