Organization organ Organization
: : :
Penn penn Penn
State state State
University univers University
From from From
: : :
< < <
FWR fwr FWR
100 100 100
@ @ @
psuvm psuvm psuvm
. . .
psu psu psu
. . .
edu edu edu
> > >
Subject subject Subject
: : :
Re re Re
: : :
80386 80386 80386
and and and
80486 80486 80486
: : :
What what What
' ' '
s s s
the the the
difference differ difference
? ? ?
Lines line Lines
: : :
34 34 34
In in In
article articl article
< < <
joedal joedal joedal
. . .
735221221 735221221 735221221
@ @ @
dfi dfi dfi
. . .
aau aau aau
. . .
dk dk dk
> > >
, , ,
joedal joedal joedal
@ @ @
dfi dfi dfi
. . .
aau aau aau
. . .
dk dk dk
( ( (
Lars lar Lars
Joedal joedal Joedal
) ) )
says say say
: : :
> > >
> > >
Except except Except
from from from
clock clock clock
frequency frequenc frequency
, , ,
what what what
are are be
the the the
differences differ difference
between between between
the the the
> > >
various various various
types type type
of of of
386 386 386
and and and
486 486 486
processors processor processor
? ? ?
> > >
The the The
following follow following
is is be
a a a
list list list
with with with
what what what
I i I
know know know
( ( (
or or or
perhaps perhap perhaps
only onli only
what what what
I i I
> > >
think think think
I i I
know know know
! ! !
) ) )
. . .
Can can Can
anybody anybodi anybody
extend extend extend
& & &
correct correct correct
? ? ?
> > >
> > >
> > >
80386 80386 80386
: : :
True true True
32 32 32
bit bit bit
processor processor processor
. . .
> > >
( ( (
cache cach cache
? ? ?
) ) )
No no No
cache cach cache
, , ,
also also also
called call call
386 386 386
DX dx DX
. . .
> > >
80386 80386 80386
SX sx SX
: : :
Emulates emul Emulates
80386 80386 80386
with with with
a a a
16 16 16
bit bit bit
bus bus bus
. . .
It it It
has has have
the the the
same same same
internals intern internals
as as a
the the the
386 386 386
, , ,
is is be
a a a
real real real
32 32 32
- - -
bit bit bit
processor processor processor
, , ,
just just just
has has have
16 16 16
bit bit bit
hookup hookup hookup
to to to
the the the
outside outsid outside
world world world
. . .
> > >
80486 80486 80486
: : :
True true True
32 32 32
bit bit bit
processor processor processor
. . .
> > >
Internal intern Internal
mathematical mathemat mathematical
coprocessor coprocessor coprocessor
( ( (
Correct correct Correct
? ? ?
) ) )
Yes yes Yes
, , ,
optimized optim optimize
387 387 387
internal intern internal
. . .
> > >
Internal intern Internal
cache cach cache
( ( (
Correct correct Correct
? ? ?
How how How
big big big
? ? ?
) ) )
Yes yes Yes
, , ,
8 8 8
K k K
. . .
> > >
( ( (
extended extend extended
instruction instruct instruction
set set set
in in in
any ani any
way way way
? ? ?
) ) )
Yes yes Yes
, , ,
but but but
only onli only
a a a
few few few
instructions instruct instruction
, , ,
nothing noth nothing
noteworthy noteworthi noteworthy
. . .
> > >
80486 80486 80486
SX sx SX
: : :
Probably probabl Probably
sorta sorta sorta
like like like
80486 80486 80486
. . .
. . .
. . .
486 486 486
with with with
no no no
coprocessor coprocessor coprocessor
. . .
> > >
80486 80486 80486
DX dx DX
: : :
Probably probabl Probably
sorta sorta sorta
like like like
80386 80386 80386
. . .
. . .
. . .
Nope nope Nope
. . .
Just just Just
another anoth another
name name name
for for for
the the the
486 486 486
. . .
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
Frank frank Frank
Racis raci Racis
- - -
FWR fwr FWR
100 100 100
@ @ @
psuvm psuvm psuvm
. . .
psu psu psu
. . .
edu edu edu
- - -
fwr fwr fwr
@ @ @
eclu eclu eclu
. . .
psu psu psu
. . .
edu edu edu
Computers comput Computers
are are be
useless useless useless
; ; ;
they they they
can can can
only onli only
give give give
answers answer answer
. . .
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
" " "
I i I
will will will
not not not
raise rais raise
taxes tax tax
on on on
the the the
middle middl middle
class class class
to to to
pay pay pay
for for for
my my my
programs program program
" " "
- - -
WJBC wjbc WJBC
