From from From
: : :
noah noah noah
@ @ @
apple appl apple
. . .
com com com
( ( (
Noah noah Noah
Price price Price
) ) )
Subject subject Subject
: : :
Re re Re
: : :
How how How
long long long
do do do
RAM ram RAM
SIMM simm SIMM
' ' '
s s s
last last last
? ? ?
Distribution distribut Distribution
: : :
usa usa usa
Organization organ Organization
: : :
( ( (
not not not
the the the
opinions opinion opinion
of of of
) ) )
Apple appl Apple
Computer comput Computer
, , ,
Inc inc Inc
. . .
Lines line Lines
: : :
12 12 12
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
11 11 11
. . .
234818 234818 234818
. . .
1755 1755 1755
@ @ @
ultb ultb ultb
. . .
isc isc isc
. . .
rit rit rit
. . .
edu edu edu
> > >
, , ,
jek jek jek
5036 5036 5036
@ @ @
ultb ultb ultb
. . .
isc isc isc
. . .
rit rit rit
. . .
edu edu edu
( ( (
J j J
. . .
E e E
. . .
King king King
) ) )
wrote wrote write
: : :
> > >
> > >
Doesn doesn Doesn
' ' '
t t t
a a a
1 1 1
MB mb MB
SIMM simm SIMM
have have have
about about about
1024 1024 1024
* * *
1024 1024 1024
* * *
8 8 8
moving move move
flip flip flip
- - -
flops flop flop
? ? ?
They they They
don don don
' ' '
t t t
move move move
, , ,
to to to
anybody anybodi anybody
much much much
bigger bigger big
than than than
an an an
electron electron electron
: : :
- - -
) ) )
noah noah noah
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
noah noah noah
@ @ @
apple appl apple
. . .
com com com
Macintosh macintosh Macintosh
Hardware hardwar Hardware
Design design Design
. . .
. . .
. . .
! ! !
{ { {
sun sun sun
, , ,
decwrl decwrl decwrl
} } }
! ! !
apple appl apple
! ! !
noah noah noah
( ( (
not not not
the the the
opinions opinion opinion
of of of
) ) )
Apple appl Apple
Computer comput Computer
, , ,
Inc inc Inc
. . .
