Organization organ Organization
: : :
University univers University
of of of
Maine main Maine
System system System
From from From
: : :
Jon jon Jon
Carr carr Carr
< < <
IO io IO
91748 91748 91748
@ @ @
MAINE main MAINE
. . .
MAINE main MAINE
. . .
EDU edu EDU
> > >
Subject subject Subject
: : :
Pin pin Pin
map map map
for for for
8 8 8
pin pin pin
- - -
DIN din DIN
cable cabl cable
? ? ?
Lines line Lines
: : :
26 26 26
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
1 1 1
2 2 2
3 3 3
# # #
Facing face Facing
# # #
# # #
Female femal Female
Plug plug Plug
End end End
# # #
4 4 4
5 5 5
6 6 6
# # #
# # #
# # #
# # #
# # #
# # #
7 7 7
8 8 8
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
Anyone anyon Anyone
Recognize recogn Recognize
this this this
? ? ?
It it It
' ' '
s s s
my my my
little littl little
layout layout layout
of of of
a a a
eight eight eight
pin pin pin
female femal female
plug plug plug
connector connector connector
used use use
for for for
many mani many
mac mac mac
peripherals peripher peripheral
. . .
# # #
# # #
# # #
# # #
# # #
Problem problem Problem
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
Problem problem Problem
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
Problem problem Problem
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
Printer printer Printer
( ( (
cheap cheap cheap
) ) )
cables cabl cable
using use use
this this this
configuration configur configuration
switch switch switch
a a a
couple coupl couple
of of of
pins pin pin
between between between
one one one
end end end
and and and
the the the
other other other
. . .
I i I
want want want
to to to
use use use
cheap cheap cheap
cables cabl cable
for for for
an an an
A a A
- - -
B b B
box box box
. . .
Anyone anyon Anyone
know know know
which which which
pins pin pin
get get get
reversed revers reverse
so so so
I i I
can can can
do do do
some some some
creative creativ creative
editing edit editing
on on on
the the the
internals intern internals
of of of
my my my
box box box
? ? ?
Any ani Any
help help help
would would would
be be be
greatly great greatly
appreciated appreci appreciate
. . .
- - -
- - -
- - -
- - -
- - -
> > >
Jon jon Jon
Jon jon Jon
Carr carr Carr
- - -
- - -
- - -
- - -
- - -
> > >
IO io IO
91748 91748 91748
@ @ @
MAINE main MAINE
. . .
MAINE main MAINE
. . .
EDU edu EDU
UMaine umain UMaine
' ' '
93 93 93
1993 1993 1993
NCAA ncaa NCAA
Champions champion Champions
! ! !
How how How
about about about
those those those
42 42 42
- - -
1 1 1
- - -
2 2 2
Black black Black
Bears bear Bears
! ! !
! ! !
M m M
- - -
A a A
- - -
I i I
- - -
N n N
- - -
E e E
- - -
GO go GO
BLUE blue BLUE
! ! !
! ! !
! ! !
! ! !
! ! !
! ! !
! ! !
! ! !
! ! !
! ! !
