From from From
: : :
Thomas thoma Thomas
Kephart kephart Kephart
< < <
kephart kephart kephart
@ @ @
snowhite snowhit snowhite
. . .
eeap eeap eeap
. . .
cwru cwru cwru
. . .
edu edu edu
> > >
Subject subject Subject
: : :
Need need Need
help help help
installing instal instal
a a a
simms simm simms
in in in
700 700 700
, , ,
quick quick quick
! ! !
Organization organ Organization
: : :
Case case Case
School school School
of of of
Engineering engin Engineering
Lines line Lines
: : :
5 5 5
Distribution distribut Distribution
: : :
world world world
NNTP nntp NNTP
- - -
Posting post Posting
- - -
Host host Host
: : :
b b b
62182 62182 62182
. . .
student student student
. . .
cwru cwru cwru
. . .
edu edu edu
X x X
- - -
UserAgent userag UserAgent
: : :
Nuntius nuntius Nuntius
v v v
1 1 1
. . .
1 1 1
. . .
1 1 1
d d d
20 20 20
X x X
- - -
XXMessage xxmessag XXMessage
- - -
ID id ID
: : :
< < <
A a A
7 7 7
F f F
60 60 60
E e E
8 8 8
B b B
6 6 6
E e E
01 01 01
F f F
2 2 2
E e E
6 6 6
@ @ @
b b b
62182 62182 62182
. . .
student student student
. . .
cwru cwru cwru
. . .
edu edu edu
> > >
X x X
- - -
XXDate xxdate XXDate
: : :
Sat sat Sat
, , ,
17 17 17
Apr apr Apr
93 93 93
19 19 19
: : :
44 44 44
: : :
11 11 11
GMT gmt GMT
Could could Could
someone someon someone
please pleas please
send send send
instructions instruct instruction
for for for
installing instal instal
simms simm simms
and and and
vram vram vram
to to to
jmk jmk jmk
13 13 13
@ @ @
po po po
. . .
cwru cwru cwru
. . .
edu edu edu
? ? ?
He he He
' ' '
s s s
just just just
gotten gotten get
his his his
700 700 700
and and and
wants want want
to to to
drop drop drop
in in in
some some some
extra extra extra
simms simm simms
and and and
vram vram vram
that that that
he he he
has has have
for for for
it it it
. . .
Thanks thank Thanks
. . .
. . .
. . .
and and and
don don don
' ' '
t t t
reply repli reply
to to to
me me me
, , ,
reply repli reply
to to to
jmk jmk jmk
13 13 13
@ @ @
po po po
. . .
cwru cwru cwru
. . .
edu edu edu
( ( (
Joe joe Joe
) ) )
