Distribution distribut Distribution
: : :
world world world
From from From
: : :
hyerstay hyerstay hyerstay
@ @ @
adrenaline adrenalin adrenaline
. . .
com com com
( ( (
Jason jason Jason
Hyerstay hyerstay Hyerstay
) ) )
Organization organ Organization
: : :
Adrenaline adrenalin Adrenaline
Online onlin Online
, , ,
( ( (
802 802 802
) ) )
425 425 425
- - -
2332 2332 2332
, , ,
a a a
FirstClass firstclass FirstClass
BBS bbs BBS
Subject subject Subject
: : :
Re re Re
: : :
Mac mac Mac
oriented orient orient
BBSs bbss BBSs
in in in
Chicago chicago Chicago
Lines line Lines
: : :
28 28 28
> > >
A a A
member member member
of of of
the the the
local local local
BBS bbs BBS
I i I
frequent frequent frequent
is is be
looking look look
for for for
Mac mac Mac
oriented orient orient
> > >
BBSs bbss BBSs
based base base
in in in
Chicago chicago Chicago
. . .
> > >
> > >
Any ani Any
leads lead lead
would would would
be be be
most most most
appreciated appreci appreciated
. . .
Here here Here
is is be
a a a
list list list
of of of
the the the
FirstClass firstclass FirstClass
systems system system
in in in
Illinois illinoi Illinois
: : :
Chicago chicago Chicago
Machine machin Machine
Chicago chicago Chicago
, , ,
IL il IL
( ( (
312 312 312
) ) )
233 233 233
- - -
9607 9607 9607
Insane insan Insane
Domain domain Domain
Chicago chicago Chicago
, , ,
IL il IL
( ( (
312 312 312
) ) )
274 274 274
- - -
9515 9515 9515
MAC mac MAC
Universe univers Universe
BBS bbs BBS
Chicago chicago Chicago
, , ,
IL il IL
( ( (
312 312 312
) ) )
235 235 235
- - -
6794 6794 6794
The the The
NET net NET
Rockford rockford Rockford
, , ,
IL il IL
( ( (
815 815 815
) ) )
968 968 968
- - -
4729 4729 4729
MacTRIPP mactripp MacTRIPP
Wilmette wilmett Wilmette
, , ,
IL il IL
( ( (
708 708 708
) ) )
251 251 251
- - -
4158 4158 4158
Innovators innov Innovators
Vernon vernon Vernon
Hills hill Hills
, , ,
IL il IL
( ( (
708 708 708
) ) )
918 918 918
- - -
1231 1231 1231
If if If
anyone anyon anyone
wants want want
the the the
numbers number number
to to to
more more more
FirstClass firstclass FirstClass
systems system system
, , ,
I i I
would would would
be be be
glad glad glad
to to to
post post post
the the the
complete complet complete
list list list
. . .
- - -
Jason jason Jason
Hyerstay hyerstay Hyerstay
- - -
Adrenaline adrenalin Adrenaline
Admin admin Admin
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
/ / /
| | |
| | |
\ \ \
| | |
- - -
\ \ \
/ / /
- - -
- - -
\ \ \
| | |
/ / /
\ \ \
| | |
| | |
\ \ \
| | |
/ / /
- - -
- - -
