From from From
: : :
tom tom tom
@ @ @
DONT dont DONT
_ _ _
USE use USE
. . .
NETcom netcom NETcom
. . .
COM com COM
( ( (
Thomas thoma Thomas
Tulinsky tulinski Tulinsky
) ) )
Subject subject Subject
: : :
Wcl wcl Wcl
for for for
Solaris solari Solaris
2 2 2
? ? ?
Organization organ Organization
: : :
The the The
Internet internet Internet
Lines line Lines
: : :
15 15 15
NNTP nntp NNTP
- - -
Posting post Posting
- - -
Host host Host
: : :
enterpoop enterpoop enterpoop
. . .
mit mit mit
. . .
edu edu edu
To to To
: : :
xpert xpert xpert
@ @ @
expo expo expo
. . .
lcs lcs lcs
. . .
mit mit mit
. . .
edu edu edu
, , ,
tom tom tom
@ @ @
DONT dont DONT
_ _ _
USE use USE
. . .
netcom netcom netcom
. . .
com com com
Is is Is
there there there
a a a
version version version
of of of
Wcl wcl Wcl
that that that
has has have
been been be
ported port port
to to to
Solaris solari Solaris
2 2 2
, , ,
including includ include
ANSI ansi ANSI
C c C
? ? ?
I i I
had had have
numerous numer numerous
problems problem problem
trying tri try
to to to
compile compil compile
Wcl wcl Wcl
under under under
Solaris solari Solaris
, , ,
and and and
the the the
functions function function
do do do
not not not
have have have
prototypes prototyp prototype
. . .
I i I
have have have
Wcl wcl Wcl
2 2 2
. . .
01 01 01
from from from
the the the
Sun sun Sun
User user User
Group group Group
' ' '
s s s
1992 1992 1992
CDs cds CDs
. . .
Please pleas Please
email email email
answers answer answer
as as a
I i I
am am be
not not not
on on on
this this this
list list list
. . .
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
Tom tom Tom
Tulinsky tulinski Tulinsky
Capital capit Capital
Management manag Management
Sciences scienc Sciences
West west West
Los los Los
Angeles angel Angeles
310 310 310
479 479 479
9715 9715 9715
MANUALLY manual MANUALLY
ADDRESS address ADDRESS
answers answer answer
to to to
: : :
zuma zuma zuma
! ! !
tom tom tom
@ @ @
netcomsv netcomsv netcomsv
. . .
netcom netcom netcom
. . .
com com com
