Subject subject Subject
: : :
Automated autom Automated
X x X
testing test test
From from From
: : :
mark mark mark
@ @ @
trident trident trident
. . .
datasys datasi datasys
. . .
swri swri swri
. . .
edu edu edu
( ( (
Mark mark Mark
D d D
. . .
Collier collier Collier
) ) )
Organization organ Organization
: : :
Southwest southwest Southwest
Research research Research
Institute institut Institute
Lines line Lines
: : :
13 13 13
Does doe Does
anyone anyon anyone
know know know
what what what
is is be
available avail available
in in in
terms term term
of of of
automated autom automated
testing test testing
of of of
X x X
/ / /
Motif motif Motif
applications applic application
. . .
I i I
am am be
thinking think think
of of of
a a a
system system system
which which which
I i I
could could could
program program program
( ( (
or or or
which which which
could could could
record record record
events event event
/ / /
output output output
) ) )
with with with
our our our
verification verif verification
test test test
procedures procedur procedure
and and and
then then then
run run run
/ / /
rerun rerun rerun
each each each
time time time
we we we
do do do
regression regress regression
testing test testing
. . .
I i I
am am be
interested interest interested
in in in
a a a
product product product
like like like
this this this
for for for
our our our
UNIX unix UNIX
projects project project
and and and
for for for
a a a
separate separ separate
project project project
which which which
will will will
be be be
using use use
OpenVMS openvm OpenVMS
. . .
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
Mark mark Mark
D d D
. . .
Collier collier Collier
Southwest southwest Southwest
Research research Research
Institute institut Institute
Senior senior Senior
Research research Research
Analyst analyst Analyst
Automation autom Automation
and and and
Data data Data
Systems system Systems
Division divis Division
Voice voic Voice
: : :
( ( (
512 512 512
) ) )
522 522 522
- - -
3437 3437 3437
Data data Data
Systems system Systems
Department depart Department
FAX fax FAX
: : :
( ( (
512 512 512
) ) )
522 522 522
- - -
5499 5499 5499
Software softwar Software
Engineering engin Engineering
Section section Section
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
