From from From
: : :
toml toml toml
@ @ @
boulder boulder boulder
. . .
parcplace parcplac parcplace
. . .
com com com
( ( (
Tom tom Tom
LaStrange lastrang LaStrange
) ) )
Subject subject Subject
: : :
Re re Re
: : :
Forcing forc Forcing
a a a
window window window
manager manag manager
to to to
accept accept accept
specific specif specific
coordinates coordin coordinate
for for for
a a a
window window window
Organization organ Organization
: : :
ParcPlace parcplac ParcPlace
Boulder boulder Boulder
Lines line Lines
: : :
29 29 29
In in In
article articl article
< < <
C c C
5 5 5
xxq xxq xxq
0 0 0
. . .
18 18 18
M m M
@ @ @
cs cs c
. . .
columbia columbia columbia
. . .
edu edu edu
> > >
ethan ethan ethan
@ @ @
cs cs c
. . .
columbia columbia columbia
. . .
edu edu edu
( ( (
Ethan ethan Ethan
Solomita solomita Solomita
) ) )
writes write write
: : :
> > >
In in In
article articl article
< < <
BADING bade BADING
. . .
93 93 93
Apr apr Apr
23105229 23105229 23105229
@ @ @
athene athen athene
. . .
cs cs c
. . .
tu tu tu
- - -
berlin berlin berlin
. . .
de de de
> > >
bading bade bading
@ @ @
cs cs c
. . .
tu tu tu
- - -
berlin berlin berlin
. . .
de de de
( ( (
Tobias tobia Tobias
' ' '
Doping dope Doping
' ' '
Bading bade Bading
) ) )
writes write write
: : :
> > >
> > >
> > >
> > >
I i I
know know know
that that that
the the the
mwm mwm mwm
has has have
an an an
resource resourc resource
to to to
specify specifi specify
if if if
positions posit position
are are be
to to to
be be be
used use use
for for for
> > >
> > >
the the the
border border border
of of of
a a a
window window window
or or or
for for for
the the the
" " "
user user user
" " "
window window window
. . .
Maybe mayb Maybe
other other other
window window window
managers manag manager
> > >
> > >
have have have
similar similar similar
options option option
. . .
> > >
> > >
Another anoth Another
way way way
to to to
figure figur figure
out out out
the the the
difference differ difference
between between between
the the the
" " "
user user user
" " "
window window window
position posit position
> > >
> > >
and and and
the the the
window window window
manager manag manager
decoration decor decoration
window window window
position posit position
is is be
to to to
subtract subtract subtract
their their their
> > >
> > >
positions posit position
. . .
You you You
just just just
have have have
to to to
use use use
XQueryTree xquerytre XQueryTree
and and and
remember rememb remember
that that that
the the the
window window window
manager manag manager
> > >
> > >
decorations decor decoration
window window window
is is be
the the the
parent parent parent
of of of
your your your
window window window
. . .
Unfortunately unfortun Unfortunately
, , ,
you you you
can can can
only onli only
> > >
> > >
figure figur figure
out out out
the the the
decoration decor decoration
width width width
and and and
height height height
after after after
the the the
window window window
has has have
been been be
mapped map map
> > >
> > >
this this this
way way way
. . .
> > >
> > >
> > >
Another anoth Another
way way way
would would would
be be be
to to to
use use use
GetGeometry getgeometri GetGeometry
to to to
find find find
out out out
where where where
> > >
you you you
are are be
relative relat relative
to to to
the the the
frame frame frame
, , ,
and and and
TranslateCoordinates translatecoordin TranslateCoordinates
to to to
find find find
> > >
out out out
where where where
your your your
window window window
' ' '
s s s
upperleft upperleft upperleft
corner corner corner
really realli really
is is be
. . .
As as As
I i I
' ' '
ve ve ve
said said say
before befor before
, , ,
there there there
' ' '
s s s
no no no
reliable reliabl reliable
way way way
to to to
find find find
out out out
the the the
size size size
of of of
the the the
window window window
manager manag manager
decoration decor decoration
. . .
If if If
your your your
window window window
has has have
been been be
reparented repar reparented
, , ,
you you you
can can can
' ' '
t t t
assume assum assume
that that that
the the the
window window window
you you you
' ' '
re re re
parented parent parent
to to to
is is be
the the the
window window window
that that that
holds hold hold
all all all
of of of
the the the
window window window
manager manag manager
decoration decor decoration
. . .
There there There
may may may
be be be
several sever several
layers layer layer
of of of
windows window window
. . .
Doing do Doing
multiple multipl multiple
XQueryTree xquerytre XQueryTree
' ' '
s s s
until until until
you you you
get get get
to to to
the the the
root root root
will will will
work work work
in in in
most most most
cases case case
, , ,
but but but
there there there
' ' '
s s s
no no no
guarantee guarante guarantee
that that that
the the the
outside outsid outside
decoration decor decoration
window window window
is is be
parented parent parent
to to to
the the the
root root root
window window window
of of of
the the the
display display display
( ( (
tvtwm tvtwm tvtwm
) ) )
. . .
- - -
- - -
Tom tom Tom
LaStrange lastrang LaStrange
toml toml toml
@ @ @
boulder boulder boulder
. . .
ParcPlace parcplac ParcPlace
. . .
COM com COM
