From from From
: : :
she she she
3328 3328 3328
@ @ @
ritvax ritvax ritvax
. . .
isc isc isc
. . .
rit rit rit
. . .
edu edu edu
( ( (
Steven steven Steven
H h H
. . .
Eckwielen eckwielen Eckwielen
) ) )
Subject subject Subject
: : :
- - -
= = =
WANTED want WANTED
= = =
- - -
HP hp HP
48 48 48
s s s
or or or
HP hp HP
48 48 48
sx sx sx
Nntp nntp Nntp
- - -
Posting post Posting
- - -
Host host Host
: : :
vaxb vaxb vaxb
. . .
isc isc isc
. . .
rit rit rit
. . .
edu edu edu
Reply repli Reply
- - -
To to To
: : :
she she she
3328 3328 3328
@ @ @
ritvax ritvax ritvax
. . .
isc isc isc
. . .
rit rit rit
. . .
edu edu edu
Organization organ Organization
: : :
Rochester rochest Rochester
Institute institut Institute
of of of
Technology technolog Technology
Lines line Lines
: : :
10 10 10
AS as AS
the the the
subject subject subject
says say say
. . .
. . .
. . .
looking look look
for for for
a a a
HP hp HP
48 48 48
s s s
or or or
perferiably perferi perferiably
HP hp HP
48 48 48
sx sx sx
Please pleas Please
E e E
- - -
mail mail mail
replies repli reply
. . .
Thanks thank Thanks
Steven steven Steven
Eckwielen eckwielen Eckwielen
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
| | |
_ _ _
_ _ _
| | |
| | |
| | |
_ _ _
_ _ _
| | |
_ _ _
_ _ _
| | |
_ _ _
_ _ _
| | |
_ _ _
| | |
_ _ _
| | |
Bitnet bitnet Bitnet
: : :
she she she
3328 3328 3328
@ @ @
ritvax ritvax ritvax
, , ,
- - -
- - -
| | |
| | |
_ _ _
| | |
| | |
_ _ _
| | |
| | |
_ _ _
| | |
/ / /
/ / /
| | |
_ _ _
| | |
Internet internet Internet
: : :
she she she
3328 3328 3328
@ @ @
ritvax ritvax ritvax
. . .
isc isc isc
. . .
rit rit rit
. . .
edu edu edu
| | |
_ _ _
_ _ _
_ _ _
| | |
_ _ _
| | |
_ _ _
| | |
_ _ _
_ _ _
_ _ _
| | |
_ _ _
_ _ _
_ _ _
| | |
_ _ _
_ _ _
_ _ _
| | |
_ _ _
_ _ _
_ _ _
| | |
_ _ _
_ _ _
_ _ _
| | |
UUCP uucp UUCP
: : :
rutgers rutger rutgers
! ! !
rochester rochest rochester
! ! !
rit rit rit
! ! !
ritvax ritvax ritvax
! ! !
she she she
3328 3328 3328
