From from From
: : :
mallen mallen mallen
@ @ @
eniac eniac eniac
. . .
seas sea sea
. . .
upenn upenn upenn
. . .
edu edu edu
( ( (
Matt matt Matt
Allen allen Allen
) ) )
Subject subject Subject
: : :
Amiga amiga Amiga
' ' '
s s s
for for for
sale sale sale
Keywords keyword Keywords
: : :
Amiga amiga Amiga
Distribution distribut Distribution
: : :
pa pa pa
Organization organ Organization
: : :
University univers University
of of of
Pennsylvania pennsylvania Pennsylvania
Lines line Lines
: : :
20 20 20
Nntp nntp Nntp
- - -
Posting post Posting
- - -
Host host Host
: : :
eniac eniac eniac
. . .
seas sea sea
. . .
upenn upenn upenn
. . .
edu edu edu
For for For
Sale sale Sale
: : :
2 2 2
Amigas amiga Amigas
! ! !
Commodore commodor Commodore
Amiga amiga Amiga
1000 1000 1000
Best best Best
offer offer offer
512 512 512
k k k
Ram ram Ram
1 1 1
Internal intern Internal
Floppy floppi Floppy
drive drive drive
Detachable detach Detachable
Keyboard keyboard Keyboard
2 2 2
Button button Button
Mouse mous Mouse
Commodore commodor Commodore
Amiga amiga Amiga
500 500 500
Best best Best
offer offer offer
1024 1024 1024
k k k
Ram ram Ram
1 1 1
Internal intern Internal
Floppy floppi Floppy
drive drive drive
2 2 2
Button button Button
Mouse mous Mouse
1 1 1
RGB rgb RGB
Monitor monitor Monitor
Best best Best
offer offer offer
1 1 1
External extern External
Floppy floppi Floppy
drive drive drive
Best best Best
offer offer offer
Call call Call
Brian brian Brian
Dickman dickman Dickman
at at at
( ( (
717 717 717
) ) )
872 872 872
- - -
1719 1719 1719
or or or
send send send
e e e
- - -
mail mail mail
to to to
dickman dickman dickman
_ _ _
con con con
@ @ @
huey huey huey
. . .
millersv millersv millersv
. . .
edu edu edu
. . .
