Organization organ Organization
: : :
University univers University
of of of
Illinois illinoi Illinois
at at at
Chicago chicago Chicago
, , ,
academic academ academic
Computer comput Computer
Center center Center
From from From
: : :
Noel noel Noel
B b B
. . .
Lorenzana lorenzana Lorenzana
< < <
U u U
38134 38134 38134
@ @ @
uicvm uicvm uicvm
. . .
uic uic uic
. . .
edu edu edu
> > >
Subject subject Subject
: : :
Marvel marvel Marvel
comics comic comic
for for for
sale sale sale
! ! !
( ( (
mostly most mostly
cover cover cover
price price price
) ) )
Lines line Lines
: : :
43 43 43
Comics comic Comics
for for for
sale sale sale
. . .
All all All
are are be
Marvel marvel Marvel
and and and
the the the
majority major majority
of of of
the the the
comics comic comic
are are be
cover cover cover
price price price
. . .
Buyer buyer Buyer
pays pay pay
shipping ship shipping
. . .
Shipping ship Shipping
costs cost cost
will will will
vary vari vary
with with with
the the the
quantity quantiti quantity
you you you
buy buy buy
. . .
All all All
reasonable reason reasonable
offers offer offer
will will will
be be be
considered consid consider
. . .
Punisher punish Punisher
W w W
. . .
J j J
. . .
9 9 9
, , ,
10 10 10
, , ,
13 13 13
, , ,
14 14 14
, , ,
15 15 15
, , ,
16 16 16
, , ,
17 17 17
, , ,
20 20 20
- - -
28 28 28
, , ,
31 31 31
- - -
40 40 40
, , ,
43 43 43
$ $ $
1 1 1
. . .
75 75 75
each each each
Punisher punish Punisher
34 34 34
, , ,
42 42 42
, , ,
43 43 43
, , ,
49 49 49
, , ,
51 51 51
- - -
54 54 54
, , ,
$ $ $
1 1 1
. . .
50 50 50
each each each
( ( (
regular regular regular
series seri series
) ) )
56 56 56
- - -
62 62 62
X x X
- - -
factor factor factor
# # #
1 1 1
$ $ $
4 4 4
. . .
00 00 00
2 2 2
- - -
4 4 4
3 3 3
. . .
00 00 00
37 37 37
, , ,
48 48 48
, , ,
41 41 41
, , ,
45 45 45
, , ,
50 50 50
, , ,
1 1 1
. . .
75 75 75
63 63 63
4 4 4
. . .
00 00 00
65 65 65
, , ,
66 66 66
3 3 3
. . .
00 00 00
69 69 69
- - -
75 75 75
1 1 1
. . .
50 50 50
Annual annual Annual
# # #
7 7 7
2 2 2
. . .
25 25 25
Silver silver Silver
Surfer surfer Surfer
4 4 4
, , ,
22 22 22
, , ,
23 23 23
, , ,
29 29 29
, , ,
30 30 30
, , ,
41 41 41
, , ,
50 50 50
( ( (
1 1 1
st st st
, , ,
3 3 3
rd rd rd
print print print
) ) )
51 51 51
- - -
62 62 62
$ $ $
1 1 1
. . .
50 50 50
each each each
X x X
- - -
force forc force
1 1 1
- - -
6 6 6
$ $ $
1 1 1
. . .
50 50 50
7 7 7
- - -
17 17 17
1 1 1
. . .
25 25 25
Ghost ghost Ghost
Rider rider Rider
# # #
5 5 5
$ $ $
8 8 8
. . .
00 00 00
7 7 7
4 4 4
. . .
00 00 00
8 8 8
, , ,
11 11 11
3 3 3
. . .
00 00 00
13 13 13
- - -
34 34 34
$ $ $
2 2 2
. . .
00 00 00
each each each
New new New
Mutants mutant Mutants
2 2 2
, , ,
7 7 7
, , ,
9 9 9
, , ,
14 14 14
, , ,
15 15 15
- - -
19 19 19
, , ,
26 26 26
, , ,
48 48 48
, , ,
50 50 50
, , ,
58 58 58
, , ,
63 63 63
, , ,
87 87 87
( ( (
2 2 2
nd nd nd
) ) )
, , ,
100 100 100
$ $ $
2 2 2
. . .
00 00 00
each each each
Marvel marvel Marvel
Comics comic Comics
89 89 89
, , ,
91 91 91
, , ,
92 92 92
, , ,
95 95 95
, , ,
96 96 96
, , ,
Presents present Presents
99 99 99
, , ,
100 100 100
$ $ $
1 1 1
. . .
50 50 50
each each each
Here here Here
you you you
have have have
it it it
. . .
Please pleas Please
send send send
replies repli reply
to to to
U u U
38134 38134 38134
@ @ @
UICVM uicvm UICVM
. . .
UIC uic UIC
. . .
EDU edu EDU
( ( (
Noel noel Noel
Lorenzana lorenzana Lorenzana
) ) )
Thanks thank Thanks
. . .
