From from From
: : :
jdmooney jdmooney jdmooney
@ @ @
kocrsv kocrsv kocrsv
01 01 01
. . .
delcoelect delcoelect delcoelect
. . .
com com com
( ( (
John john John
D d D
. . .
Mooney mooney Mooney
) ) )
Subject subject Subject
: : :
Re re Re
: : :
anti anti anti
- - -
theft theft theft
devices devic device
Organization organ Organization
: : :
Delco delco Delco
Electronics electron Electronics
Corp corp Corp
. . .
Lines line Lines
: : :
36 36 36
Originator origin Originator
: : :
jdmooney jdmooney jdmooney
@ @ @
koinsv koinsv koinsv
02 02 02
In in In
article articl article
< < <
99948 99948 99948
@ @ @
rphroy rphroy rphroy
. . .
ph ph ph
. . .
gmr gmr gmr
. . .
com com com
> > >
, , ,
rhaar rhaar rhaar
@ @ @
gmr gmr gmr
. . .
com com com
( ( (
Bob bob Bob
Haar haar Haar
) ) )
writes write write
: : :
> > >
In in In
article articl article
3056 3056 3056
@ @ @
kocrsv kocrsv kocrsv
01 01 01
. . .
delcoelect delcoelect delcoelect
. . .
com com com
, , ,
jdmooney jdmooney jdmooney
@ @ @
kocrsv kocrsv kocrsv
01 01 01
. . .
delcoelect delcoelect delcoelect
. . .
com com com
( ( (
John john John
D d D
. . .
Mooney mooney Mooney
) ) )
writes write write
: : :
> > >
| | |
> > >
> > >
| | |
> > >
Someone someon Someone
writes write write
: : :
> > >
| | |
> > >
> > >
> > >
| | |
> > >
> > >
BTW btw BTW
, , ,
somebody somebodi somebody
stole stole steal
the the the
front front front
grille grill grille
off off off
my my my
beat beat beat
- - -
up up up
1983 1983 1983
Nissan nissan Nissan
Sentra sentra Sentra
> > >
| | |
> > >
> > >
a a a
few few few
weeks week week
ago ago ago
! ! !
I i I
couldn couldn couldn
' ' '
t t t
believe believ believe
it it it
. . .
I i I
' ' '
m m m
just just just
driving drive drive
around around around
> > >
| | |
> > >
> > >
without without without
it it it
now now now
. . .
> > >
| | |
> > >
> > >
| | |
> > >
Years year Years
ago ago ago
, , ,
my my my
brother brother brother
lived live live
in in in
a a a
ROUGH rough ROUGH
area area area
. . .
. . .
. . .
. . .
he he he
left left leave
his his his
NOVA nova NOVA
> > >
| | |
> > >
parked park park
on on on
the the the
street street street
in in in
FRONT front FRONT
of of of
his his his
house hous house
for for for
a a a
few few few
days day day
. . .
. . .
. . .
. . .
. . .
> > >
| | |
> > >
one one one
day day day
he he he
went went go
to to to
move move move
it it it
back back back
into into into
the the the
driveway driveway driveway
, , ,
it it it
wouldn wouldn wouldn
' ' '
t t t
start start start
. . .
. . .
. . .
. . .
> > >
| | |
> > >
> > >
| | |
> > >
Seems seem Seems
some some some
industrious industri industrious
fool fool fool
needed need need
a a a
NOVA nova NOVA
GAS gas GAS
TANK tank TANK
. . .
. . .
. . .
. . .
. . .
the the the
fool fool fool
found found find
> > >
| | |
> > >
one one one
under under under
my my my
brothers brother brother
car car car
. . .
> > >
| | |
> > >
> > >
> > >
The the The
engines engin engine
in in in
VW vw VW
Beatles beatl Beatles
are are be
quite quit quite
easy easi easy
to to to
remove remov remove
without without without
entering enter enter
the the the
car car car
> > >
or or or
even even even
opening open open
the the the
engine engin engine
compartment compart compartment
. . .
How how How
would would would
you you you
like like like
to to to
find find find
that that that
> > >
your your your
car car car
wouldn wouldn wouldn
' ' '
t t t
start start start
because becaus because
the the the
engine engin engine
was was be
