From from From
: : :
larry larri larry
@ @ @
boris bori boris
. . .
webo webo webo
. . .
dg dg dg
. . .
com com com
( ( (
Larry larri Larry
Rogers roger Rogers
) ) )
Subject subject Subject
: : :
Re re Re
: : :
Saturn saturn Saturn
91 91 91
- - -
92 92 92
Manual manual Manual
Transmission transmiss Transmission
Problem problem Problem
In in In
- - -
Reply repli Reply
- - -
To to To
: : :
cimjfg cimjfg cimjfg
@ @ @
sn sn sn
370 370 370
. . .
utica utica utica
. . .
ge ge ge
. . .
com com com
' ' '
s s s
message messag message
of of of
Tue tue Tue
, , ,
13 13 13
Apr apr Apr
1993 1993 1993
20 20 20
: : :
50 50 50
: : :
21 21 21
GMT gmt GMT
Organization organ Organization
: : :
Data data Data
General general General
, , ,
Westboro westboro Westboro
, , ,
Mass mass Mass
. . .
Lines line Lines
: : :
34 34 34
I i I
had had have
exactly exact exactly
the the the
same same same
problem problem problem
with with with
a a a
1981 1981 1981
Horizon horizon Horizon
. . .
Third third Third
gear gear gear
would would would
just just just
disengage disengag disengage
. . .
Engine engin Engine
would would would
rev rev rev
up up up
. . .
Kind kind Kind
of of of
disconcerting disconcert disconcert
. . .
I i I
sold sold sell
that that that
car car car
quite quit quite
a a a
few few few
years year year
back back back
but but but
the the the
memory memori memory
of of of
that that that
tranny tranni tranny
sticks stick stick
with with with
me me me
. . .
It it It
also also also
had had have
a a a
clutch clutch clutch
chatter chatter chatter
in in in
first first first
that that that
the the the
dealer dealer dealer
could could could
not not not
fix fix fix
. . .
If if If
the the the
lemon lemon lemon
law law law
had had have
been been be
in in in
place place place
then then then
, , ,
that that that
car car car
would would would
have have have
been been be
covered cover cover
. . .
I i I
have have have
had had have
several sever several
Jap jap Jap
cars car car
since sinc since
then then then
( ( (
figuring figur figure
the the the
Horizon horizon Horizon
was was be
my my my
contribution contribut contribution
to to to
the the the
American american American
Auto auto Auto
Companies compani Companies
) ) )
, , ,
and and and
have have have
never never never
seen seen see
any ani any
bad bad bad
behavior behavior behavior
with with with
the the the
exception except exception
of of of
a a a
Toyota toyota Toyota
Tercel tercel Tercel
with with with
a a a
bit bit bit
of of of
clutch clutch clutch
chatter chatter chatter
that that that
they they they
did did do
fix fix fix
on on on
the the the
first first first
try tri try
. . .
Anyway anyway Anyway
, , ,
from from from
that that that
day day day
forward forward forward
, , ,
I i I
have have have
sworn sworn swear
that that that
I i I
would would would
never never never
purchase purchas purchase
another anoth another
American american American
car car car
with with with
a a a
standard standard standard
. . .
American american American
manufacturers manufactur manufacturer
don don don
' ' '
t t t
have have have
a a a
clue clue clue
on on on
how how how
to to to
manufacture manufactur manufacture
five five five
speed speed speed
transmissions transmiss transmission
and and and
have have have
been been be
doing do do
the the the
automatics automat automatic
much much much
longer longer longer
and and and
on on on
many mani many
more more more
cars car car
. . .
However howev However
, , ,
I i I
hate hate hate
automatics automat automatic
, , ,
so so so
I i I
am am be
still still still
buying buy buy
Jap jap Jap
cars car car
. . .
Not not Not
sure sure sure
this this this
is is be
any ani any
help help help
, , ,
but but but
other other other
cars car car
do do do
this this this
too too too
. . .
Cheers cheer Cheers
, , ,
Larry larri Larry
- - -
- - -
@ @ @
@ @ @
Larry larri Larry
Rogers roger Rogers
* * *
@ @ @
@ @ @
@ @ @
larry larri larry
_ _ _
rogers roger rogers
@ @ @
dg dg dg
. . .
com com com
* * *
Big big Big
Brother brother Brother
@ @ @
@ @ @
@ @ @
& & &
& & &
& & &
larry larri larry
@ @ @
boris bori boris
. . .
webo webo webo
. . .
dg dg dg
. . .
com com com
* * *
is is be
Watching watch Watching
@ @ @
@ @ @
& & &
& & &
Data data Data
General general General
508 508 508
- - -
870 870 870
- - -
8441 8441 8441
* * *
The the The
opinions opinion opinion
contained contain contain
herein herein herein
are are be
my my my
own own own
, , ,
and and and
do do do
not not not
reflect reflect reflect
the the the
opinions opinion opinion
of of of
Data data Data
General general General
or or or
anyone anyon anyone
else els else
, , ,
but but but
they they they
should should should
. . .
" " "
Sometimes sometim Sometimes
we we we
are are be
the the the
windshield windshield windshield
, , ,
sometimes sometim sometimes
we we we
are are be
the the the
bug bug bug
" " "
Dire dire Dire
Straits strait Straits
