Organization organ Organization
: : :
Central central Central
Michigan michigan Michigan
University univers University
From from From
: : :
John john John
Foster foster Foster
< < <
32 32 32
HNBAK hnbak HNBAK
@ @ @
CMUVM cmuvm CMUVM
. . .
CSV csv CSV
. . .
CMICH cmich CMICH
. . .
EDU edu EDU
> > >
Subject subject Subject
: : :
Re re Re
: : :
Changing chang Changing
oil oil oil
by by by
self self self
. . .
< < <
1993 1993 1993
Apr apr Apr
15 15 15
. . .
112826 112826 112826
. . .
25211 25211 25211
@ @ @
colorado colorado colorado
. . .
edu edu edu
> > >
Lines line Lines
: : :
38 38 38
> > >
From from From
: : :
drew drew drew
@ @ @
kinglear kinglear kinglear
. . .
cs cs c
. . .
colorado colorado colorado
. . .
edu edu edu
( ( (
Drew drew Drew
Eckhardt eckhardt Eckhardt
) ) )
> > >
In in In
article articl article
< < <
pod pod pod
. . .
734834505 734834505 734834505
@ @ @
sour sour sour
. . .
sw sw sw
. . .
oz oz oz
. . .
au au au
> > >
pod pod pod
@ @ @
sour sour sour
. . .
sw sw sw
. . .
oz oz oz
. . .
au au au
( ( (
Paul paul Paul
O o O
' ' '
Donnell donnel Donnell
) ) )
wri wri wri
> > >
> > >
In in In
< < <
1 1 1
qgi qgi qgi
8 8 8
eINNhs einnh eINNhs
5 5 5
@ @ @
skeena skeena skeena
. . .
ucs uc ucs
. . .
ubc ubc ubc
. . .
ca ca ca
> > >
yiklam yiklam yiklam
@ @ @
unixg unixg unixg
. . .
ubc ubc ubc
. . .
ca ca ca
( ( (
Yik yik Yik
Chong chong Chong
Lam lam Lam
) ) )
writes write write
> > >
> > >
> > >
> > >
> > >
Hello hello Hello
, , ,
> > >
> > >
> > >
> > >
> > >
Does doe Does
anyone anyon anyone
know know know
how how how
to to to
take take take
out out out
the the the
bolt bolt bolt
under under under
the the the
engine engin engine
> > >
> > >
> > >
compartment compart compartment
? ? ?
Should should Should
I i I
turn turn turn
clockwise clockwis clockwise
or or or
counter counter counter
? ? ?
I i I
tried tri try
any ani any
kind kind kind
> > >
> > >
> > >
of of of
lubricants lubric lubricant
, , ,
WD wd WD
- - -
40 40 40
, , ,
etc etc etc
, , ,
but but but
I i I
still still still
failed fail fail
! ! !
> > >
> > >
> > >
Do do Do
you you you
think think think
I i I
can can can
use use use
a a a
electric electr electric
drill drill drill
( ( (
change chang change
to to to
a a a
suitable suitabl suitable
> > >
> > >
> > >
bit bit bit
) ) )
to to to
turn turn turn
it it it
out out out
? ? ?
If if If
I i I
can can can
succeed succeed succeed
, , ,
can can can
I i I
re re re
- - -
tighten tighten tighten
it it it
not not not
too too too
> > >
> > >
> > >
tight tight tight
, , ,
is is be
it it it
safe safe safe
without without without
oil oil oil
leak leak leak
? ? ?
> > >
> > >
> > >
> > >
You you You
shouldn shouldn shouldn
' ' '
t t t
need need need
any ani any
power power power
tools tool tool
to to to
undo undo undo
it it it
, , ,
an an an
electric electr electric
drill drill drill
> > >
> > >
probably probabl probably
won won win
' ' '
t t t
give give give
you you you
much much much
extra extra extra
torque torqu torque
anyway anyway anyway
. . .
WD wd WD
40 40 40
will will will
help help help
> > >
> > >
things thing thing
that that that
are are be
seized seiz seize
due due due
to to to
rust rust rust
but but but
this this this
is is be
unlikely unlik unlikely
for for for
a a a
drain drain drain
> > >
> > >
plug plug plug
. . .
You you You
should should should
be be be
able abl able
to to to
undo undo undo
it it it
with with with
a a a
spanner spanner spanner
. . .
When when When
it it it
> > >
> > >
loosens loosen loosens
, , ,
it it it
will will will
probably probabl probably
become becom become
very veri very
loose loos loose
and and and
you you you
will will will
bash bash bash
your your your
> > >
> > >
knuckles knuckl knuckle
on on on
the the the
underside undersid underside
of of of
the the the
car car car
- - -
this this this
is is be
the the the
price price price
you you you
must must must
> > >
> > >
pay pay pay
for for for
doing do do
you you you
own own own
work work work
. . .
> > >
> > >
No no No
, , ,
that that that
' ' '
s s s
the the the
price price price
you you you
pay pay pay
for for for
not not not
knowing know know
how how how
to to to
use use use
a a a
> > >
wrench wrench wrench
. . .
You you You
want want want
to to to
pull pull pull
the the the
wrench wrench wrench
towards toward towards
you you you
, , ,
away away away
from from from
> > >
painful pain painful
knuckle knuckl knuckle
splitting split split
hard hard hard
things thing thing
. . .
If if If
you you you
can can can
' ' '
t t t
pull pull pull
it it it
> > >
because becaus because
things thing thing
are are be
in in in
the the the
way way way
, , ,
push push push
it it it
with with with
an an an
open open open
hand hand hand
. . .
I i I
find find find
this this this
method method method
much much much
better better well
myself myself myself
, , ,
too too too
, , ,
although although although
I i I
do do do
really realli really
hate hate hate
it it it
when when when
the the the
bolt bolt bolt
finally final finally
comes come come
loose loos loose
and and and
the the the
wrench wrench wrench
and and and
my my my
hand hand hand
both both both
come come come
crashing crash crashing
into into into
my my my
face face face
. . .
After after After
coming come come
to to to
, , ,
which which which
is is be
about about about
15 15 15
minutes minut minute
later later later
, , ,
I i I
change chang change
my my my
clothes cloth clothes
( ( (
because becaus because
by by by
this this this
time time time
all all all
the the the
oil oil oil
has has have
drained drain drain
* * *
on on on
* * *
me me me
