From from From
: : :
rdc rdc rdc
8 8 8
@ @ @
cunixf cunixf cunixf
. . .
cc cc cc
. . .
columbia columbia columbia
. . .
edu edu edu
( ( (
Robert robert Robert
D d D
Castro castro Castro
) ) )
Subject subject Subject
: : :
Flashing flash Flashing
anyone anyon anyone
? ? ?
Keywords keyword Keywords
: : :
flashing flash flashing
Nntp nntp Nntp
- - -
Posting post Posting
- - -
Host host Host
: : :
cunixf cunixf cunixf
. . .
cc cc cc
. . .
columbia columbia columbia
. . .
edu edu edu
Organization organ Organization
: : :
Columbia columbia Columbia
University univers University
Lines line Lines
: : :
23 23 23
Hello hello Hello
all all all
, , ,
On on On
my my my
bike bike bike
I i I
have have have
hazard hazard hazard
lights light light
( ( (
both both both
front front front
and and and
back back back
turn turn turn
signals signal signal
flash flash flash
) ) )
. . .
Since sinc Since
I i I
live live live
in in in
NJ nj NJ
and and and
commute commut commute
to to to
NYC nyc NYC
there there there
are are be
a a a
number number number
of of of
tolls toll toll
one one one
must must must
pay pay pay
on on on
route rout route
. . .
Just just Just
before befor before
arriving arriv arrive
at at at
a a a
toll toll toll
booth booth booth
I i I
switch switch switch
the the the
hazards hazard hazard
on on on
. . .
I i I
do do do
thisto thisto thisto
warn warn warn
other other other
motorists motorist motorist
that that that
I i I
will will will
be be be
taking take take
longer longer long
than than than
the the the
2 2 2
1 1 1
/ / /
2 2 2
seconds second second
to to to
make make make
the the the
transaction transact transaction
. . .
Taking take Taking
gloves glove glove
off off off
, , ,
getting get get
money money money
out out out
of of of
coin coin coin
changer changer changer
/ / /
pocket pocket pocket
, , ,
making make make
transaction transact transaction
, , ,
putting put put
gloves glove glove
back back back
on on on
takes take take
a a a
little littl little
more more more
time time time
than than than
the the the
average averag average
cager cager cager
takes take take
to to to
make make make
the the the
same same same
transaction transact transaction
of of of
paying pay pay
the the the
toll toll toll
. . .
I i I
also also also
notice notic notice
that that that
when when when
I i I
do do do
this this this
cagers cager cager
tend tend tend
to to to
get get get
the the the
message messag message
and and and
usually usual usually
go go go
to to to
another anoth another
booth booth booth
. . .
My my My
question question question
, , ,
is is be
this this this
a a a
good good good
/ / /
bad bad bad
thing thing thing
to to to
do do do
? ? ?
Any ani Any
others other others
tend tend tend
to to to
do do do
the the the
same same same
? ? ?
Just just Just
curious curious curious
o o o
& & &
o o o
> > >
o o o
& & &
o o o
> > >
o o o
& & &
o o o
> > >
o o o
& & &
o o o
> > >
o o o
& & &
o o o
> > >
o o o
& & &
o o o
> > >
o o o
& & &
o o o
> > >
o o o
& & &
o o o
> > >
o o o
& & &
o o o
> > >
o o o
& & &
o o o
> > >
o o o
& & &
o o o
> > >
o o o
& & &
o o o
> > >
o o o
& & &
o o o
> > >
Rob rob Rob
Castro castro Castro
| | |
email email email
- - -
rdc rdc rdc
8 8 8
@ @ @
cunixf cunixf cunixf
. . .
cc cc cc
. . .
columbia columbia columbia
. . .
edu edu edu
| | |
Live live Live
for for for
today today today
1983 1983 1983
KZ kz KZ
550 550 550
LTD ltd LTD
| | |
phone phone phone
- - -
( ( (
212 212 212
) ) )
854 854 854
- - -
7617 7617 7617
| | |
For for For
today today today
you you you
live live live
! ! !
DoD dod DoD
# # #
NYC nyc NYC
- - -
1 1 1
| | |
New new New
York york York
, , ,
New new New
York york York
, , ,
USA usa USA
| | |
RC rc RC
( ( (
tm tm tm
) ) )
