Subject subject Subject
: : :
Re re Re
: : :
Observation observ Observation
re re re
: : :
helmets helmet helmet
From from From
: : :
dev dev dev
2 2 2
@ @ @
inform inform inform
. . .
co co co
. . .
nz nz nz
( ( (
Michael michael Michael
Seales seal Seales
) ) )
Organization organ Organization
: : :
InForm inform InForm
Group group Group
Ltd ltd Ltd
. . .
Lines line Lines
: : :
23 23 23
In in In
article articl article
< < <
211353 211353 211353
@ @ @
mavenry mavenri mavenry
. . .
altcit altcit altcit
. . .
eskimo eskimo eskimo
. . .
com com com
> > >
, , ,
maven maven maven
@ @ @
mavenry mavenri mavenry
. . .
altcit altcit altcit
. . .
eskimo eskimo eskimo
. . .
com com com
( ( (
Norman norman Norman
Hamer hamer Hamer
) ) )
writes write write
: : :
> > >
> > >
Grf grf Grf
. . .
Dropped drop Dropped
my my my
Shoei shoei Shoei
RF rf RF
- - -
200 200 200
off off off
the the the
seat seat seat
of of of
my my my
bike bike bike
while while while
trying tri try
to to to
rock rock rock
> > >
it it it
onto onto onto
it it it
' ' '
s s s
centerstand centerstand centerstand
, , ,
chipped chip chip
the the the
heck heck heck
out out out
of of of
the the the
paint paint paint
on on on
it it it
. . .
. . .
. . .
CONGRAULATIONS congraul CONGRAULATIONS
! ! !
! ! !
! ! !
! ! !
Your your Your
helmet helmet helmet
just just just
passed pass pass
the the the
Snell snell Snell
Test test Test
. . .
> > >
So so So
I i I
cheerfully cheer cheerfully
spent spent spent
$ $ $
. . .
59 59 59
on on on
a a a
bottle bottl bottle
of of of
testor testor testor
' ' '
s s s
model model model
paint paint paint
and and and
> > >
repainted repaint repaint
the the the
scratches scratch scratch
and and and
chips chip chip
for for for
20 20 20
minutes minut minute
. . .
Oh oh Oh
well well well
, , ,
as as a
least least least
it it it
looks look look
ok ok ok
now now now
. . .
Still still Still
, , ,
it it it
may may may
not not not
save save save
your your your
head head head
as as as
well well well
as as a
before befor before
you you you
dropped drop drop
it it it
. . .
Mike mike Mike
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
Mike mike Mike
Seales seal Seales
Yamaha yamaha Yamaha
XJ xj XJ
600 600 600
( ( (
same same same
as as a
FJ fj FJ
600 600 600
) ) )
# # #
# # #
Inform inform Inform
Group group Group
Ltd ltd Ltd
. . .
DoD dod DoD
# # #
0793 0793 0793
# # #
# # #
Level level Level
8 8 8
DB db DB
Tower tower Tower
# # #
# # #
111 111 111
The the The
Terrace terrac Terrace
Email email Email
: : :
homer homer homer
@ @ @
inform inform inform
. . .
co co co
. . .
nz nz nz
# # #
# # #
Wellington wellington Wellington
Phone phone Phone
: : :
64 64 64
- - -
4 4 4
- - -
4720996 4720996 4720996
# # #
# # #
New new New
Zealand zealand Zealand
Fax fax Fax
: : :
64 64 64
- - -
4 4 4
- - -
4732407 4732407 4732407
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
# # #
