From from From
: : :
cbrooks cbrook cbrooks
@ @ @
ms ms m
. . .
uky uki uky
. . .
edu edu edu
( ( (
Clayton clayton Clayton
Brooks brook Brooks
) ) )
Subject subject Subject
: : :
Changing chang Changing
sprocket sprocket sprocket
ratios ratio ratio
( ( (
79 79 79
Honda honda Honda
CB cb CB
750 750 750
) ) )
Organization organ Organization
: : :
University univers University
Of of Of
Kentucky kentucki Kentucky
, , ,
Dept dept Dept
. . .
of of of
Math math Math
Sciences scienc Sciences
Lines line Lines
: : :
10 10 10
Do do Do
any ani any
Honda honda Honda
gurus gurus guru
know know know
if if if
I i I
can can can
replace replac replace
the the the
the the the
front front front
sprocket sprocket sprocket
on on on
my my my
1979 1979 1979
Honda honda Honda
CB cb CB
750 750 750
K k K
with with with
a a a
slightly slight slightly
larger larger large
one one one
? ? ?
( ( (
I i I
see see see
this this this
as as a
being be be
preferable prefer preferable
to to to
reducing reduc reduce
the the the
size size size
of of of
the the the
rear rear rear
one one one
) ) )
Just just Just
wanting want want
ride ride ride
at at at
a a a
more more more
relaxed relax relaxed
RPM rpm RPM
. . .
- - -
- - -
Clayton clayton Clayton
T t T
. . .
Brooks brook Brooks
_ _ _
, , ,
, , ,
- - -
^ ^ ^
` ` `
- - -
- - -
. . .
From from From
the the the
heart heart heart
cbrooks cbrook cbrooks
@ @ @
ms ms m
. . .
uky uki uky
. . .
edu edu edu
722 722 722
POT pot POT
U u U
o o o
' ' '
Ky ky Ky
. . .
_ _ _
_ _ _
, , ,
- - -
' ' '
* * *
\ \ \
of of of
the the the
blue blue blue
cbrooks cbrook cbrooks
@ @ @
ukma ukma ukma
. . .
bitnet bitnet bitnet
Lex lex Lex
. . .
KY ky KY
40506 40506 40506
_ _ _
/ / /
, , ,
/ / /
grass grass grass
and and and
{ { {
rutgers rutger rutgers
, , ,
uunet uunet uunet
} } }
! ! !
ukma ukma ukma
! ! !
cbrooks cbrook cbrooks
606 606 606
- - -
257 257 257
- - -
6807 6807 6807
( ( (
_ _ _
_ _ _
, , ,
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
' ' '
' ' '
bourbon bourbon bourbon
country countri country
AMA ama AMA
NMA nma NMA
MAA maa MAA
AMS am AMS
ACBL acbl ACBL
DoD dod DoD
