egsner egsner egsner
! ! !
ernest ernest ernest
! ! !
m m m
2 2 2
. . .
dseg dseg dseg
. . .
ti ti ti
. . .
com com com
! ! !
tilde tild tilde
. . .
csc csc csc
. . .
ti ti ti
. . .
com com com
! ! !
mksol mksol mksol
! ! !
kerr kerr kerr
. . .
dseg dseg dseg
. . .
ti ti ti
. . .
com com com
! ! !
kkerr kkerr kkerr
@ @ @
mkcase mkcase mkcase
1 1 1
. . .
dseg dseg dseg
. . .
ti ti ti
. . .
com com com
From from From
: : :
kkerr kkerr kkerr
@ @ @
mkcase mkcase mkcase
1 1 1
. . .
dseg dseg dseg
. . .
ti ti ti
. . .
com com com
@ @ @
MK mk MK
( ( (
Kevin kevin Kevin
Kerr kerr Kerr
) ) )
Subject subject Subject
: : :
Re re Re
: : :
YANKKES yankk YANKKES
1 1 1
GAME game GAME
CLOSER closer CLOSER
Organization organ Organization
: : :
ENGINEERING engin ENGINEERING
AUTOMATION autom AUTOMATION
Lines line Lines
: : :
38 38 38
Nntp nntp Nntp
- - -
Posting post Posting
- - -
Host host Host
: : :
kerr kerr kerr
. . .
dseg dseg dseg
. . .
ti ti ti
. . .
com com com
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
6 6 6
. . .
233805 233805 233805
. . .
29755 29755 29755
@ @ @
freenet freenet freenet
. . .
carleton carleton carleton
. . .
ca ca ca
> > >
aa aa aa
649 649 649
@ @ @
Freenet freenet Freenet
. . .
carleton carleton carleton
. . .
ca ca ca
( ( (
Ralph ralph Ralph
Timmerman timmerman Timmerman
) ) )
writes write write
: : :
> > >
From from From
: : :
aa aa aa
649 649 649
@ @ @
Freenet freenet Freenet
. . .
carleton carleton carleton
. . .
ca ca ca
( ( (
Ralph ralph Ralph
Timmerman timmerman Timmerman
) ) )
> > >
Subject subject Subject
: : :
Re re Re
: : :
YANKKES yankk YANKKES
1 1 1
GAME game GAME
CLOSER closer CLOSER
> > >
Date date Date
: : :
Tue tue Tue
, , ,
6 6 6
Apr apr Apr
1993 1993 1993
23 23 23
: : :
38 38 38
: : :
05 05 05
GMT gmt GMT
> > >
In in In
a a a
previous previous previous
article articl article
, , ,
002251 002251 002251
w w w
@ @ @
axe axe axe
. . .
acadiau acadiau acadiau
. . .
ca ca ca
( ( (
JASON jason JASON
WALTER walter WALTER
WORKS work WORKS
) ) )
says say say
: : :
> > >
> > >
The the The
N n N
. . .
Y y Y
. . .
Yankees yanke Yankees
, , ,
are are be
now now now
one one one
game game game
closer closer closer
to to to
the the the
A a A
. . .
L l L
. . .
East east East
pennant pennant pennant
. . .
They they They
> > >
> > >
