Organization organ Organization
: : :
University univers University
of of of
Illinois illinoi Illinois
at at at
Chicago chicago Chicago
, , ,
academic academ academic
Computer comput Computer
Center center Center
From from From
: : :
< < <
U u U
49839 49839 49839
@ @ @
uicvm uicvm uicvm
. . .
uic uic uic
. . .
edu edu edu
> > >
Subject subject Subject
: : :
Re re Re
: : :
Harry harri Harry
Caray caray Caray
Distribution distribut Distribution
: : :
na na na
Lines line Lines
: : :
17 17 17
last last last
night night night
bill bill bill
veeck veeck veeck
cam cam cam
to to to
me me me
in in in
my my my
dreams dream dream
and and and
this this this
is is be
what what what
he he he
said said say
: : :
cubs cub cub
suck suck suck
cubs cub cubs
suck suck suck
cubs cub cub
suck suck suck
cubs cub cubs
suck suck suck
cubs cub cub
suck suck suck
cubs cub cubs
suck suck suck
cubs cub cub
suck suck suck
cubs cub cubs
suck suck suck
cubs cub cub
suck suck suck
cubs cub cubs
suck suck suck
cubs cub cub
suck suck suck
cubs cub cubs
suck suck suck
cubs cub cub
suck suck suck
cubs cub cubs
scuk scuk scuk
cubs cub cub
suck suck suck
cubs cub cubs
suck suck suck
cubs cub cub
suck suck suck
cubs cub cubs
cuck cuck cuck
cubs cub cub
suck suck suck
cubs cub cubs
suck suck suck
cubs cub cub
suck suck suck
cubs cub cubs
suck suck suck
cubs cub cub
suck suck suck
cubs cub cubs
suck suck suck
cubs cub cub
suck suck suck
cubs cub cubs
suck suck suck
cubs cub cub
suck suck suck
cubs cub cubs
suck suck suck
cubs cub cub
suck suck suck
cubs cub cubs
suck suck suck
cubs cub cub
suck suck suck
cubs cub cubs
suck suck suck
cubs cub cub
suck suck suck
cubs cub cubs
suck suck suck
cubs cub cub
suck suck suck
oh oh oh
yeah yeah yeah
, , ,
he he he
aqlso aqlso aqlso
added ad add
that that that
harry harri harry
is is be
a a a
drunken drunken drunken
idiot idiot idiot
who who who
shoulda shoulda shoulda
stayed stay stay
in in in
st st st
louis loui louis
where where where
his his his
heart heart heart
is is be
, , ,
but but but
also also also
added ad add
that that that
fair fair fair
weathered weather weather
fans fan fan
all all all
like like like
to to to
be be be
together togeth together
. . .
i i i
guess guess guess
this this this
is is be
the the the
reason reason reason
harry harri harry
is is be
now now now
a a a
cub cub cub
fan fan fan
, , ,
bud bud bud
man man man
. . .
note note note
he he he
never never never
really realli really
left left left
st st st
, , ,
louis loui louis
. . .
jim jim jim
walker walker walker
go go go
sox sox sox
, , ,
cubs cub cubs
suck suck suck
! ! !
