From from From
: : :
baseball basebal baseball
@ @ @
catch catch catch
- - -
the the the
- - -
fever fever fever
. . .
scd scd scd
. . .
ucar ucar ucar
. . .
edu edu edu
( ( (
Gregg gregg Gregg
Walters walter Walters
) ) )
Subject subject Subject
: : :
Ryan ryan Ryan
on on on
DL dl DL
Organization organ Organization
: : :
Scientific scientif Scientific
Computing comput Computing
Divison divison Divison
/ / /
NCAR ncar NCAR
Boulder boulder Boulder
, , ,
CO co CO
Lines line Lines
: : :
18 18 18
Heard heard Heard
minutes minut minute
ago ago ago
on on on
KOA koa KOA
radio radio radio
, , ,
Denver denver Denver
. . .
Nolan nolan Nolan
Ryan ryan Ryan
to to to
have have have
arthroscopic arthroscop arthroscopic
on on on
a a a
knee knee knee
, , ,
and and and
to to to
miss miss miss
2 2 2
- - -
5 5 5
weeks week week
. . .
Rockies rocki Rockies
( ( (
Nied nie Nied
) ) )
lead lead lead
Mets met Mets
( ( (
Gooden gooden Gooden
) ) )
4 4 4
- - -
0 0 0
in in in
7 7 7
th th th
. . .
All all All
runs run run
in in in
first first first
inning inning inning
. . .
Gregg gregg Gregg
\ \ \
\ \ \
baseball basebal baseball
@ @ @
ncar ncar ncar
. . .
ucar ucar ucar
. . .
edu edu edu
/ / /
/ / /
\ \ \
\ \ \
/ / /
\ \ \
/ / /
/ / /
_ _ _
^ ^ ^
\ \ \
/ / /
\ \ \
/ / /
^ ^ ^
_ _ _
_ _ _
\ \ \
| | |
_ _ _
_ _ _
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
_ _ _
_ _ _
| | |
/ / /
_ _ _
/ / /
\ \ \
_ _ _
_ _ _
_ _ _
/ / /
/ / /
\ \ \
\ \ \
_ _ _
_ _ _
_ _ _
/ / /
\ \ \
| | |
CR cr CR
/ / /
/ / /
\ \ \
/ / /
o o o
\ \ \
/ / /
\ \ \
\ \ \
CR cr CR
| | |
| | |
- - -
- - -
/ / /
/ / /
/ / /
\ \ \
\ \ \
- - -
- - -
| | |
\ \ \
\ \ \
/ / /
/ / /
/ / /
\ \ \
/ / /
/ / /
/ / /
/ / /
/ / /
/ / /
/ / /
\ \ \
\ \ \
\ \ \
\ \ \
\ \ \
/ / /
COLORADO colorado COLORADO
ROCKIES rocki ROCKIES
\ \ \
/ / /
/ / /
