From from From
: : :
wilbanks wilbank wilbanks
@ @ @
spot spot spot
. . .
Colorado colorado Colorado
. . .
EDU edu EDU
( ( (
Kokopeli kokop Kokopeli
) ) )
Subject subject Subject
: : :
Re re Re
: : :
Old old Old
Predictions predict Predictions
to to to
laugh laugh laugh
at at at
. . .
. . .
. . .
Nntp nntp Nntp
- - -
Posting post Posting
- - -
Host host Host
: : :
spot spot spot
. . .
colorado colorado colorado
. . .
edu edu edu
Organization organ Organization
: : :
University univers University
of of of
Colorado colorado Colorado
, , ,
Boulder boulder Boulder
Lines line Lines
: : :
35 35 35
tedward tedward tedward
@ @ @
cs cs c
. . .
cornell cornel cornell
. . .
edu edu edu
( ( (
Edward edward Edward
[ [ [
Ted ted Ted
] ] ]
Fischer fischer Fischer
) ) )
writes write write
: : :
> > >
From from From
jpalmer jpalmer jpalmer
@ @ @
uwovax uwovax uwovax
. . .
uwo uwo uwo
. . .
ca ca ca
Thu thu Thu
Sep sep Sep
12 12 12
10 10 10
: : :
35 35 35
: : :
58 58 58
1991 1991 1991
> > >
> > >
> > >
> > >
Ron ron Ron
Hassey hassey Hassey
will will will
be be be
a a a
minor minor minor
league leagu league
manager manag manager
with with with
the the the
Yankees yanke Yankees
. . .
> > >
Dunno dunno Dunno
what what what
happened happen happen
to to to
him him him
. . .
Maybe mayb Maybe
I i I
can can can
help help help
you you you
. . .
He he He
' ' '
s s s
a a a
major major major
league leagu league
coach coach coach
with with with
the the the
Rockies rocki Rockies
. . .
So so So
above abov above
prediction predict prediction
is is be
doubly doubli doubly
wrong wrong wrong
. . .
My my My
prediction predict prediction
: : :
The the The
Red red Red
Sox sox Sox
- - -
Cubs cub Cubs
Series seri Series
and and and
Vikings vike Vikings
- - -
Broncos bronco Broncos
SuperBore superbor SuperBore
will will will
occur occur occur
at at at
the the the
end end end
of of of
the the the
world world world
. . .
And and And
one one one
Rockie rocki Rockie
will will will
finish finish finish
in in in
the the the
top top top
10 10 10
of of of
an an an
offensive offens offensive
catagory catagori catagory
this this this
year year year
. . .
And and And
no no no
Rockie rocki Rockie
starter starter starter
will will will
have have have
an an an
ERA era ERA
below below below
3 3 3
. . .
50 50 50
. . .
And and And
the the the
Rangers ranger Rangers
fade fade fade
will will will
not not not
begin begin begin
until until until
. . .
. . .
. . .
August august August
. . .
They they They
' ' '
ll ll ll
give give give
way way way
to to to
the the the
Angels angel Angels
. . .
But but But
still still still
challenge challeng challenge
to to to
the the the
end end end
. . .
Really realli Really
. . .
Not not Not
making make make
any ani any
of of of
this this this
up up up
. . .
If if If
I i I
am am be
, , ,
may may may
God god God
strike strike strike
me me me
down down down
* * *
ZZZZZZT zzzzzzt ZZZZZZT
* * *
> > >
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
> > >
Thanks thank Thanks
for for for
listening listen listen
! ! !
> > >
- - -
Valentine valentin Valentine
- - -
- - -
Dylan dylan Dylan
Wilbanks wilbank Wilbanks
, , ,
Environ environ Environ
. . .
Con con Con
: : :
The the The
official offici official
USENET usenet USENET
rabid rabid rabid
fan fan fan
of of of
the the the
major major major
, , ,
U u U
of of of
Colorado colorado Colorado
, , ,
Boulder boulder Boulder
: : :
Colorado colorado Colorado
Rockies rocki Rockies
. . .
Clip clip Clip
this this this
. . .
sig sig sig
for for for
PO po PO
Box box Box
1143 1143 1143
, , ,
Boulder boulder Boulder
, , ,
CO co CO
: : :
20 20 20
% % %
off off off
on on on
your your your
next next next
Rockies rocki Rockies
woof woof woof
! ! !
! ! !
! ! !
80306 80306 80306
- - -
1143 1143 1143
. . .
Life life Life
is is be
bigger bigger big
. . .
: : :
( ( (
this this this
space space space
intenionally intenion intenionally
blank blank blank
) ) )
