Subject subject Subject
: : :
Cubs cub Cubs
mailing mail mail
list list list
From from From
: : :
andrew andrew andrew
@ @ @
dark dark dark
. . .
side side side
. . .
of of of
. . .
the the the
. . .
moon moon moon
. . .
uoknor uoknor uoknor
. . .
edu edu edu
( ( (
Chihuahua chihuahua Chihuahua
Charlie charli Charlie
) ) )
Distribution distribut Distribution
: : :
usa usa usa
Organization organ Organization
: : :
OU ou OU
- - -
Academic academ Academic
User user User
Services servic Services
Nntp nntp Nntp
- - -
Posting post Posting
- - -
Host host Host
: : :
loopback loopback loopback
. . .
uoknor uoknor uoknor
. . .
edu edu edu
News news News
- - -
Software softwar Software
: : :
VAX vax VAX
/ / /
VMS vms VMS
VNEWS vnew VNEWS
1 1 1
. . .
41 41 41
Lines line Lines
: : :
14 14 14
Lines line Lines
: : :
14 14 14
Is is Is
there there there
anyone anyon anyone
out out out
there there there
running run run
a a a
Chicago chicago Chicago
National nation National
League leagu League
Ballclub ballclub Ballclub
list list list
? ? ?
If if If
so so so
, , ,
please pleas please
send send send
me me me
information inform information
on on on
it it it
to to to
. . .
. . .
. . .
andrew andrew andrew
@ @ @
aardvark aardvark aardvark
. . .
ucs uc ucs
. . .
uoknor uoknor uoknor
. . .
edu edu edu
Thanks thank Thanks
! ! !
| | |
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
\ \ \
/ / /
| | |
| | |
O o O
| | |
_ _ _
| | |
Chihuahua chihuahua Chihuahua
Charlie charli Charlie
| | |
OU ou OU
is is be
not not not
responsible respons responsible
| | |
O o O
| | |
| | |
O o O
| | |
| | |
| | |
| | |
Academic academ Academic
User user User
Services servic Services
| | |
for for for
anything anyth anything
anywhere anywher anywhere
, , ,
| | |
O o O
| | |
| | |
O o O
| | |
| | |
| | |
| | |
| | |
| | |
The the The
University univers University
of of of
Oklahoma oklahoma Oklahoma
| | |
except except except
for for for
that that that
one one one
| | |
O o O
| | |
| | |
O o O
| | |
| | |
_ _ _
| | |
| | |
andrew andrew andrew
@ @ @
aardvark aardvark aardvark
. . .
ucs uc ucs
. . .
uoknor uoknor uoknor
. . .
edu edu edu
| | |
incident incid incident
where where where
200 200 200
. . .
. . .
. . .
| | |
O o O
| | |
| | |
O o O
| | |
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
_ _ _
| | |
O o O
| | |
