Subject subject Subject
: : :
Re re Re
: : :
Trade trade Trade
rumor rumor rumor
: : :
Montreal montreal Montreal
/ / /
Ottawa ottawa Ottawa
/ / /
Phillie philli Phillie
From from From
: : :
< < <
JER jer JER
108 108 108
@ @ @
psuvm psuvm psuvm
. . .
psu psu psu
. . .
edu edu edu
> > >
Organization organ Organization
: : :
Penn penn Penn
State state State
University univers University
Lines line Lines
: : :
50 50 50
In in In
article articl article
< < <
93095 93095 93095
. . .
210625 210625 210625
MWEINTR mweintr MWEINTR
@ @ @
auvm auvm auvm
. . .
american american american
. . .
edu edu edu
> > >
, , ,
< < <
MWEINTR mweintr MWEINTR
@ @ @
auvm auvm auvm
. . .
american american american
. . .
edu edu edu
> > >
says say say
: : :
> > >
> > >
Also also Also
sprach sprach sprach
slegge slegg slegge
@ @ @
kean kean kean
. . .
ucs uc ucs
. . .
mun mun mun
. . .
ca ca ca
. . .
. . .
. . .
> > >
> > >
> > >
TSN tsn TSN
Sportsdesk sportsdesk Sportsdesk
just just just
reported report report
that that that
the the the
OTTAWA ottawa OTTAWA
SUN sun SUN
has has have
reported report report
that that that
> > >
> > >
Montreal montreal Montreal
will will will
send send send
4 4 4
players player player
+ + +
$ $ $
15 15 15
million million million
including includ include
Vin vin Vin
Damphousse damphouss Damphousse
> > >
> > >
and and and
Brian brian Brian
Bellows bellow Bellows
to to to
Phillidelphia phillidelphia Phillidelphia
, , ,
Phillie philli Phillie
will will will
send send send
Eric eric Eric
Lindros lindro Lindros
> > >
> > >
to to to
Ottawa ottawa Ottawa
, , ,
and and and
Ottawa ottawa Ottawa
will will will
give give give
it it it
' ' '
s s s
first first first
round round round
pick pick pick
to to to
Montreal montreal Montreal
. . .
> > >
> > >
> > >
> > >
If if If
this this this
is is be
true true true
, , ,
it it it
will will will
most most most
likely like likely
depend depend depend
on on on
whether whether whether
or or or
not not not
Ottawa ottawa Ottawa
> > >
> > >
gets get get
to to to
choose choos choose
1 1 1
st st st
overall overal overall
. . .
Can can Can
Ottawa ottawa Ottawa
afford afford afford
Lindros lindro Lindros
' ' '
salary salari salary
? ? ?
> > >
> > >
> > >
> > >
Personally person Personally
, , ,
I i I
can can can
' ' '
t t t
see see see
Philli philli Philli
giving give give
up up up
Lindros lindro Lindros
- - -
- - -
for for for
anything anyth anything
. . .
> > >
> > >
They they They
didn didn didn
' ' '
t t t
give give give
away away away
that that that
much much much
to to to
Quebec quebec Quebec
just just just
to to to
trade trade trade
him him him
away away away
> > >
> > >
again again again
. . .
Not not Not
to to to
mention mention mention
that that that
Lindros lindro Lindros
seems seem seem
to to to
be be be
a a a
* * *
huge huge huge
* * *
draw draw draw
in in in
> > >
> > >
Phillie philli Phillie
- - -
- - -
and and and
that that that
he he he
represents repres represent
a a a
successful success successful
future futur future
for for for
the the the
> > >
> > >
franchise franchis franchise
. . .
> > >
> > >
> > >
> > >
Ottawa ottawa Ottawa
may may may
be be be
better better good
off off off
taking take take
the the the
4 4 4
players player player
+ + +
$ $ $
15 15 15
from from from
Montreal montreal Montreal
> > >
> > >
for for for
the the the
pick pick pick
. . .
> > >
> > >
> > >
> > >
Stephen stephen Stephen
Legge legg Legge
> > >
> > >
SLEGGE slegg SLEGGE
@ @ @
kean kean kean
. . .
ucs uc ucs
. . .
munc munc munc
. . .
ca ca ca
> > >
> > >
Two two Two
things thing thing
: : :
> > >
> > >
1 1 1
. . .
Didn didn Didn
' ' '
t t t
the the the
trade trade trade
deadline deadlin deadline
pass pass pass
two two two
weeks week week
ago ago ago
? ? ?
> > >
> > >
2 2 2
. . .
The the The
FLYERS flyer FLYERS
would would would
never never never
ever ever ever
EVER ever EVER
give give give
up up up
Lindros lindro Lindros
, , ,
simple simpl simple
as as a
that that that
. . .
> > >
3 3 3
. . .
With with With
Soderstrom soderstrom Soderstrom
and and and
Roussel roussel Roussel
, , ,
why whi why
the the the
hell hell hell
would would would
the the the
Flyers flyer Flyers
want want want
to to to
pick pick pick
up up up
an an an
older older old
and and and
slumping slump slump
Roy roy Roy
? ? ?
( ( (
BYW byw BYW
, , ,
I i I
could could could
come come come
up up up
with with with
a a a
group group group
of of of
players player player
they they they
' ' '
d d d
trade trade trade
for for for
. . .
. . .
. . .
. . .
but but but
they they they
wouldn wouldn wouldn
' ' '
t t t
be be be
from from from
the the the
same same same
team team team
. . .
) ) )
> > >
Go go Go
Flyers flyer Flyers
, , ,
Cup cup Cup
in in in
' ' '
94 94 94
. . .
. . .
. . .
> > >
> > >
Mike mike Mike
> > >
- - -
- - -
- - -
> > >
* * *
* * *
* * *
Yes yes Yes
- - -
Rush rush Rush
- - -
Marillion marillion Marillion
- - -
ELP elp ELP
- - -
Genesis genesi Genesis
- - -
King king King
Crimson crimson Crimson
- - -
Dream dream Dream
Theater theater Theater
- - -
Beatles beatl Beatles
* * *
* * *
* * *
> > >
* * *
Mike mike Mike
Weintraub weintraub Weintraub
, , ,
aka aka aka
Jvi jvi Jvi
on on on
IRC irc IRC
" " "
Courageous courag Courageous
convictions convict conviction
* * *
> > >
* * *
mweintr mweintr mweintr
@ @ @
american american american
. . .
edu edu edu
will will will
drag drag drag
the the the
dream dream dream
* * *
> > >
* * *
jedi jedi jedi
@ @ @
wave wave wave
. . .
cerf cerf cerf
. . .
net net net
into into into
existence exist existence
" " "
* * *
> > >
* * *
The the The
American american American
University univers University
, , ,
Washington washington Washington
DC dc DC
- - -
Rush rush Rush
( ( (
NOT not NOT
Limbaugh limbaugh Limbaugh
) ) )
* * *
> > >
* * *
* * *
* * *
Go go Go
Philadelphia philadelphia Philadelphia
Flyers flyer Flyers
, , ,
Vancouver vancouv Vancouver
Canucks canuck Canucks
& & &
Philadelphia philadelphia Philadelphia
Phillies philli Phillies
* * *
* * *
* * *
John john John
E e E
. . .
Runski runski Runski
< < <
jer jer jer
108 108 108
@ @ @
psuvm psuvm psuvm
> > >
