From from From
: : :
lli lli lli
+ + +
@ @ @
cs cs c
. . .
cmu cmu cmu
. . .
edu edu edu
( ( (
Lori lori Lori
Iannamico iannamico Iannamico
) ) )
Subject subject Subject
: : :
Re re Re
: : :
Giveaways giveaway Giveaways
Nntp nntp Nntp
- - -
Posting post Posting
- - -
Host host Host
: : :
lli lli lli
. . .
mach mach mach
. . .
cs cs c
. . .
cmu cmu cmu
. . .
edu edu edu
Organization organ Organization
: : :
School school School
of of of
Computer comput Computer
Science scienc Science
, , ,
Carnegie carnegi Carnegie
Mellon mellon Mellon
Lines line Lines
: : :
13 13 13
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
14 14 14
. . .
173826 173826 173826
. . .
29856 29856 29856
@ @ @
philabs philab philabs
. . .
philips philip philip
. . .
com com com
> > >
jpc jpc jpc
@ @ @
philabs philab philabs
. . .
philips philip philip
. . .
com com com
( ( (
John john John
P p P
. . .
Curcio curcio Curcio
) ) )
writes write write
: : :
> > >
> > >
That that That
' ' '
s s s
probably probabl probably
because becaus because
they they they
couldn couldn couldn
' ' '
t t t
find find find
anyone anyon anyone
to to to
sponser sponser sponser
it it it
. . .
. . .
. . .
Maybe mayb Maybe
USS uss USS
> > >
could could could
sponser sponser sponser
the the the
Pittsburgh pittsburgh Pittsburgh
Penguins penguin Penguins
/ / /
US us US
Steel steel Steel
Steel steel Steel
Rod rod Rod
Night night Night
- - -
- - -
close close close
enough enough enough
? ? ?
Maybe mayb Maybe
in in in
the the the
60 60 60
' ' '
s s s
, , ,
but but but
not not not
now now now
. . .
Steel steel Steel
is is be
a a a
dead dead dead
industry industri industry
in in in
Pgh pgh Pgh
. . .
No no No
, , ,
a a a
giveaway giveaway giveaway
night night night
in in in
the the the
90 90 90
' ' '
s s s
for for for
Pgh pgh Pgh
would would would
be be be
" " "
Baboon baboon Baboon
Liver liver Liver
Night night Night
" " "
sponored sponor sponored
by by by
The the The
Pittsburgh pittsburgh Pittsburgh
Zoo zoo Zoo
. . .
. . .
. . .
Lori lori Lori
