From from From
: : :
maynard maynard maynard
@ @ @
ramsey ramsey ramsey
. . .
cs cs c
. . .
laurentian laurentian laurentian
. . .
ca ca ca
( ( (
Roger roger Roger
Maynard maynard Maynard
) ) )
Subject subject Subject
: : :
Re re Re
: : :
div div div
. . .
and and and
conf conf conf
. . .
names name name
Organization organ Organization
: : :
Dept dept Dept
. . .
of of of
Computer comput Computer
Science scienc Science
, , ,
Laurentian laurentian Laurentian
University univers University
, , ,
Sudbury sudburi Sudbury
, , ,
ON on ON
Distribution distribut Distribution
: : :
na na na
Lines line Lines
: : :
63 63 63
In in In
< < <
C c C
5 5 5
pDGI pdgi pDGI
. . .
LJL ljl LJL
@ @ @
news news news
. . .
cso cso cso
. . .
uiuc uiuc uiuc
. . .
edu edu edu
> > >
epritcha epritcha epritcha
@ @ @
s s s
. . .
psych psych psych
. . .
uiuc uiuc uiuc
. . .
edu edu edu
( ( (
Evan evan Evan
Pritchard pritchard Pritchard
) ) )
writes write write
: : :
> > >
I i I
think think think
that that that
you you you
are are be
incorrect incorrect incorrect
, , ,
Roger roger Roger
. . .
Patrick patrick Patrick
, , ,
> > >
Smythe smyth Smythe
and and and
Adams adam Adams
all all all
played play play
or or or
coached coach coach
in in in
the the the
league leagu league
before befor before
becoming becom become
> > >
front front front
office offic office
types type type
. . .
Hence henc Hence
, , ,
they they they
did did do
help help help
build build build
the the the
league leagu league
, , ,
although although although
> > >
they they they
were were be
not not not
great great great
players player player
themselves themselv themselves
. . .
Punch punch Punch
Imlach imlach Imlach
' ' '
s s s
contributions contribut contribution
as as a
a a a
coach coach coach
and and and
GM gm GM
were were be
far far far
greater greater great
than than than
those those those
of of of
the the the
above abov above
combined combin combine
. . .
Should should Should
we we we
name name name
a a a
division divis division
or or or
trophy trophi trophy
after after after
him him him
? ? ?
Smythe smyth Smythe
and and and
Norris norri Norris
and and and
the the the
bunch bunch bunch
were were be
honoured honour honour
purely pure purely
because becaus because
they they they
were were be
powerful power powerful
owners owner owner
. . .
As as As
owners owner owner
they they they
certainly certain certainly
did did do
help help help
to to to
build build build
the the the
league leagu league
but but but
whether whether whether
they they they
developed develop develop
the the the
game game game
is is be
another anoth another
question question question
altogether altogeth altogether
. . .
Are are Are
we we we
going go go
to to to
honour honour honour
those those those
who who who
contributed contribut contribute
to to to
the the the
league leagu league
' ' '
s s s
evolution evolut evolution
or or or
are are be
we we we
going go go
to to to
honour honour honour
those those those
who who who
contributed contribut contribute
to to to
the the the
glory glori glory
of of of
the the the
sport sport sport
itself itself itself
? ? ?
> > >
I i I
agree agre agree
that that that
a a a
name name name
is is be
a a a
name name name
is is be
a a a
name name name
, , ,
and and and
if if if
some some some
people peopl people
> > >
have have have
trouble troubl trouble
with with with
names name name
that that that
are are be
not not not
easily easili easily
processed process process
by by by
the the the
fans fan fan
, , ,
> > >
then then then
changing chang change
them them them
to to to
names name name
that that that
are are be
more more more
easily easili easily
processed process process
seems seem seem
like like like
> > >
a a a
reasonable reason reasonable
idea idea idea
. . .
If if If
we we we
can can can
get get get
people peopl people
in in in
the the the
( ( (
arena arena arena
) ) )
door door door
by by by
being be be
> > >
uncomplicated uncompl uncomplicated
, , ,
then then then
let let let
' ' '
s s s
do do do
so so so
. . .
Once onc Once
we we we
have have have
them them them
, , ,
they they they
will will will
realize realiz realize
> > >
what what what
a a a
great great great
game game game
hockey hockey hockey
is is be
, , ,
and and and
we we we
can can can
then then then
teach teach teach
them them them
something someth something
> > >
abotu abotu abotu
the the the
history histori history
of of of
the the the
game game game
. . .
I i I
can can can
' ' '
t t t
disagree disagre disagree
with with with
you you you
here here here
. . .
> > >
> > >
The the The
history histori history
of of of
the the the
names name name
can can can
be be be
put put put
rather rather rather
succinctly succinct succinctly
. . .
All all All
of of of
the the the
aforemen aforemen aforemen
- - -
> > >
> > >
tioned tion tioned
used use use
the the the
game game game
of of of
hockey hockey hockey
to to to
make make make
money money money
. . .
Can can Can
you you you
imagine imagin imagine
a a a
Pocklington pocklington Pocklington
> > >
> > >
division divis division
? ? ?
A a A
Ballard ballard Ballard
division divis division
? ? ?
Or or Or
how how how
about about about
a a a
Green green Green
division divis division
? ? ?
> > >
No no No
, , ,
I i I
would would would
not not not
want want want
to to to
see see see
a a a
Ballard ballard Ballard
division divis division
. . .
But but But
to to to
say say say
> > >
that that that
these these these
owners owner owner
are are be
assholes asshol asshole
, , ,
hence henc hence
all all all
NHL nhl NHL
management manag management
people peopl people
are are be
> > >
assholes asshol asshole
would would would
be be be
fallacious fallaci fallacious
. . .
Conn conn Conn
Smythe smyth Smythe
, , ,
for for for
example exampl example
, , ,
was was be
a a a
classy classi classy
> > >
individual individu individual
( ( (
from from from
what what what
I i I
have have have
heard heard hear
) ) )
. . .
What what What
have have have
you you you
heard heard hear
? ? ?
The the The
Major major Major
was was be
the the the
* * *
definitive definit definitive
* * *
little littl little
asshole asshol asshole
! ! !
He he He
originated origin originate
the the the
phrase phrase phrase
" " "
if if if
you you you
can can can
' ' '
t t t
beat beat beat
' ' '
em em em
in in in
the the the
alley alley alley
you you you
can can can
' ' '
t t t
beat beat beat
' ' '
em em em
on on on
the the the
ice ice ice
. . .
" " "
That that That
was was be
his his his
idea idea idea
of of of
hockey hockey hockey
. . .
Do do Do
you you you
think think think
, , ,
by by by
chance chanc chance
, , ,
that that that
Don don Don
Cherry cherri Cherry
is is be
a a a
classy classi classy
individual individu individual
? ? ?
> > >
Also also Also
, , ,
isn isn isn
' ' '
t t t
the the the
point point point
of of of
" " "
professional profession professional
" " "
hockey hockey hockey
to to to
make make make
money money money
> > >
for for for
all all all
those those those
involved involv involve
, , ,
which which which
would would would
include includ include
the the the
players player player
. . .
What what What
I i I
think think think
> > >
you you you
might might might
be be be
saying say say
is is be
that that that
the the the
players player player
have have have
not not not
made made make
as as a
much much much
money money money
as as a
> > >
should should should
have have have
been been be
their their their
due due due
, , ,
and and and
it it it
is is be
the the the
players player player
that that that
are are be
what what what
make make make
> > >
the the the
game game game
great great great
not not not
the the the
people peopl people
who who who
put put put
them them them
on on on
the the the
ice ice ice
, , ,
so so so
naming name naming
> > >
division divis division
after after after
management manag management
people peopl people
rather rather rather
than than than
players player player
is is be
adding ad add
insult insult insult
> > >
( ( (
in in in
the the the
form form form
of of of
lesser lesser less
recognition recognit recognition
) ) )
to to to
injury injuri injury
( ( (
less less less
money money money
than than than
was was be
> > >
deserved deserv deserve
) ) )
. . .
The the The
money money money
issue issu issue
is is be
irrelevant irrelev irrelevant
to to to
the the the
point point point
that that that
we we we
would would would
agree agre agree
on on on
, , ,
and and and
that that that
is is be
: : :
" " "
it it it
is is be
the the the
players player player
that that that
are are be
what what what
make make make
the the the
game game game
great great great
and and and
not not not
the the the
people peopl people
who who who
put put put
them them them
on on on
