From from From
: : :
amanda amanda amanda
@ @ @
intercon intercon intercon
. . .
com com com
( ( (
Amanda amanda Amanda
Walker walker Walker
) ) )
Subject subject Subject
: : :
Re re Re
: : :
text text text
of of of
White white White
House hous House
announcement announc announcement
and and and
Q q Q
& & &
As as As
on on on
clipper clipper clipper
chip chip chip
encryption encrypt encryption
Organization organ Organization
: : :
InterCon intercon InterCon
Systems system Systems
Corporation corpor Corporation
- - -
Herndon herndon Herndon
, , ,
VA va VA
USA usa USA
Lines line Lines
: : :
12 12 12
Distribution distribut Distribution
: : :
world world world
Reply repli Reply
- - -
To to To
: : :
amanda amanda amanda
@ @ @
intercon intercon intercon
. . .
com com com
( ( (
Amanda amanda Amanda
Walker walker Walker
) ) )
NNTP nntp NNTP
- - -
Posting post Posting
- - -
Host host Host
: : :
chaos chao chaos
. . .
intercon intercon intercon
. . .
com com com
X x X
- - -
Newsreader newsread Newsreader
: : :
InterCon intercon InterCon
TCP tcp TCP
/ / /
Connect connect Connect
II ii II
1 1 1
. . .
1 1 1
rlward rlward rlward
1 1 1
@ @ @
afterlife afterlif afterlife
. . .
ncsc ncsc ncsc
. . .
mil mil mil
( ( (
Robert robert Robert
Ward ward Ward
) ) )
writes write write
: : :
> > >
It it It
refers refer refer
to to to
the the the
right right right
of of of
the the the
people peopl people
to to to
organize organ organize
a a a
militia militia militia
, , ,
not not not
for for for
> > >
individuals individu individual
to to to
carry carri carry
handguns handgun handgun
, , ,
grenades grenad grenade
, , ,
and and and
assault assault assault
rifles rifl rifle
. . .
False fals False
, , ,
as as a
federal feder federal
courts court court
have have have
affirmed affirm affirm
on on on
many mani many
occasions occas occasion
. . .
This this This
is is be
getting get get
out out out
of of of
sci sci sci
. . .
crypt crypt crypt
territory territori territory
, , ,
though though though
. . .
. . .
. . .
Amanda amanda Amanda
Walker walker Walker
InterCon intercon InterCon
Systems system Systems
Corporation corpor Corporation
