Subject subject Subject
: : :
Re re Re
: : :
Once onc Once
tapped tap tap
, , ,
your your your
code code code
is is be
no no no
good good good
any ani any
more more more
. . .
From from From
: : :
a a a
_ _ _
rubin rubin rubin
@ @ @
dsg dsg dsg
4 4 4
. . .
dse dse dse
. . .
beckman beckman beckman
. . .
com com com
( ( (
Arthur arthur Arthur
Rubin rubin Rubin
) ) )
< < <
a a a
_ _ _
rubin rubin rubin
. . .
735242424 735242424 735242424
@ @ @
dsg dsg dsg
4 4 4
. . .
dse dse dse
. . .
beckman beckman beckman
. . .
com com com
> > >
< < <
1993 1993 1993
Apr apr Apr
20 20 20
. . .
151718 151718 151718
. . .
2576 2576 2576
@ @ @
magnus magnus magnus
. . .
acs ac ac
. . .
ohio ohio ohio
- - -
state state state
. . .
edu edu edu
> > >
Distribution distribut Distribution
: : :
na na na
Organization organ Organization
: : :
Beckman beckman Beckman
Instruments instrument Instruments
, , ,
Inc inc Inc
. . .
Nntp nntp Nntp
- - -
Posting post Posting
- - -
Host host Host
: : :
dsg dsg dsg
4 4 4
. . .
dse dse dse
. . .
beckman beckman beckman
. . .
com com com
Lines line Lines
: : :
15 15 15
In in In
< < <
1993 1993 1993
Apr apr Apr
20 20 20
. . .
151718 151718 151718
. . .
2576 2576 2576
@ @ @
magnus magnus magnus
. . .
acs ac ac
. . .
ohio ohio ohio
- - -
state state state
. . .
edu edu edu
> > >
jebright jebright jebright
@ @ @
magnus magnus magnus
. . .
acs ac ac
. . .
ohio ohio ohio
- - -
state state state
. . .
edu edu edu
( ( (
James jame James
R r R
Ebright ebright Ebright
) ) )
writes write write
: : :
> > >
In in In
article articl article
a a a
_ _ _
rubin rubin rubin
@ @ @
dsg dsg dsg
4 4 4
. . .
dse dse dse
. . .
beckman beckman beckman
. . .
com com com
( ( (
Arthur arthur Arthur
Rubin rubin Rubin
) ) )
writes write write
: : :
> > >
> > >
I i I
wouldn wouldn wouldn
' ' '
t t t
trust trust trust
the the the
NSA nsa NSA
. . .
I i I
think think think
I i I
would would would
trust trust trust
the the the
President presid President
on on on
this this this
, , ,
but but but
> > >
> > >
I i I
' ' '
m m m
not not not
certain certain certain
he he he
would would would
be be be
told told tell
. . .
> > >
" " "
I i I
am am be
not not not
a a a
crook crook crook
. . .
" " "
President presid President
Richard richard Richard
M m M
. . .
Nixon nixon Nixon
> > >
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
THIS this THIS
President presid President
. . .
( ( (
And and And
I i I
could could could
easily easili easily
be be be
wrong wrong wrong
. . .
) ) )
- - -
- - -
Arthur arthur Arthur
L l L
. . .
Rubin rubin Rubin
: : :
a a a
_ _ _
rubin rubin rubin
@ @ @
dsg dsg dsg
4 4 4
. . .
dse dse dse
. . .
beckman beckman beckman
. . .
com com com
( ( (
work work work
) ) )
Beckman beckman Beckman
Instruments instrument Instruments
/ / /
Brea brea Brea
216 216 216
- - -
5888 5888 5888
@ @ @
mcimail mcimail mcimail
. . .
com com com
70707 70707 70707
. . .
453 453 453
@ @ @
compuserve compuserv compuserve
. . .
com com com
arthur arthur arthur
@ @ @
pnet pnet pnet
01 01 01
. . .
cts cts ct
. . .
com com com
( ( (
personal person personal
) ) )
My my My
opinions opinion opinion
are are be
my my my
own own own
, , ,
and and and
do do do
not not not
represent repres represent
those those those
of of of
my my my
employer employ employer
. . .
