From from From
: : :
wcs wcs wcs
@ @ @
anchor anchor anchor
. . .
ho ho ho
. . .
att att att
. . .
com com com
( ( (
Bill bill Bill
Stewart stewart Stewart
+ + +
1 1 1
- - -
908 908 908
- - -
949 949 949
- - -
0705 0705 0705
) ) )
Subject subject Subject
: : :
Re re Re
: : :
THE the THE
CLIPPER clipper CLIPPER
CHIP chip CHIP
: : :
A a A
TECHNICAL technic TECHNICAL
SUMMARY summari SUMMARY
Organization organ Organization
: : :
Brought brought Brought
to to to
you you you
by by by
the the the
numbers number number
2 2 2
, , ,
3 3 3
, , ,
and and and
7 7 7
In in In
- - -
Reply repli Reply
- - -
To to To
: : :
denning den denning
@ @ @
guvax guvax guvax
. . .
acc acc acc
. . .
georgetown georgetown georgetown
. . .
edu edu edu
' ' '
s s s
message messag message
of of of
19 19 19
Apr apr Apr
93 93 93
18 18 18
: : :
23 23 23
: : :
27 27 27
- - -
0400 0400 0400
Nntp nntp Nntp
- - -
Posting post Posting
- - -
Host host Host
: : :
rainier rainier rainier
. . .
ho ho ho
. . .
att att att
. . .
com com com
Lines line Lines
: : :
62 62 62
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
19 19 19
. . .
182327 182327 182327
. . .
3420 3420 3420
@ @ @
guvax guvax guvax
. . .
acc acc acc
. . .
georgetown georgetown georgetown
. . .
edu edu edu
> > >
denning den denning
@ @ @
guvax guvax guvax
. . .
acc acc acc
. . .
georgetown georgetown georgetown
. . .
edu edu edu
writes write write
: : :
[ [ [
Prof prof Prof
. . .
Denning den Denning
' ' '
s s s
description descript description
of of of
SkipJack skipjack SkipJack
mostly most mostly
omitted omit omit
] ] ]
CHIP chip CHIP
STRUCTURE structur STRUCTURE
The the The
Clipper clipper Clipper
Chip chip Chip
contains contain contain
a a a
classified classifi classified
64 64 64
- - -
bit bit bit
block block block
encryption encrypt encryption
algorithm algorithm algorithm
called call call
" " "
Skipjack skipjack Skipjack
. . .
" " "
The the The
algorithm algorithm algorithm
uses use use
80 80 80
bit bit bit
keys key key
( ( (
compared compar compare
with with with
56 56 56
for for for
the the the
DES des DES
) ) )
and and and
has has have
32 32 32
rounds round round
of of of
scrambling scrambl scramble
( ( (
compared compar compare
with with with
16 16 16
for for for
the the the
DES des DES
) ) )
. . .
It it It
supports support support
all all all
4 4 4
DES des DES
modes mode mode
of of of
operation oper operation
. . .
Throughput throughput Throughput
is is be
16 16 16
Mbits mbit Mbits
a a a
second second second
. . .
[ [ [
. . .
. . .
. . .
] ] ]
F f F
, , ,
an an an
80 80 80
- - -
bit bit bit
family famili family
key key key
that that that
is is be
common common common
to to to
all all all
chips chip chip
N n N
, , ,
a a a
