From from From
: : :
Wayne wayn Wayne
Alan alan Alan
Martin martin Martin
< < <
wm wm wm
1 1 1
h h h
+ + +
@ @ @
andrew andrew andrew
. . .
cmu cmu cmu
. . .
edu edu edu
> > >
Subject subject Subject
: : :
Re re Re
: : :
What what What
do do do
Nuclear nuclear Nuclear
Site site Site
' ' '
s s s
Cooling cool Cooling
Towers tower Towers
do do do
? ? ?
Organization organ Organization
: : :
Senior senior Senior
, , ,
Electrical electr Electrical
and and and
Computer comput Computer
Engineering engin Engineering
, , ,
Carnegie carnegi Carnegie
Mellon mellon Mellon
, , ,
Pittsburgh pittsburgh Pittsburgh
, , ,
PA pa PA
Lines line Lines
: : :
60 60 60
Distribution distribut Distribution
: : :
world world world
NNTP nntp NNTP
- - -
Posting post Posting
- - -
Host host Host
: : :
po po po
2 2 2
. . .
andrew andrew andrew
. . .
cmu cmu cmu
. . .
edu edu edu
In in In
- - -
Reply repli Reply
- - -
To to To
: : :
< < <
79694 79694 79694
@ @ @
cup cup cup
. . .
portal portal portal
. . .
com com com
> > >
Excerpts excerpt Excerpts
from from from
netnews netnew netnews
. . .
sci sci sci
. . .
electronics electron electronics
: : :
16 16 16
- - -
Apr apr Apr
- - -
93 93 93
Re re Re
: : :
What what What
do do do
Nuclear nuclear Nuclear
Site site Site
' ' '
s s s
. . .
. . .
by by by
R r R
_ _ _
Tim tim Tim
_ _ _
Coslet coslet Coslet
@ @ @
cup cup cup
. . .
portal portal portal
. . .
> > >
From from From
: : :
R r R
_ _ _
Tim tim Tim
_ _ _
Coslet coslet Coslet
@ @ @
cup cup cup
. . .
portal portal portal
. . .
com com com
> > >
Subject subject Subject
: : :
Re re Re
: : :
What what What
do do do
Nuclear nuclear Nuclear
Site site Site
' ' '
s s s
Cooling cool Cooling
Towers tower Towers
do do do
? ? ?
> > >
Date date Date
: : :
Fri fri Fri
, , ,
16 16 16
Apr apr Apr
93 93 93
21 21 21
: : :
27 27 27
: : :
21 21 21
PDT pdt PDT
> > >
> > >
In in In
article articl article
: : :
< < <
1 1 1
qlg qlg qlg
9 9 9
o o o
$ $ $
d d d
7 7 7
q q q
@ @ @
