From from From
: : :
johnh johnh johnh
@ @ @
macadam macadam macadam
. . .
mpce mpce mpce
. . .
mq mq mq
. . .
edu edu edu
. . .
au au au
( ( (
John john John
Haddy haddi Haddy
) ) )
Subject subject Subject
: : :
Re re Re
: : :
Help help Help
wanted want want
Organization organ Organization
: : :
Macquarie macquari Macquarie
University univers University
Lines line Lines
: : :
54 54 54
Distribution distribut Distribution
: : :
world world world
NNTP nntp NNTP
- - -
Posting post Posting
- - -
Host host Host
: : :
macadam macadam macadam
. . .
mpce mpce mpce
. . .
mq mq mq
. . .
edu edu edu
. . .
au au au
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
20 20 20
. . .
071549 071549 071549
. . .
24839 24839 24839
@ @ @
csc csc csc
. . .
canberra canberra canberra
. . .
edu edu edu
. . .
au au au
> > >
, , ,
u u u
934132 934132 934132
@ @ @
student student student
. . .
canberra canberra canberra
. . .
edu edu edu
. . .
au au au
( ( (
Ogawa ogawa Ogawa
/ / /
Taro taro Taro
Stephen stephen Stephen
( ( (
ISE ise ISE
) ) )
) ) )
writes write write
: : :
| | |
> > >
Could could Could
someone someon someone
please pleas please
tell tell tell
me me me
if if if
a a a
1 1 1
/ / /
4 4 4
decoder decod decoder
is is be
the the the
same same same
as as a
a a a
1 1 1
to to to
4 4 4
| | |
> > >
demultiplexer demultiplex demultiplexer
. . .
I i I
know know know
how how how
to to to
link link link
2 2 2
of of of
these these these
to to to
get get get
an an an
8 8 8
output output output
circuit circuit circuit
, , ,
| | |
> > >
but but but
how how how
do do do
I i I
link link link
5 5 5
of of of
these these these
to to to
make make make
a a a
1 1 1
/ / /
16 16 16
multiplexer multiplex multiplexer
. . .
Sorry sorri Sorry
if if if
this this this
| | |
> > >
seems seem seem
like like like
a a a
lame lame lame
question question question
, , ,
but but but
I i I
' ' '
m m m
only onli only
a a a
newbie newbi newbie
to to to
electronics electron electronics
, , ,
and and and
I i I
| | |
> > >
have have have
to to to
do do do
this this this
circuit circuit circuit
. . .
Please pleas Please
make make make
any ani any
mail mail mail
as as as
droolproof droolproof droolproof
as as a
possible possibl possible
. . .
| | |
> > >
| | |
> > >
