Subject subject Subject
: : :
Teenage teenag Teenage
acne acn acne
From from From
: : :
pchurch pchurch pchurch
@ @ @
swell swell swell
. . .
actrix actrix actrix
. . .
gen gen gen
. . .
nz nz nz
( ( (
Pat pat Pat
Churchill churchil Churchill
) ) )
Organization organ Organization
: : :
Actrix actrix Actrix
Networks network Networks
Lines line Lines
: : :
26 26 26
My my My
14 14 14
- - -
y y y
- - -
o o o
son son son
has has have
the the the
usual usual usual
teenage teenag teenage
spotty spotti spotty
chin chin chin
and and and
greasy greasi greasy
nose nose nose
. . .
I i I
bought bought buy
him him him
Clearasil clearasil Clearasil
face face face
wash wash wash
and and and
ointment ointment ointment
. . .
I i I
think think think
that that that
is is be
probably probabl probably
enough enough enough
, , ,
along along along
with with with
the the the
usual usual usual
good good good
diet diet diet
. . .
However howev However
, , ,
he he he
is is be
on on on
at at at
me me me
to to to
get get get
some some some
product product product
called call call
Dalacin dalacin Dalacin
T t T
, , ,
which which which
used use use
to to to
be be be
a a a
doctor doctor doctor
' ' '
s s s
- - -
prescription prescript prescription
only onli only
treatment treatment treatment
but but but
is is be
not not not
available avail available
over over over
the the the
chemist chemist chemist
' ' '
s s s
counter counter counter
. . .
I i I
have have have
asked ask ask
a a a
couple coupl couple
of of of
pharmacists pharmacist pharmacist
who who who
say say say
either either either
his his his
acne acn acne
is is be
not not not
severe sever severe
enough enough enough
for for for
Dalacin dalacin Dalacin
T t T
, , ,
or or or
that that that
Clearasil clearasil Clearasil
is is be
OK ok OK
. . .
I i I
had had have
the the the
odd odd odd
spots spot spot
as as a
a a a
teenager teenag teenager
, , ,
nothing noth nothing
serious serious serious
. . .
His his His
father father father
was was be
the the the
same same same
, , ,
so so so
I i I
don don don
' ' '
t t t
figure figur figure
his his his
acne acn acne
is is be
going go go
to to to
escalate escal escalate
into into into
something someth something
disfiguring disfigur disfiguring
. . .
But but But
I i I
know know know
kids kid kid
are are be
senstitive senstit senstitive
about about about
their their their
appearance appear appearance
. . .
I i I
am am be
wary wari wary
because becaus because
a a a
neighbour neighbour neighbour
' ' '
s s s
son son son
had had have
this this this
wierd wierd wierd
malady maladi malady
that that that
was was be
eventually eventu eventually
put put put
down down down
to to to
an an an
overdose overdos overdose
of of of
vitamin vitamin vitamin
A a A
from from from
acne acn acne
treatment treatment treatment
. . .
I i I
want want want
to to to
help help help
- - -
but but but
with with with
appropriate appropri appropriate
treatment treatment treatment
. . .
My my My
son son son
also also also
has has have
some some some
scaliness scali scaliness
around around around
the the the
hairline hairlin hairline
on on on
his his his
scalp scalp scalp
. . .
Sort sort Sort
of of of
teenage teenag teenage
cradle cradl cradle
cap cap cap
. . .
Any ani Any
pointers pointer pointer
/ / /
advice advic advice
on on on
this this this
? ? ?
We we We
have have have
tried tri try
a a a
couple coupl couple
of of of
anti anti anti
dandruff dandruff dandruff
shampoos shampoo shampoo
and and and
some some some
of of of
these these these
are are be
inclined inclin inclined
to to to
make make make
the the the
condition condit condition
worse wors worse
, , ,
not not not
better better well
. . .
Shall shall Shall
I i I
bury buri bury
the the the
kid kid kid
till till till
he he he
' ' '
s s s
21 21 21
: : :
) ) )
- - -
- - -
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
^ ^ ^
The the The
floggings flog flogging
will will will
continue continu continue
until until until
morale moral morale
improves improv improves
pchurch pchurch pchurch
@ @ @
swell swell swell
. . .
actrix actrix actrix
. . .
gen gen gen
. . .
nz nz nz
Pat pat Pat
Churchill churchil Churchill
, , ,
Wellington wellington Wellington
New new New
Zealand zealand Zealand
