From from From
: : :
Mark mark Mark
- - -
Tarbell tarbel Tarbell
@ @ @
suite suit suite
. . .
com com com
Subject subject Subject
: : :
Amniocentesis amniocentesi Amniocentesis
, , ,
et et et
. . .
al al al
. . .
Organization organ Organization
: : :
Suite suit Suite
Software softwar Software
Lines line Lines
: : :
7 7 7
Reply repli Reply
- - -
To to To
: : :
suite suit suite
! ! !
tarbell tarbel tarbell
@ @ @
uunet uunet uunet
. . .
uu uu uu
. . .
net net net
NNTP nntp NNTP
- - -
Posting post Posting
- - -
Host host Host
: : :
gilgamesh gilgamesh gilgamesh
. . .
suite suit suite
. . .
com com com
Is is Is
there there there
some some some
difference differ difference
between between between
the the the
purposes purpos purpose
behind behind behind
amniocentesis amniocentesi amniocentesis
and and and
chorionic chorion chorionic
villi villi villus
sampling sampl sample
? ? ?
They they They
sound sound sound
similar similar similar
to to to
me me me
, , ,
but but but
are are be
intended intend intend
to to to
detect detect detect
different differ different
things thing thing
? ? ?
Thanks thank Thanks
. . .
  
