From from From
: : :
sbrenner sbrenner sbrenner
@ @ @
cbnewsb cbnewsb cbnewsb
. . .
cb cb cb
. . .
att att att
. . .
com com com
( ( (
scott scott scott
. . .
d d d
. . .
brenner brenner brenner
) ) )
Subject subject Subject
: : :
What what What
' ' '
s s s
the the the
Difference differ Difference
Between between Between
an an an
M m M
. . .
D d D
. . .
and and and
a a a
D d D
. . .
O o O
. . .
? ? ?
Organization organ Organization
: : :
AT at AT
& & &
T t T
Distribution distribut Distribution
: : :
usa usa usa
Lines line Lines
: : :
30 30 30
My my My
wife wife wife
and and and
I i I
are are be
in in in
the the the
process process process
of of of
selecting select select
a a a
pediatrician pediatrician pediatrician
for for for
our our our
first first first
child child child
( ( (
due due due
June june June
15 15 15
th th th
) ) )
. . .
We we We
interviewed interview interview
a a a
young young young
doctor doctor doctor
last last last
week week week
and and and
were were be
very veri very
impressed impress impressed
with with with
her her her
. . .
However howev However
, , ,
I i I
discovered discov discover
that that that
she she she
is is be
actually actual actually
not not not
an an an
Medical medic Medical
Doctor doctor Doctor
( ( (
M m M
. . .
D d D
. . .
) ) )
but but but
rather rather rather
a a a
" " "
Doctor doctor Doctor
of of of
Osteopathy osteopathi Osteopathy
" " "
( ( (
D d D
. . .
O o O
. . .
) ) )
. . .
What what What
' ' '
s s s
the the the
difference differ difference
? ? ?
I i I
believe believ believe
the the the
pediatrician pediatrician pediatrician
* * *
I i I
* * *
went went go
to to to
for for for
many mani many
years year year
was was be
a a a
D d D
. . .
O o O
. . .
and and and
he he he
didn didn didn
' ' '
t t t
seem seem seem
different differ different
from from from
any ani any
other other other
doctor doctor doctor
I i I
' ' '
ve ve ve
seen seen see
over over over
the the the
years year year
. . .
My my My
dictionary dictionari dictionary
says say say
that that that
osteopathy osteopathi osteopathy
is is be
" " "
a a a
medical medic medical
therapy therapi therapy
that that that
emphasizes emphas emphasize
manipulative manipul manipulative
techniques techniqu technique
for for for
correcting correct correct
somatic somat somatic
abnormalities abnorm abnormality
thought thought think
to to to
cause caus cause
disease diseas disease
and and and
inhibit inhibit inhibit
recovery recoveri recovery
. . .
" " "
Jeez jeez Jeez
, , ,
this this this
sounds sound sound
like like like
chiropractic chiropract chiropractic
. . .
I i I
remember rememb remember
getting get get
shots shot shot
and and and
medicine medicin medicine
from from from
* * *
my my my
* * *
pediatrician pediatrician pediatrician
D d D
. . .
O o O
. . .
, , ,
and and and
don don don
' ' '
t t t
remember rememb remember
any ani any
" " "
manipulative manipul manipulative
techniques techniqu technique
" " "
. . .
Perhaps perhap Perhaps
someone someon someone
could could could
enlighten enlighten enlighten
me me me
as as a
to to to
the the the
real real real
, , ,
practical practic practical
difference differ difference
between between between
an an an
M m M
. . .
D d D
. . .
and and and
a a a
D d D
. . .
O o O
. . .
Also also Also
, , ,
I i I
' ' '
m m m
interesting interest interesting
in in in
hearing hear hear
any ani any
opinions opinion opinion
on on on
choosing choos choose
a a a
pediatrician pediatrician pediatrician
who who who
follows follow follow
one one one
or or or
the the the
other other other
medical medic medical
philosophy philosophi philosophy
. . .
Readers reader Readers
of of of
sci sci sci
. . .
med med med
: : :
Please pleas Please
respond respond respond
directly direct directly
to to to
sbrenner sbrenner sbrenner
@ @ @
attmail attmail attmail
. . .
com com com
; ; ;
I i I
do do do
not not not
read read read
this this this
group group group
regularly regular regularly
and and and
probably probabl probably
won won win
' ' '
t t t
see see see
your your your
response respons response
if if if
you you you
just just just
post post post
it it it
here here here
. . .
Sorry sorri Sorry
for for for
the the the
cross cross cross
- - -
posting post posting
, , ,
but but but
I i I
' ' '
m m m
hoping hope hop
there there there
' ' '
s s s
some some some
expertise expertis expertise
here here here
. . .
a a a
T t T
d d d
H h H
v v v
A a A
a a a
N n N
n n n
K k K
c c c
S s S
e e e
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
Scott scott Scott
D d D
. . .
Brenner brenner Brenner
AT at AT
& & &
T t T
Consumer consum Consumer
Communications communic Communications
Services servic Services
sbrenner sbrenner sbrenner
@ @ @
attmail attmail attmail
. . .
com com com
Basking bask Basking
Ridge ridg Ridge
, , ,
New new New
Jersey jersey Jersey
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
~ ~ ~
