Subject subject Subject
: : :
Space space Space
FAQ faq FAQ
02 02 02
/ / /
15 15 15
- - -
Network network Network
Resources resourc Resources
From from From
: : :
leech leech leech
@ @ @
cs cs c
. . .
unc unc unc
. . .
edu edu edu
( ( (
Jon jon Jon
Leech leech Leech
) ) )
Expires expir Expires
: : :
6 6 6
May may May
1993 1993 1993
19 19 19
: : :
54 54 54
: : :
26 26 26
GMT gmt GMT
Organization organ Organization
: : :
University univers University
of of of
North north North
Carolina carolina Carolina
, , ,
Chapel chapel Chapel
Hill hill Hill
Keywords keyword Keywords
: : :
Frequently frequent Frequently
Asked ask Asked
Questions question Questions
Supersedes supersed Supersedes
: : :
< < <
net net net
_ _ _
730956391 730956391 730956391
@ @ @
cs cs c
. . .
unc unc unc
. . .
edu edu edu
> > >
NNTP nntp NNTP
- - -
Posting post Posting
- - -
Host host Host
: : :
mahler mahler mahler
. . .
cs cs c
. . .
unc unc unc
. . .
edu edu edu
Lines line Lines
: : :
241 241 241
Archive archiv Archive
- - -
name name name
: : :
space space space
/ / /
net net net
Last last Last
- - -
modified modifi modify
: : :
$ $ $
Date date Date
: : :
93 93 93
/ / /
04 04 04
/ / /
01 01 01
14 14 14
: : :
39 39 39
: : :
15 15 15
$ $ $
NETWORK network NETWORK
RESOURCES resourc RESOURCES
OVERVIEW overview OVERVIEW
You you You
may may may
be be be
reading read read
this this this
document document document
on on on
any ani any
one one one
of of of
an an an
amazing amaz amazing
variety varieti variety
of of of
computers comput computer
, , ,
so so so
much much much
of of of
the the the
material materi material
below below below
may may may
not not not
apply appli apply
to to to
you you you
. . .
In in In
general general general
, , ,
however howev however
, , ,
systems system system
connected connect connect
to to to
' ' '
the the the
net net net
' ' '
fall fall fall
in in in
one one one
of of of
three three three
categories categori category
: : :
Internet internet Internet
, , ,
Usenet usenet Usenet
, , ,
or or or
BITNET bitnet BITNET
. . .
Electronic electron Electronic
mail mail mail
may may may
be be be
sent sent send
between between between
these these these
networks network network
, , ,
and and and
other other other
resources resourc resource
available avail available
on on on
one one one
of of of
these these these
networks network network
are are be
sometimes sometim sometimes
accessible access accessible
from from from
other other other
networks network network
by by by
email email email
sent sent sent
to to to
special special special
' ' '
servers server server
' ' '
. . .
The the The
space space space
and and and
astronomy astronomi astronomy
discussion discuss discussion
groups group group
actually actual actually
are are be
composed compos compose
of of of
several sever several
mechanisms mechan mechanism
with with with
( ( (
mostly most mostly
) ) )
transparent transpar transparent
connections connect connection
between between between
them them them
. . .
One one One
mechanism mechan mechanism
is is be
the the the
mailing mail mailing
list list list
, , ,
in in in
which which which
mail mail mail
is is be
sent sent send
to to to
a a a
central central central
distribution distribut distribution
point point point
which which which
relays relay relay
it it it
to to to
all all all
recipients recipi recipient
of of of
the the the
list list list
. . .
In in In
addition addit addition
to to to
the the the
general general general
lists list list
for for for
space space space
( ( (
called call call
SPACE space SPACE
Digest digest Digest
for for for
Internet internet Internet
users user user
, , ,
and and and
SPACE space SPACE
on on on
BITNET bitnet BITNET
) ) )
, , ,
there there there
are are be
a a a
number number number
of of of
more more more
specialized special specialized
mailing mail mailing
lists list list
described describ describe
below below below
. . .
A a A
second second second
mechanism mechan mechanism
is is be
Usenet usenet Usenet
' ' '
netnews netnew netnews
' ' '
. . .
This this This
is is be
somewhat somewhat somewhat
like like like
a a a
bulletin bulletin bulletin
board board board
operating oper operate
on on on
each each each
system system system
which which which
is is be
a a a
part part part
of of of
the the the
net net net
. . .
Netnews netnew Netnews
separates separ separate
contributions contribut contribution
into into into
hundreds hundr hundred
of of of
different differ different
categories categori category
based base base
on on on
a a a
' ' '
group group group
name name name
' ' '
. . .
The the The
groups group group
dealing deal deal
most most most
closely close closely
with with with
space space space
topics topic topic
are are be
called call call
' ' '
sci sci sci
. . .
space space space
. . .
news news news
' ' '
, , ,
' ' '
sci sci sci
. . .
space space space
' ' '
, , ,
' ' '
sci sci sci
. . .
space space space
. . .
shuttle shuttl shuttle
' ' '
, , ,
' ' '
sci sci sci
. . .
astro astro astro
' ' '
, , ,
and and and
' ' '
talk talk talk
. . .
politics polit politics
. . .
space space space
' ' '
. . .
Contributors contributor Contributors
' ' '
post post post
' ' '
submissions submiss submission
( ( (
called call call
' ' '
articles articl article
' ' '
in in in
netnews netnew netnews
terminology terminolog terminology
) ) )
on on on
their their their
local local local
machine machin machine
, , ,
which which which
sends send send
it it it
to to to
other other other
nearby nearbi nearby
machines machin machine
. . .
Similarly similar Similarly
, , ,
articles articl article
sent sent send
from from from
nearby nearbi nearby
machines machin machine
are are be
stored store store
locally local locally
and and and
may may may
be be be
forwarded forward forward
to to to
