Organization organ Organization
: : :
Queen queen Queen
' ' '
s s s
University univers University
at at at
Kingston kingston Kingston
From from From
: : :
Graydon graydon Graydon
< < <
SAUNDRSG saundrsg SAUNDRSG
@ @ @
QUCDN qucdn QUCDN
. . .
QueensU queensu QueensU
. . .
CA ca CA
> > >
Subject subject Subject
: : :
Re re Re
: : :
What what What
if if if
the the the
USSR ussr USSR
had had have
reached reach reach
the the the
Moon moon Moon
first first first
? ? ?
< < <
dxb dxb dxb
105 105 105
. . .
734155421 734155421 734155421
@ @ @
aries ari aries
> > >
< < <
1993 1993 1993
Apr apr Apr
7 7 7
. . .
124724 124724 124724
. . .
22534 22534 22534
@ @ @
yang yang yang
. . .
earlham earlham earlham
. . .
edu edu edu
> > >
< < <
dxb dxb dxb
105 105 105
. . .
734495289 734495289 734495289
@ @ @
virgo virgo virgo
> > >
< < <
1993 1993 1993
Apr apr Apr
12 12 12
. . .
161742 161742 161742
. . .
22647 22647 22647
@ @ @
yang yang yang
. . .
earlham earlham earlham
. . .
edu edu edu
> > >
< < <
93107 93107 93107
. . .
144339 144339 144339
SAUNDRSG saundrsg SAUNDRSG
@ @ @
QUCDN qucdn QUCDN
. . .
QueensU queensu QueensU
. . .
CA ca CA
> > >
< < <
1993 1993 1993
Apr apr Apr
18 18 18
. . .
091051 091051 091051
. . .
14496 14496 14496
@ @ @
ke ke ke
4 4 4
zv zv zv
. . .
uucp uucp uucp
> > >
Lines line Lines
: : :
38 38 38
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
18 18 18
. . .
091051 091051 091051
. . .
14496 14496 14496
@ @ @
ke ke ke
4 4 4
zv zv zv
. . .
uucp uucp uucp
> > >
, , ,
gary gari gary
@ @ @
ke ke ke
4 4 4
zv zv zv
. . .
uucp uucp uucp
( ( (
Gary gari Gary
Coffman coffman Coffman
) ) )
says say say
: : :
> > >
In in In
article articl article
< < <
93107 93107 93107
. . .
144339 144339 144339
SAUNDRSG saundrsg SAUNDRSG
@ @ @
QUCDN qucdn QUCDN
. . .
QueensU queensu QueensU
. . .
CA ca CA
> > >
Graydon graydon Graydon
> > >
< < <
SAUNDRSG saundrsg SAUNDRSG
@ @ @
QUCDN qucdn QUCDN
. . .
QueensU queensu QueensU
. . .
CA ca CA
> > >
writes write writes
: : :
> > >
> > >
This this This
is is be
turning turn turn
into into into
' ' '
what what what
' ' '
s s s
a a a
moonbase moonbas moonbase
good good good
for for for
' ' '
, , ,
and and and
I i I
ought ought ought
> > >
> > >
not not not
to to to
post post post
when when when
I i I
' ' '
ve ve ve
a a a
hundred hundr hundred
some some some
odd odd odd
posts post post
to to to
go go go
, , ,
but but but
I i I
would would would
> > >
> > >
think think think
that that that
the the the
real real real
