From from From
: : :
nick nick nick
@ @ @
sfb sfb sfb
256 256 256
. . .
iam iam iam
. . .
uni uni uni
- - -
bonn bonn bonn
. . .
de de de
( ( (
Nikan nikan Nikan
B b B
Firoozye firoozy Firoozye
) ) )
Subject subject Subject
: : :
Re re Re
: : :
Sunrise sunris Sunrise
/ / /
sunset sunset sunset
times time time
Organization organ Organization
: : :
Applied appli Applied
Math math Math
, , ,
University univers University
of of of
Bonn bonn Bonn
, , ,
Germany germani Germany
Lines line Lines
: : :
15 15 15
A a A
related relat related
question question question
( ( (
which which which
I i I
haven haven haven
' ' '
t t t
given given give
that that that
much much much
serious serious serious
thought thought think
to to to
) ) )
: : :
at at at
what what what
lattitude lattitud lattitude
is is be
the the the
average averag average
length length length
of of of
the the the
day day day
( ( (
averaged averag average
over over over
the the the
whole whole whole
year year year
) ) )
maximized maxim maximize
? ? ?
Is is Is
this this this
function function function
a a a
constant constant constant
= = =
12 12 12
hours hour hour
? ? ?
Is is Is
it it it
truly truli truly
symmetric symmetr symmetric
about about about
the the the
equator equat equator
? ? ?
Or or Or
is is be
there there there
some some some
discrepancy discrep discrepancy
due due due
to to to
the the the
fact fact fact
that that that
the the the
orbit orbit orbit
is is be
elliptic ellipt elliptic
( ( (
or or or
maybe mayb maybe
the the the
difference differ difference
is is be
enough enough enough
to to to
change chang change
the the the
temperature temperatur temperature
and and and
make make make
the the the
seasons season season
in in in
the the the
southern southern southern
hemisphere hemispher hemisphere
more more more
bitter bitter bitter
, , ,
but but but
is is be
far far far
too too too
small small small
to to to
make make make
a a a
sizeable sizeabl sizeable
difference differ difference
in in in
daylight daylight daylight
hours hour hour
) ) )
? ? ?
I i I
want want want
to to to
know know know
where where where
to to to
move move move
. . .
- - -
Nick nick Nick
Firoozye firoozy Firoozye
nick nick nick
@ @ @
sfb sfb sfb
256 256 256
. . .
iam iam iam
. . .
uni uni uni
- - -
bonn bonn bonn
. . .
de de de
