From from From
: : :
chico chico chico
@ @ @
ccsun ccsun ccsun
. . .
unicamp unicamp unicamp
. . .
br br br
( ( (
Francisco francisco Francisco
da da da
Fonseca fonseca Fonseca
Rodrigues rodrigu Rodrigues
) ) )
Subject subject Subject
: : :
New new New
planet planet planet
/ / /
Kuiper kuiper Kuiper
object object object
found found find
? ? ?
X x X
- - -
Added ad Added
: : :
Forwarded forward Forwarded
by by by
Space space Space
Digest digest Digest
Organization organ Organization
: : :
[ [ [
via via via
International intern International
Space space Space
University univers University
] ] ]
Original origin Original
- - -
Sender sender Sender
: : :
isu isu isu
@ @ @
VACATION vacat VACATION
. . .
VENARI venari VENARI
. . .
CS cs CS
. . .
CMU cmu CMU
. . .
EDU edu EDU
Distribution distribut Distribution
: : :
sci sci sci
Lines line Lines
: : :
28 28 28
Tonigth tonigth Tonigth
a a a
TV tv TV
journal journal journal
here here here
in in in
Brasil brasil Brasil
announced announc announce
that that that
an an an
object object object
, , ,
beyond beyond beyond
Pluto pluto Pluto
' ' '
s s s
orbit orbit orbit
, , ,
was was be
found found find
by by by
an an an
observatory observatori observatory
at at at
Hawaii hawaii Hawaii
. . .
They they They
named name name
the the the
object object object
Karla karla Karla
. . .
The the The
program program program
said said say
the the the
object object object
wasn wasn wasn
' ' '
t t t
a a a
gaseous gaseous gaseous
giant giant giant
planet planet planet
, , ,
and and and
should should should
be be be
composed compos compose
by by by
rocks rock rock
and and and
ices ice ice
. . .
Can can Can
someone someon someone
confirm confirm confirm
these these these
information inform information
? ? ?
Could could Could
this this this
object object object
be be be
a a a
new new new
planet planet planet
or or or
a a a
Kuiper kuiper Kuiper
object object object
? ? ?
Thanks thank Thanks
in in in
advance advanc advance
. . .
Francisco francisco Francisco
. . .
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
- - -
- - -
- - -
- - -
the the the
stars star star
, , ,
- - -
- - -
- - -
- - -
| | |
. . .
_ _ _
, , ,
| | |
Francisco francisco Francisco
da da da
Fonseca fonseca Fonseca
Rodrigues rodrigu Rodrigues
| | |
o o o
o o o
| | |
| | |
, , ,
_ _ _
| | |
| | |
. . .
_ _ _
/ / /
\ \ \
| | |
| | |
o o o
o o o
| | |
| | |
| | |
| | |
o o o
/ / /
^ ^ ^
^ ^ ^
~ ~ ~
- - -
. . .
_ _ _
| | |
COTUCA cotuca COTUCA
- - -
Colegio colegio Colegio
Tecnico tecnico Tecnico
da da da
UNICAMP unicamp UNICAMP
| | |
o o o
| | |
| | |
/ / /
- - -
' ' '
BRASIL brasil BRASIL
| | |
~ ~ ~
| | |
| | |
o o o
o o o
o o o
| | |
| | |
\ \ \
_ _ _
_ _ _
/ / /
| | |
_ _ _
/ / /
' ' '
| | |
Depto depto Depto
de de de
Processamento processamento Processamento
de de de
Dados dado Dados
| | |
o o o
o o o
o o o
o o o
| | |
| | |
\ \ \
_ _ _
_ _ _
Cps cps Cps
| | |
. . .
| | |
| | |
o o o
o o o
o o o
o o o
| | |
| | |
| | |
* * *
_ _ _
_ _ _
/ / /
' ' '
| | |
InterNet internet InterNet
: : :
chico chico chico
@ @ @
ccsun ccsun ccsun
. . .
unicamp unicamp unicamp
. . .
br br br
| | |
o o o
o o o
o o o
| | |
| | |
> > >
/ / /
' ' '
| | |
cotuca cotuca cotuca
@ @ @
ccvax ccvax ccvax
. . .
unicamp unicamp unicamp
. . .
br br br
| | |
o o o
| | |
| | |
/ / /
' ' '
/ / /
' ' '
| | |
Fone fone Fone
/ / /
Fax fax Fax
: : :
55 55 55
- - -
0192 0192 0192
- - -
32 32 32
- - -
9519 9519 9519
| | |
o o o
o o o
| | |
| | |
~ ~ ~
~ ~ ~
^ ^ ^
\ \ \
/ / /
' ' '
| | |
Campinas campina Campinas
- - -
SP sp SP
- - -
Brasil brasil Brasil
| | |
o o o
o o o
| | |
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
= = =
- - -
- - -
- - -
- - -
like like like
dust dust dust
. . .
- - -
- - -
- - -
- - -
