From from From
: : :
atterlep atterlep atterlep
@ @ @
vela vela vela
. . .
acs ac ac
. . .
oakland oakland oakland
. . .
edu edu edu
( ( (
Cardinal cardin Cardinal
Ximenez ximenez Ximenez
) ) )
Subject subject Subject
: : :
Re re Re
: : :
A a A
question question question
that that that
has has have
bee bee bee
bothering bother bother
me me me
. . .
Organization organ Organization
: : :
National nation National
Association associ Association
for for for
the the the
Disorganized disorgan Disorganized
Lines line Lines
: : :
29 29 29
wquinnan wquinnan wquinnan
@ @ @
sdcc sdcc sdcc
13 13 13
. . .
ucsd ucsd ucsd
. . .
edu edu edu
( ( (
Malcusco malcusco Malcusco
) ) )
writes write write
: : :
> > >
My my My
problem problem problem
with with with
Science scienc Science
is is be
that that that
often often often
it it it
allows allow allow
us us u
to to to
> > >
assume assum assume
we we we
know know know
what what what
is is be
best best best
for for for
ourselves ourselv ourselves
. . .
God god God
endowed endow endow
us us u
> > >
with with with
the the the
ability abil ability
to to to
produce produc produce
life life life
through through through
sexual sexual sexual
relations relat relation
, , ,
> > >
for for for
example exampl example
, , ,
but but but
He he He
did did do
not not not
make make make
that that that
availible avail availible
to to to
everyone everyon everyone
. . .
> > >
Does doe Does
that that that
mean mean mean
that that that
if if if
Science scienc Science
can can can
over over over
- - -
ride ride ride
God god God
' ' '
s s s
decision decis decision
> > >
through through through
alterations alter alteration
, , ,
that that that
God god God
wills will will
for for for
us us u
to to to
have have have
the the the
power power power
> > >
to to to
decide decid decide
who who who
should should should
and and and
should should should
not not not
be be be
able abl able
to to to
have have have
> > >
children children child
? ? ?
Should should Should
men men men
be be be
allowed allow allow
to to to
have have have
babies babi baby
, , ,
if if if
that that that
> > >
is is be
made made make
possible possibl possible
. . .
In in In
a a a
word word word
, , ,
yes yes yes
. . .
I i I
don don don
' ' '
t t t
believe believ believe
that that that
physical physic physical
knowledge knowledg knowledge
has has have
a a a
great great great
deal deal deal
of of of
impact impact impact
on on on
the the the
power power power
of of of
God god God
. . .
In in In
the the the
past past past
, , ,
God god God
gave gave give
us us u
the the the
ability abil ability
to to to
create creat create
life life life
through through through
sexual sexual sexual
relations relat relation
. . .
Now now Now
, , ,
he he he
is is be
giving give give
us us u
the the the
ability abil ability
to to to
create creat create
life life life
through through through
in in in
vitro vitro vitro
fertilization fertil fertilization
. . .
The the The
difference differ difference
between between between
the the the
two two two
is is be
merely mere merely
cosmetic cosmet cosmetic
, , ,
and and and
even even even
if if if
we we we
gain gain gain
the the the
ability abil ability
to to to
create creat create
universes univers universe
we we we
won won win
' ' '
t t t
begin begin begin
to to to
approach approach approach
the the the
glory glori glory
of of of
God god God
. . .
The the The
power power power
we we we
are are be
being be be
given given give
is is be
a a a
test test test
, , ,
and and and
I i I
am am be
sure sure sure
that that that
in in in
many mani many
cases case case
we we we
will will will
use use use
our our our
new new new
abilities abil ability
unwisely unwis unwisely
. . .
But but But
, , ,
people peopl people
have have have
been been be
using use use
sexuality sexual sexuality
unwisely unwis unwisely
for for for
millenia millenia millenia
and and and
I i I
haven haven haven
' ' '
t t t
heard heard hear
an an an
outcry outcri outcry
to to to
abolish abolish abolish
it it it
yet yet yet
! ! !
No no No
matter matter matter
how how how
far far far
we we we
extend extend extend
our our our
dominion dominion dominion
over over over
the the the
physical physic physical
world world world
, , ,
we we we
aren aren aren
' ' '
t t t
impinging imping impinge
on on on
God god God
' ' '
s s s
power power power
. . .
It it It
' ' '
s s s
only onli only
when when when
we we we
attempt attempt attempt
to to to
gain gain gain
control control control
of of of
the the the
spiritual spiritu spiritual
world world world
, , ,
those those those
things thing thing
that that that
can can can
' ' '
t t t
be be be
approached approach approach
through through through
science scienc science
and and and
logic logic logic
, , ,
that that that
we we we
begin begin begin
to to to
interfere interfer interfere
with with with
God god God
. . .
Alan alan Alan
Terlep terlep Terlep
" " "
. . .
. . .
. . .
and and and
the the the
scorpion scorpion scorpion
says say say
, , ,
' ' '
it it it
' ' '
s s s
Oakland oakland Oakland
University univers University
, , ,
Rochester rochest Rochester
, , ,
MI mi MI
in in in
my my my
nature natur nature
. . .
' ' '
" " "
atterlep atterlep atterlep
@ @ @
vela vela vela
. . .
acs ac ac
. . .
oakland oakland oakland
. . .
edu edu edu
