Subject subject Subject
: : :
Re re Re
: : :
Non non Non
- - -
lethal lethal lethal
alternatives altern alternative
to to to
handguns handgun handguns
? ? ?
From from From
: : :
steiner steiner steiner
@ @ @
jupiter jupit jupiter
. . .
cse cse cse
. . .
utoledo utoledo utoledo
. . .
edu edu edu
( ( (
Jason jason Jason
' ' '
Think think Think
! ! !
' ' '
Steiner steiner Steiner
) ) )
Nntp nntp Nntp
- - -
Posting post Posting
- - -
Host host Host
: : :
jupiter jupit jupiter
. . .
cse cse cse
. . .
utoledo utoledo utoledo
. . .
edu edu edu
X x X
- - -
Newsreader newsread Newsreader
: : :
TIN tin TIN
[ [ [
version version version
1 1 1
. . .
1 1 1
PL pl PL
9 9 9
] ] ]
Lines line Lines
: : :
16 16 16
douglas dougla douglas
craig craig craig
holland holland holland
( ( (
holland holland holland
@ @ @
CS cs CS
. . .
ColoState colost ColoState
. . .
EDU edu EDU
) ) )
writes write write
: : :
[ [ [
. . .
. . .
. . .
lostsa lostsa lostsa
' ' '
crap crap crap
deleted delet delete
. . .
trim trim trim
your your your
articles articl article
! ! !
. . .
. . .
. . .
] ] ]
> > >
What what What
about about about
guns gun gun
with with with
non non non
- - -
lethal lethal lethal
bullets bullet bullet
, , ,
like like like
rubber rubber rubber
or or or
plastic plastic plastic
> > >
bullets bullet bullet
. . .
Would would Would
those those those
work work work
very veri very
well well well
in in in
stopping stop stop
an an an
attack attack attack
? ? ?
last last last
i i i
heard heard heard
, , ,
" " "
non non non
- - -
lethal lethal lethal
" " "
was was be
a a a
bit bit bit
of of of
a a a
misnomer misnom misnomer
for for for
these these these
things thing thing
. . .
jason jason jason
- - -
- - -
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
` ` `
, , ,
` ` `
Democrat democrat Democrat
: : :
Give give Give
us us u
your your your
money money money
. . .
_ _ _
We we We
' ' '
ll ll ll
_ _ _
solve solv solve
your your your
problems problem problem
. . .
` ` `
, , ,
` ` `
` ` `
, , ,
` ` `
Republican republican Republican
: : :
Give give Give
us us u
your your your
money money money
. . .
We we We
' ' '
ll ll ll
ignore ignor ignore
your your your
problems problem problem
. . .
` ` `
, , ,
` ` `
` ` `
, , ,
` ` `
Libertarian libertarian Libertarian
: : :
Keep keep Keep
your your your
money money money
. . .
Solve solv Solve
your your your
own own own
problems problem problem
. . .
` ` `
, , ,
` ` `
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
steiner steiner steiner
@ @ @
jupiter jupit jupiter
. . .
cse cse cse
. . .
utoledo utoledo utoledo
. . .
edu edu edu
` ` `
, , ,
` ` `
, , ,
` ` `
, , ,
` ` `
