From from From
: : :
andy andi andy
@ @ @
SAIL sail SAIL
. . .
Stanford stanford Stanford
. . .
EDU edu EDU
( ( (
Andy andi Andy
Freeman freeman Freeman
) ) )
Subject subject Subject
: : :
Re re Re
: : :
My my My
Gun gun Gun
is is be
like like like
my my my
American american American
Express express Express
Card card Card
Organization organ Organization
: : :
Computer comput Computer
Science scienc Science
Department depart Department
, , ,
Stanford stanford Stanford
University univers University
. . .
Distribution distribut Distribution
: : :
usa usa usa
Lines line Lines
: : :
44 44 44
In in In
< < <
93104 93104 93104
. . .
173826 173826 173826
U u U
28037 28037 28037
@ @ @
uicvm uicvm uicvm
. . .
uic uic uic
. . .
edu edu edu
> > >
Jason jason Jason
Kratz kratz Kratz
< < <
U u U
28037 28037 28037
@ @ @
uicvm uicvm uicvm
. . .
uic uic uic
. . .
edu edu edu
> > >
writes write writes
: : :
> > >
What what What
seems seem seem
to to to
be be be
happening happen happen
here here here
is is be
the the the
situation situat situation
getting get get
totally total totally
blown blown blow
out out out
of of of
> > >
proportion proport proportion
. . .
In in In
my my my
post post post
I i I
was was be
referring refer refer
to to to
your your your
regular regular regular
patrolman patrolman patrolman
in in in
a a a
car car car
> > >
cruising cruis cruise
around around around
the the the
city citi city
vs vs v
. . .
gang gang gang
members member member
. . .
Of of Of
course cours course
the the the
police polic police
have have have
access access access
> > >
to to to
the the the
things thing thing
that that that
you you you
mentioned mention mention
but but but
do do do
they they they
use use use
tanks tank tank
and and and
such such such
all all all
of of of
the the the
> > >
time time time
? ? ?
Of of Of
course cours course
they they they
don don don
' ' '
t t t
and and and
that that that
' ' '
s s s
the the the
point point point
I i I
was was be
trying tri try
to to to
make make make
. . .
Every everi Every
> > >
day day day
when when when
I i I
go go go
out out out
to to to
lunch lunch lunch
I i I
always alway always
see see see
cops cop cop
coming come come
in in in
. . .
The the The
majority major majority
that that that
I i I
> > >
see see see
are are be
still still still
carrying carri carry
revolvers revolv revolver
. . .
So so So
? ? ?
Look look Look
in in in
the the the
trunk trunk trunk
some some some
time time time
. . .
Heck heck Heck
- - -
look look look
at at at
the the the
dash dash dash
. . .
That that That
funny funni funny
thing thing thing
attached attach attach
with with with
a a a
quick quick quick
- - -
release releas release
is is be
a a a
gun gun gun
. . .
The the The
ones one one
in in in
the the the
trunk trunk trunk
are are be
" " "
better better good
" " "
. . .
( ( (
I i I
don don don
' ' '
t t t
have have have
numbers number number
for for for
Chicago chicago Chicago
, , ,
but but but
Philadelphia philadelphia Philadelphia
police polic police
cars car car
carried carri carry
multiple multipl multiple
automatic automat automatic
weapons weapon weapon
and and and
thousands thousand thousand
of of of
rounds round round
as as a
standard standard standard
issue issu issue
in in in
the the the
60 60 60
s s s
. . .
) ) )
> > >
Not not Not
that that that
there there there
is is be
anything anyth anything
wrong wrong wrong
with with with
a a a
> > >
revolver revolv revolver
but but but
if if if
you you you
' ' '
re re re
a a a
cop cop cop
that that that
is is be
up up up
against against against
some some some
gang gang gang
member member member
with with with
a a a
couple coupl couple
> > >
of of of
automatics automat automatic
in in in
his his his
coat coat coat
( ( (
I i I
mean mean mean
semi semi semi
- - -
auto auto auto
handguns handgun handgun
) ) )
you you you
' ' '
re re re
going go go
to to to
be be be
at at at
a a a
> > >
disadvantage disadvantag disadvantage
even even even
with with with
training train training
. . .
What what What
is is be
the the the
nature natur nature
of of of
this this this
disadvantage disadvantag disadvantage
? ? ?
If if If
the the the
cop cop cop
can can can
shoot shoot shoot
, , ,
6 6 6
rounds round round
will will will
do do do
the the the
job job job
against against against
a a a
single singl single
opponent oppon opponent
( ( (
especially especi especially
since sinc since
the the the
cop cop cop
has has have
guaranteed guarante guarantee
backup backup backup
) ) )
. . .
If if If
the the the
" " "
gang gang gang
member member member
" " "
can can can
shoot shoot shoot
, , ,
the the the
extra extra extra
rounds round round
don don don
' ' '
t t t
help help help
. . .
The the The
only onli only
time time time
this this this
difference differ difference
can can can
matter matter matter
is is be
if if if
neither neither neither
can can can
shoot shoot shoot
, , ,
and and and
cops cop cop
aren aren aren
' ' '
t t t
supposed suppos suppose
to to to
be be be
throwing throw throw
lead lead lead
around around around
like like like
that that that
. . .
BTW btw BTW
- - -
most most most
cops cop cop
carry carri carry
multiple multipl multiple
guns gun gun
. . .
You you You
' ' '
re re re
not not not
supposed suppos suppose
to to to
know know know
about about about
the the the
second second second
, , ,
third third third
, , ,
and and and
so so so
on on on
. . .
> > >
I i I
have have have
been been be
at at at
a a a
shooting shoot shooting
range rang range
where where where
> > >
gang gang gang
members member member
were were be
" " "
practicing practic practice
" " "
shooting shoot shooting
. . .
How how How
do do do
" " "
we we we
" " "
know know know
that that that
they they they
were were be
gang gang gang
members member member
and and and
not not not
undercover undercov undercover
cops cop cop
or or or
even even even
law law law
- - -
abiding abid abide
menacing menac menace
minorities minor minority
. . .
BTW btw BTW
- - -
Why whi Why
the the the
sneer sneer sneer
quotes quot quote
? ? ?
They they They
were were be
actually actual actually
practicing practic practice
> > >
taking take take
out out out
their their their
guns gun gun
as as as
quick quick quick
as as a
possible possibl possible
and and and
shooting shoot shoot
at at at
the the the
target target target
> > >
and and and
they they they
weren weren weren
' ' '
t t t
doing do do
too too too
badly bad badly
either either either
. . .
Then then Then
the the the
extra extra extra
rounds round round
won won win
' ' '
t t t
make make make
any ani any
difference differ difference
, , ,
so so so
why whi why
is is be
it it it
an an an
issue issu issue
? ? ?
- - -
andy andi andy
- - -
- - -
