Nntp nntp Nntp
- - -
Posting post Posting
- - -
Host host Host
: : :
surt surt surt
. . .
ifi ifi ifi
. . .
uio uio uio
. . .
no no no
From from From
: : :
Thomas thoma Thomas
Parsli parsli Parsli
< < <
thomasp thomasp thomasp
@ @ @
ifi ifi ifi
. . .
uio uio uio
. . .
no no no
> > >
Subject subject Subject
: : :
Re re Re
: : :
My my My
Gun gun Gun
is is be
like like like
my my my
American american American
Express express Express
Card card Card
In in In
- - -
Reply repli Reply
- - -
To to To
: : :
jmd jmd jmd
@ @ @
cube cube cube
. . .
handheld handheld handheld
. . .
com com com
( ( (
Jim jim Jim
De de De
Arras arra Arras
) ) )
' ' '
s s s
message messag message
of of of
15 15 15
Apr apr Apr
1993 1993 1993
13 13 13
: : :
08 08 08
: : :
14 14 14
GMT gmt GMT
Organization organ Organization
: : :
Dept dept Dept
. . .
of of of
Informatics informat Informatics
, , ,
University univers University
of of of
Oslo oslo Oslo
, , ,
Norway norway Norway
< < <
1 1 1
qjmnuINNlmd qjmnuinnlmd qjmnuINNlmd
@ @ @
clem clem clem
. . .
handheld handheld handheld
. . .
com com com
> > >
Lines line Lines
: : :
73 73 73
Originator origin Originator
: : :
thomasp thomasp thomasp
@ @ @
surt surt surt
. . .
ifi ifi ifi
. . .
uio uio uio
. . .
no no no
I i I
HATE hate HATE
long long long
postings post posting
, , ,
but but but
this this this
turned turn turn
out out out
to to to
be be be
rather rather rather
lengthy lengthi lengthy
. . .
. . .
. . .
. . .
Overall overal Overall
Crime crime Crime
rate rate rate
: : :
It it It
fell fell fell
. . .
. . .
. . .
. . .
just just just
like like like
that that that
. . .
. . .
. . .
Acquiring acquir Acquiring
weapons weapon weapon
in in in
Norway norway Norway
: : :
You you You
can can can
buy buy buy
( ( (
almost almost almost
) ) )
all all all
kinds kind kind
of of of
weapons weapon weapon
in in in
Norway norway Norway
, , ,
BUT but BUT
you you you
must must must
have have have
a a a
permit permit permit
, , ,
and and and
a a a
good good good
reason reason reason
to to to
get get get
the the the
permit permit permit
. . .
. . .
. . .
. . .
If if If
I i I
would would would
like like like
to to to
have have have
a a a
handgun handgun handgun
, , ,
i i i
would would would
have have have
to to to
get get get
an an an
gun gun gun
- - -
licence licenc licence
from from from
the the the
police polic police
and and and
to to to
be be be
a a a
member member member
of of of
a a a
gun gun gun
- - -
club club club
. . .
The the The
police polic police
would would would
check check check
my my my
criminal crimin criminal
records record record
for for for
any ani any
SERIOUS serious SERIOUS
crimes crime crime
and and and
/ / /
or or or
records record record
of of of
SERIOUS serious SERIOUS
mental mental mental
diseases diseas disease
. . .
Now now Now
, , ,
if if if
a a a
got got get
my my my
licence licenc licence
, , ,
I i I
would would would
have have have
to to to
be be be
an an an
active activ active
member member member
of of of
the the the
gun gun gun
- - -
club club club
for for for
6 6 6
months month month
BEFORE befor BEFORE
I i I
could could could
collect collect collect
my my my
gun gun gun
. . .
It it It
' ' '
s s s
a a a
little littl little
like like like
getting get get
a a a
drivers driver driver
licence licenc licence
isn isn isn
' ' '
t t t
it it it
? ? ?
? ? ?
? ? ?
You you You
have have have
to to to
prove prove prove
that that that
you you you
CAN can CAN
drive drive drive
before befor before
you you you
are are be
allowed allow allow
to to to
. . .
. . .
. . .
Use use Use
of of of
guns gun gun
in in in
crimes crime crime
( ( (
in in in
Norway norway Norway
) ) )
: : :
Some some Some
crimes crime crime
are are be
commited commit commit
with with with
guns gun gun
that that that
have have have
been been be
in in in
the the the
owners owner owner
' ' '
arms arm arm
' ' '
for for for
a a a
long long long
time time time
, , ,
but but but
these these these
are are be
rather rather rather
the the the
exeption exept exeption
. . .
Most most Most
criminals crimin criminal
accuire accuir accuire
guns gun gun
to to to
use use use
them them them
in in in
crimes crime crime
, , ,
and and and
mostly most mostly
short short short
time time time
befor befor befor
the the the
crime crime crime
. . .
Use use Use
of of of
knives knive knife
: : :
It it It
IS is IS
allowed allow allow
to to to
cary cari cary
knifes knife knife
in in in
public public public
, , ,
but but but
not not not
in in in
your your your
belt belt belt
or or or
' ' '
open open open
' ' '
. . .
You you You
( ( (
Americans american Americans
) ) )
think think think
it it it
' ' '
s s s
ok ok ok
to to to
have have have
a a a
gun gun gun
, , ,
but but but
not not not
to to to
carry carri carry
it it it
open open open
in in in
public public public
- - -
rigth rigth rigth
? ? ?
? ? ?
Scandinavians scandinavian Scandinavians
ARE are ARE
' ' '
aggressive aggress aggressive
' ' '
: : :
We we We
northeners northen northeners
are are be
not not not
as as a
hot hot hot
- - -
livered liver livered
as as a
southeners southen southeners
, , ,
but but but
when when when
we we we
decide decid decide
to to to
take take take
action action action
we we we
DO do DO
. . .
Ask ask Ask
ANY ani ANY
historian historian historian
or or or
millitary millitari millitary
with with with
an an an
knowledge knowledg knowledge
of of of
europe europ europe
. . .
. . .
. . .
. . .
( ( (
Or or Or
ask ask ask
any ani any
German german German
who who who
served serv serve
in in in
Norway norway Norway
in in in
WW ww WW
2 2 2
. . .
. . .
. . .
. . .
. . .
) ) )
Individual individu Individual
vs vs v
masses mass mass
: : :
Yes yes Yes
the the the
individual individu individual
is is be
more more more
important import important
than than than
the the the
masses mass mass
, , ,
but but but
only onli only
to to to
some some some
extent extent extent
. . .
. . .
. . .
. . .
Your your Your
criminal crimin criminal
laws law law
are are be
to to to
protect protect protect
the the the
individuals individu individual
who who who
makes make make
the the the
masses mass mass
? ? ?
? ? ?
What what What
happens happen happen
when when when
the the the
rigths rigth rigths
of of of
some some some
individuals individu individual
affects affect affect
the the the
rights right right
of of of
all all all
the the the
others other others
? ? ?
? ? ?
The the The
issue issu issue
: : :
I i I
believe believ believe
the the the
issue issu issue
is is be
GUNS gun GUNS
, , ,
and and and
gun gun gun
- - -
legislation legisl legislation
. . .
We we We
shouldn shouldn shouldn
' ' '
t t t
mix mix mix
weapons weapon weapon
and and and
items item item
that that that
can can can
serve serv serve
as as a
one one one
. . .
. . .
. . .
. . .
IF if IF
i i i
lived live live
in in in
Amerika amerika Amerika
I i I
would would would
probably probabl probably
have have have
a a a
gun gun gun
to to to
defend defend defend
myselfe myself myselfe
in in in
HOME home HOME
. . .
But but But
should should should
it it it
have have have
to to to
be be be
like like like
that that that
? ? ?
? ? ?
Do do Do
you you you
think think think
it it it
' ' '
s s s
wise wise wise
to to to
sell sell sell
guns gun gun
like like like
candy candi candy
( ( (
some some some
states state state
do do do
. . .
. . .
. . .
) ) )
? ? ?
? ? ?
If if If
you you you
believe believ believe
it it it
' ' '
s s s
smart smart smart
/ / /
neccacery neccaceri neccacery
to to to
have have have
drivers driver driver
- - -
licence licenc licence
WHY whi WHY
do do do
you you you
think think think
it it it
should should should
be be be
free free free
to to to
buy buy buy
guns gun gun
? ? ?
? ? ?
Disclaim disclaim Disclaim
- - -
her her her
: : :
I i I
' ' '
m m m
not not not
a a a
pacifist pacifist pacifist
or or or
anti anti anti
gun gun gun
. . .
I i I
would would would
defend defend defend
my my my
home home home
, , ,
loved love love
ones one one
and and and
country countri country
, , ,
but but but
I i I
don don don
' ' '
t t t
view view view
guns gun gun
as as a
neccities necciti neccities
or or or
toys toy toy
. . .
I i I
HAVE have HAVE
done done do
army armi army
service servic service
, , ,
and and and
HAVE have HAVE
used use use
a a a
variaty variati variaty
of of of
weapons weapon weapon
, , ,
but but but
wouldn wouldn wouldn
' ' '
t t t
want want want
to to to
have have have
one one one
for for for
self self self
defence defenc defence
or or or
because becaus because
they they they
' ' '
feel feel feel
good good good
' ' '
. . .
. . .
. . .
. . .
This this This
is is be
not not not
a a a
. . .
signature signatur signature
. . .
It it It
' ' '
s s s
marly mar marly
a a a
computergenerated computergener computergenerated
text text text
to to to
waste wast waste
bandwith bandwith bandwith
and and and
to to to
bring bring bring
down down down
the the the
evil evil evil
Internet internet Internet
. . .
Thomas thoma Thomas
Parsli parsli Parsli
thomasp thomasp thomasp
@ @ @
ifi ifi ifi
. . .
uio uio uio
. . .
no no no
