Organization organ Organization
: : :
University univers University
of of of
Illinois illinoi Illinois
at at at
Chicago chicago Chicago
, , ,
academic academ academic
Computer comput Computer
Center center Center
From from From
: : :
Jason jason Jason
Kratz kratz Kratz
< < <
U u U
28037 28037 28037
@ @ @
uicvm uicvm uicvm
. . .
uic uic uic
. . .
edu edu edu
> > >
Subject subject Subject
: : :
Re re Re
: : :
My my My
Gun gun Gun
is is be
like like like
my my my
American american American
Express express Express
Card card Card
Distribution distribut Distribution
: : :
usa usa usa
< < <
93104 93104 93104
. . .
231 231 231
< < <
1993 1993 1993
Apr apr Apr
15 15 15
. . .
184452 184452 184452
. . .
27322 27322 27322
@ @ @
CSD csd CSD
- - -
NewsHost newshost NewsHost
. . .
Stanford stanford Stanford
. . .
EDU edu EDU
> > >
Lines line Lines
: : :
44 44 44
In in In
article articl article
< < <
1993 1993 1993
Apr apr Apr
15 15 15
. . .
184452 184452 184452
. . .
27322 27322 27322
@ @ @
CSD csd CSD
- - -
NewsHost newshost NewsHost
. . .
Stanford stanford Stanford
. . .
EDU edu EDU
> > >
, , ,
andy andi andy
@ @ @
SAIL sail SAIL
. . .
Stanford stanford Stanford
. . .
EDU edu EDU
( ( (
Andy andi Andy
Freeman freeman Freeman
) ) )
says say say
: : :
> > >
> > >
In in In
article articl article
< < <
93104 93104 93104
. . .
231049 231049 231049
U u U
28037 28037 28037
@ @ @
uicvm uicvm uicvm
. . .
uic uic uic
. . .
edu edu edu
> > >
Jason jason Jason
Kratz kratz Kratz
> > >
> > >
< < <
U u U
28037 28037 28037
@ @ @
uicvm uicvm uicvm
. . .
uic uic uic
. . .
edu edu edu
> > >
> > >
All all All
your your your
points point point
are are be
very veri very
well well well
taken taken take
and and and
things thing thing
that that that
I i I
haven haven haven
' ' '
t t t
considered consid consider
as as a
> > >
> > >
I i I
am am be
not not not
really realli really
familiar familiar familiar
enough enough enough
with with with
handguns handgun handgun
. . .
> > >
> > >
That that That
' ' '
s s s
not not not
all all all
that that that
Kratz kratz Kratz
doesn doesn doesn
' ' '
t t t
know know know
. . .
> > >
> > >
> > >
Hell hell Hell
, , ,
a a a
Glock glock Glock
is is be
the the the
last last last
thing thing thing
that that that
should should should
be be be
switched switch switch
to to to
. . .
The the The
only onli only
thing thing thing
> > >
> > >
that that that
I i I
know know know
about about about
a a a
Glock glock Glock
is is be
the the the
lack lack lack
of of of
a a a
real real real
safety safeti safety
on on on
it it it
. . .
Sure sure Sure
there there there
is is be
> > >
> > >
that that that
little littl little
thing thing thing
in in in
the the the
trigger trigger trigger
but but but
that that that
isn isn isn
' ' '
t t t
too too too
great great great
of of of
a a a
safety safeti safety
. . .
> > >
> > >
Now now Now
we we we
know know know
that that that
Kratz kratz Kratz
doesn doesn doesn
' ' '
t t t
understand understand understand
what what what
a a a
safety safeti safety
is is be
supposed suppos suppose
to to to
> > >
do do do
. . .
( ( (
He he He
also also also
confuses confus confuse
" " "
things thing thing
he he he
can can can
see see see
" " "
with with with
" " "
things thing thing
that that that
exist exist exist
" " "
; ; ;
> > >
Glocks glock Glocks
have have have
multiple multipl multiple
safeties safeti safety
even even even
though though though
only onli only
one one one
is is be
visible visibl visible
from from from
the the the
> > >
outside outsid outside
. . .
) ) )
> > >
Excuse excus Excuse
me me me
but but but
I i I
do do do
know know know
what what what
I i I
safety safeti safety
is is be
supposed suppos suppose
to to to
do do do
. . .
